LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
59.916,30.25993,0,250,251,2,RU LED,MT,189,0,KNOSSOS,7,547677,32,162,23,56763,6,1,2016-12-14T10:09:03.000Z,st_petersburg,2016-12-14T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.916,30.25993,0,250,251,2,RU LED,MT,189,0,KNOSSOS,7,547677,32,162,23,56763,6,1,2016-12-14T10:09:04.000Z,st_petersburg,2016-12-14T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.916,30.25993,0,250,251,4,RU LED,MT,189,0,KNOSSOS,7,547677,32,162,23,56763,6,1,2016-12-14T10:11:04.000Z,st_petersburg,2016-12-14T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.916,30.25993,0,250,251,4,RU LED,MT,189,0,KNOSSOS,7,547677,32,162,23,56763,6,1,2016-12-14T10:11:05.000Z,st_petersburg,2016-12-14T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.91602,30.25985,0,250,251,3,RU LED,MT,189,0,KNOSSOS,7,547677,32,162,23,56763,6,1,2016-12-14T10:13:03.000Z,st_petersburg,2016-12-14T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.91602,30.25985,0,250,251,3,RU LED,MT,189,0,KNOSSOS,7,547677,32,162,23,56763,6,1,2016-12-14T10:13:04.000Z,st_petersburg,2016-12-14T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.91602,30.25985,0,250,251,4,RU LED,MT,189,0,KNOSSOS,7,547677,32,162,23,56763,6,1,2016-12-14T10:15:03.000Z,st_petersburg,2016-12-14T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.91598,30.25989,0,250,251,2,RU LED,MT,189,0,KNOSSOS,7,547677,32,162,23,56763,6,1,2016-12-14T10:15:04.000Z,st_petersburg,2016-12-14T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.91598,30.25989,0,250,251,4,RU LED,MT,189,0,KNOSSOS,7,547677,32,162,23,56763,6,1,2016-12-14T10:17:03.000Z,st_petersburg,2016-12-14T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.91598,30.25989,0,250,251,4,RU LED,MT,189,0,KNOSSOS,7,547677,32,162,23,56763,6,1,2016-12-14T10:17:04.000Z,st_petersburg,2016-12-14T00:00:00.000Z,50,Cargo,St. Petersburg,1
