LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
59.92024,30.00744,121,110,111,2,ST.PETERSBURG,FI,188,0,FINNWAVE,7,5567,26,14,7,11029,12,1,2016-12-15T02:57:04.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.91899,30.01364,120,111,111,3,ST.PETERSBURG,FI,188,0,FINNWAVE,7,5567,26,14,7,11029,12,1,2016-12-15T02:59:04.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.91899,30.01364,120,111,111,2,ST.PETERSBURG,FI,188,0,FINNWAVE,7,5567,26,14,7,11029,12,1,2016-12-15T02:59:05.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.91757,30.02076,117,109,110,3,ST.PETERSBURG,FI,188,0,FINNWAVE,7,5567,26,14,7,11029,12,1,2016-12-15T03:01:04.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.91757,30.02076,117,109,110,3,ST.PETERSBURG,FI,188,0,FINNWAVE,7,5567,26,14,7,11029,12,1,2016-12-15T03:01:04.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.91356,30.04094,119,110,111,2,ST.PETERSBURG,FI,188,0,FINNWAVE,7,5567,26,14,7,11029,12,1,2016-12-15T03:03:03.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.91479,30.03485,118,110,111,1,ST.PETERSBURG,FI,188,0,FINNWAVE,7,5567,26,14,7,11029,12,1,2016-12-15T03:03:04.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.91085,30.05435,121,111,111,2,ST.PETERSBURG,FI,188,0,FINNWAVE,7,5567,26,14,7,11029,12,1,2016-12-15T03:05:03.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.91085,30.05435,121,111,111,2,ST.PETERSBURG,FI,188,0,FINNWAVE,7,5567,26,14,7,11029,12,1,2016-12-15T03:05:04.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.90791,30.06871,118,109,110,2,ST.PETERSBURG,FI,188,0,FINNWAVE,7,5567,26,14,7,11029,12,1,2016-12-15T03:07:03.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.90791,30.06871,118,109,110,2,ST.PETERSBURG,FI,188,0,FINNWAVE,7,5567,26,14,7,11029,12,1,2016-12-15T03:07:04.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.90672,30.07467,109,109,110,3,ST.PETERSBURG,FI,188,0,FINNWAVE,7,5567,26,14,7,11029,12,1,2016-12-15T03:09:04.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.90672,30.07467,109,109,110,2,ST.PETERSBURG,FI,188,0,FINNWAVE,7,5567,26,14,7,11029,12,1,2016-12-15T03:09:04.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.90442,30.08597,82,110,111,2,ST.PETERSBURG,FI,188,0,FINNWAVE,7,5567,26,14,7,11029,12,1,2016-12-15T03:11:04.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.90442,30.08597,82,110,111,2,ST.PETERSBURG,FI,188,0,FINNWAVE,7,5567,26,14,7,11029,12,1,2016-12-15T03:11:05.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.90267,30.09443,72,110,111,2,ST.PETERSBURG,FI,188,0,FINNWAVE,7,5567,26,14,7,11029,12,1,2016-12-15T03:13:03.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.90267,30.09443,72,110,111,2,ST.PETERSBURG,FI,188,0,FINNWAVE,7,5567,26,14,7,11029,12,1,2016-12-15T03:13:04.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.90123,30.10159,68,110,111,2,ST.PETERSBURG,FI,188,0,FINNWAVE,7,5567,26,14,7,11029,12,1,2016-12-15T03:15:04.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.90123,30.10159,68,110,111,2,ST.PETERSBURG,FI,188,0,FINNWAVE,7,5567,26,14,7,11029,12,1,2016-12-15T03:15:05.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.89979,30.10898,65,110,111,2,ST.PETERSBURG,FI,188,0,FINNWAVE,7,5567,26,14,7,11029,12,1,2016-12-15T03:17:03.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.89979,30.10898,65,110,111,2,ST.PETERSBURG,FI,188,0,FINNWAVE,7,5567,26,14,7,11029,12,1,2016-12-15T03:17:04.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.89828,30.11611,64,110,111,2,ST.PETERSBURG,FI,188,0,FINNWAVE,7,5567,26,14,7,11029,12,1,2016-12-15T03:19:04.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.89828,30.11611,64,110,111,2,ST.PETERSBURG,FI,188,0,FINNWAVE,7,5567,26,14,7,11029,12,1,2016-12-15T03:19:04.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.89688,30.12315,63,111,111,2,ST.PETERSBURG,FI,188,0,FINNWAVE,7,5567,26,14,7,11029,12,1,2016-12-15T03:21:04.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.89688,30.12315,63,111,111,2,ST.PETERSBURG,FI,188,0,FINNWAVE,7,5567,26,14,7,11029,12,1,2016-12-15T03:21:05.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.89609,30.12698,63,110,111,3,ST.PETERSBURG,FI,188,0,FINNWAVE,7,5567,26,14,7,11029,12,1,2016-12-15T03:23:03.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.89688,30.12315,63,111,111,2,ST.PETERSBURG,FI,188,0,FINNWAVE,7,5567,26,14,7,11029,12,1,2016-12-15T03:23:04.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.89466,30.1339,63,110,111,1,ST.PETERSBURG,FI,188,0,FINNWAVE,7,5567,26,14,7,11029,12,1,2016-12-15T03:25:03.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.89533,30.13067,63,110,111,1,ST.PETERSBURG,FI,188,0,FINNWAVE,7,5567,26,14,7,11029,12,1,2016-12-15T03:25:04.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.89322,30.14088,62,110,111,2,ST.PETERSBURG,FI,188,0,FINNWAVE,7,5567,26,14,7,11029,12,1,2016-12-15T03:27:04.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.89322,30.14088,62,110,111,2,ST.PETERSBURG,FI,188,0,FINNWAVE,7,5567,26,14,7,11029,12,1,2016-12-15T03:27:05.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.89173,30.14839,61,110,110,2,ST.PETERSBURG,FI,188,0,FINNWAVE,7,5567,26,14,7,11029,12,1,2016-12-15T03:29:03.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.89248,30.14461,62,109,111,1,ST.PETERSBURG,FI,188,0,FINNWAVE,7,5567,26,14,7,11029,12,1,2016-12-15T03:29:04.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.89099,30.15203,61,111,111,3,ST.PETERSBURG,FI,188,0,FINNWAVE,7,5567,26,14,7,11029,12,1,2016-12-15T03:31:03.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.89099,30.15203,61,111,111,3,ST.PETERSBURG,FI,188,0,FINNWAVE,7,5567,26,14,7,11029,12,1,2016-12-15T03:31:04.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.88951,30.15903,63,109,111,3,ST.PETERSBURG,FI,188,-2,FINNWAVE,7,5567,26,14,7,11029,12,1,2016-12-15T03:33:04.000Z,st_petersburg,2016-12-15T00:00:00.000Z,50,Cargo,St. Petersburg,0
