LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.79844,18.90738,172,129,130,2,GDANSK,FI,187,0,FINNPULP,7,5628,26,20,9,11170,12,1,2016-12-19T05:51:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
54.79245,18.92003,171,129,130,2,GDANSK,FI,187,0,FINNPULP,7,5628,26,20,9,11170,12,1,2016-12-19T05:53:01.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
54.78619,18.93344,170,128,130,2,GDANSK,FI,187,0,FINNPULP,7,5628,26,20,9,11170,12,1,2016-12-19T05:55:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
54.78025,18.94617,170,128,130,2,GDANSK,FI,187,0,FINNPULP,7,5628,26,20,9,11170,12,1,2016-12-19T05:57:01.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
54.77432,18.9589,171,129,130,2,GDANSK,FI,187,0,FINNPULP,7,5628,26,20,9,11170,12,1,2016-12-19T05:59:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
54.76838,18.97157,170,128,130,2,GDANSK,FI,187,0,FINNPULP,7,5628,26,20,9,11170,12,1,2016-12-19T06:01:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
54.76108,18.98035,156,170,173,2,GDANSK,FI,187,720,FINNPULP,7,5628,26,20,9,11170,12,1,2016-12-19T06:03:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
54.75246,18.97825,163,194,197,2,GDANSK,FI,187,0,FINNPULP,7,5628,26,20,9,11170,12,1,2016-12-19T06:05:01.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
54.74367,18.97362,165,197,198,1,GDANSK,FI,187,0,FINNPULP,7,5628,26,20,9,11170,12,1,2016-12-19T06:07:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
54.7347,18.96913,168,194,196,2,GDANSK,FI,187,0,FINNPULP,7,5628,26,20,9,11170,12,1,2016-12-19T06:09:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
54.7256,18.96506,169,194,196,2,GDANSK,FI,187,0,FINNPULP,7,5628,26,20,9,11170,12,1,2016-12-19T06:11:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
54.71656,18.96099,168,194,196,2,GDANSK,FI,187,0,FINNPULP,7,5628,26,20,9,11170,12,1,2016-12-19T06:13:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
54.70708,18.95677,168,194,196,2,GDANSK,FI,187,0,FINNPULP,7,5628,26,20,9,11170,12,1,2016-12-19T06:15:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
54.69768,18.95252,167,195,197,2,GDANSK,FI,187,0,FINNPULP,7,5628,26,20,9,11170,12,1,2016-12-19T06:17:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
