LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
55.71262,20.83478,48,98,80,2,KLAIPEDA,HK,170,-720,GENCO RELIANCE,7,685288,27,145,19,29952,6,1,2016-12-19T12:59:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Cargo,Klaipeda,0
55.71255,20.84023,40,78,49,2,KLAIPEDA,HK,170,0,GENCO RELIANCE,7,685288,27,145,19,29952,6,1,2016-12-19T13:01:08.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Cargo,Klaipeda,0
55.7138,20.84608,31,55,21,2,KLAIPEDA,HK,170,0,GENCO RELIANCE,7,685288,27,145,19,29952,6,1,2016-12-19T13:05:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Cargo,Klaipeda,0
55.71472,20.84835,28,59,13,2,KLAIPEDA,HK,170,0,GENCO RELIANCE,7,685288,27,145,19,29952,6,1,2016-12-19T13:07:14.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Cargo,Klaipeda,0
55.71472,20.84835,28,59,13,2,KLAIPEDA,HK,170,0,GENCO RELIANCE,7,685288,27,145,19,29952,6,1,2016-12-19T13:09:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Cargo,Klaipeda,0
55.7154,20.85022,21,58,12,4,KLAIPEDA,HK,170,0,GENCO RELIANCE,7,685288,27,145,19,29952,6,1,2016-12-19T13:11:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Cargo,Klaipeda,0
55.71575,20.85235,14,103,26,3,KLAIPEDA,HK,170,0,GENCO RELIANCE,7,685288,27,145,19,29952,6,1,2016-12-19T13:13:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Cargo,Klaipeda,0
55.71532,20.8537,17,115,28,3,KLAIPEDA,HK,170,0,GENCO RELIANCE,7,685288,27,145,19,29952,6,1,2016-12-19T13:15:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Cargo,Klaipeda,0
55.71487,20.85572,14,104,355,3,KLAIPEDA,HK,170,-720,GENCO RELIANCE,7,685288,27,145,19,29952,6,1,2016-12-19T13:17:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Cargo,Klaipeda,0
55.71487,20.85722,14,83,336,3,KLAIPEDA,HK,170,0,GENCO RELIANCE,7,685288,27,145,19,29952,6,1,2016-12-19T13:19:06.000Z,klaipeda,2016-12-19T00:00:00.000Z,51,Cargo,Klaipeda,0
