LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.53497,18.60242,71,92,93,2,ALEXANDRIA,HK,179,0,SCHUYLER TRADER,7,689205,30,152,22,35800,6,1,2016-12-16T01:53:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.53473,18.6098,71,97,100,2,ALEXANDRIA,HK,179,0,SCHUYLER TRADER,7,689205,30,152,22,35800,6,1,2016-12-16T01:55:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.53405,18.61662,73,99,99,2,ALEXANDRIA,HK,179,0,SCHUYLER TRADER,7,689205,30,152,22,35800,6,1,2016-12-16T01:57:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.53336,18.62392,81,99,100,2,ALEXANDRIA,HK,179,0,SCHUYLER TRADER,7,689205,30,152,22,35800,6,1,2016-12-16T01:59:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.53259,18.63186,86,99,99,2,ALEXANDRIA,HK,179,0,SCHUYLER TRADER,7,689205,30,152,22,35800,6,1,2016-12-16T02:01:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.53181,18.64035,92,99,99,2,ALEXANDRIA,HK,179,0,SCHUYLER TRADER,7,689205,30,152,22,35800,6,1,2016-12-16T02:03:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.53084,18.65019,98,99,99,2,ALEXANDRIA,HK,179,0,SCHUYLER TRADER,7,689205,30,152,22,35800,6,1,2016-12-16T02:05:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.52994,18.65976,102,97,95,2,ALEXANDRIA,HK,179,0,SCHUYLER TRADER,7,689205,30,152,22,35800,6,1,2016-12-16T02:07:01.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.52951,18.66963,105,92,93,2,ALEXANDRIA,HK,179,0,SCHUYLER TRADER,7,689205,30,152,22,35800,6,1,2016-12-16T02:09:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.52926,18.6798,108,91,92,2,ALEXANDRIA,HK,179,0,SCHUYLER TRADER,7,689205,30,152,22,35800,6,1,2016-12-16T02:11:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
