LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.79993,18.94455,89,137,138,2,GDANSK POLAND,NO,224,0,HEINA,7,691174,32,197,22,76598,6,1,2016-12-15T23:53:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Cargo,Gdańsk,0
54.79603,18.95065,84,138,140,2,GDANSK POLAND,NO,224,0,HEINA,7,691174,32,197,22,76598,6,1,2016-12-15T23:55:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Cargo,Gdańsk,0
54.79265,18.95572,80,138,139,2,GDANSK POLAND,NO,224,0,HEINA,7,691174,32,197,22,76598,6,1,2016-12-15T23:57:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Cargo,Gdańsk,0
54.78942,18.96082,78,138,139,2,GDANSK POLAND,NO,224,0,HEINA,7,691174,32,197,22,76598,6,1,2016-12-15T23:59:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Cargo,Gdańsk,0
54.78372,18.96797,88,162,175,2,GDANSK POLAND,NO,224,0,HEINA,7,691174,32,197,22,76598,6,1,2016-12-16T00:02:05.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.78372,18.96797,88,162,175,2,GDANSK POLAND,NO,224,0,HEINA,7,691174,32,197,22,76598,6,1,2016-12-16T00:03:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.77543,18.96973,108,173,175,2,GDANSK POLAND,NO,224,0,HEINA,7,691174,32,197,22,76598,6,1,2016-12-16T00:05:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.76922,18.97093,114,173,175,2,GDANSK POLAND,NO,224,0,HEINA,7,691174,32,197,22,76598,6,1,2016-12-16T00:07:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.76602,18.97157,116,173,175,3,GDANSK POLAND,NO,224,0,HEINA,7,691174,32,197,22,76598,6,1,2016-12-16T00:09:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.75883,18.97285,117,173,175,2,GDANSK POLAND,NO,224,0,HEINA,7,691174,32,197,22,76598,6,1,2016-12-16T00:11:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.75191,18.97407,118,174,175,2,GDANSK POLAND,NO,224,0,HEINA,7,691174,32,197,22,76598,6,1,2016-12-16T00:13:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.74532,18.97515,116,172,170,2,GDANSK POLAND,NO,224,0,HEINA,7,691174,32,197,22,76598,6,1,2016-12-16T00:15:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
54.73895,18.97695,116,169,163,2,GDANSK POLAND,NO,224,-720,HEINA,7,691174,32,197,22,76598,6,1,2016-12-16T00:17:01.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,0
