LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
59.92053,30.00579,104,111,110,2,ST PETERSBURG,MH,178,0,BOMAR VALOUR,7,714523,26,19,14,22300,11,1,2016-12-18T14:21:04.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.92053,30.00579,104,111,110,2,ST PETERSBURG,MH,178,0,BOMAR VALOUR,7,714523,26,19,14,22300,11,1,2016-12-18T14:21:05.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.92053,30.00579,104,111,110,2,ST PETERSBURG,MH,178,0,BOMAR VALOUR,7,714523,26,19,14,22300,11,1,2016-12-18T14:23:03.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91818,30.01747,102,112,111,2,ST PETERSBURG,MH,178,0,BOMAR VALOUR,7,714523,26,19,14,22300,11,1,2016-12-18T14:23:04.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91589,30.02879,102,112,111,2,ST PETERSBURG,MH,178,0,BOMAR VALOUR,7,714523,26,19,14,22300,11,1,2016-12-18T14:25:03.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91589,30.02879,102,112,111,2,ST PETERSBURG,MH,178,0,BOMAR VALOUR,7,714523,26,19,14,22300,11,1,2016-12-18T14:25:04.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91369,30.03955,103,112,111,2,ST PETERSBURG,MH,178,0,BOMAR VALOUR,7,714523,26,19,14,22300,11,1,2016-12-18T14:27:03.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91369,30.03955,103,112,111,2,ST PETERSBURG,MH,178,0,BOMAR VALOUR,7,714523,26,19,14,22300,11,1,2016-12-18T14:27:04.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91128,30.05153,107,111,111,2,ST PETERSBURG,MH,178,0,BOMAR VALOUR,7,714523,26,19,14,22300,11,1,2016-12-18T14:29:04.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91128,30.05153,107,111,111,2,ST PETERSBURG,MH,178,0,BOMAR VALOUR,7,714523,26,19,14,22300,11,1,2016-12-18T14:29:04.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.90874,30.06422,105,111,111,1,ST PETERSBURG,MH,178,0,BOMAR VALOUR,7,714523,26,19,14,22300,11,1,2016-12-18T14:31:04.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91003,30.0578,107,111,111,2,ST PETERSBURG,MH,178,0,BOMAR VALOUR,7,714523,26,19,14,22300,11,1,2016-12-18T14:31:05.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.90734,30.07122,102,112,111,2,ST PETERSBURG,MH,178,0,BOMAR VALOUR,7,714523,26,19,14,22300,11,1,2016-12-18T14:33:04.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.90734,30.07122,102,112,111,2,ST PETERSBURG,MH,178,0,BOMAR VALOUR,7,714523,26,19,14,22300,11,1,2016-12-18T14:33:05.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.90734,30.07122,102,112,111,2,ST PETERSBURG,MH,178,0,BOMAR VALOUR,7,714523,26,19,14,22300,11,1,2016-12-18T14:35:03.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.90634,30.07622,96,111,111,3,ST PETERSBURG,MH,178,0,BOMAR VALOUR,7,714523,26,19,14,22300,11,1,2016-12-18T14:35:04.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Cargo,St. Petersburg,0
