LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.6732,18.98727,140,252,255,2,GDYNIA,MH,158,0,LANTAU ARROW,7,716099,25,139,18,14901,11,1,2016-12-13T12:17:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.67108,18.97447,139,254,255,2,GDYNIA,MH,158,0,LANTAU ARROW,7,716099,25,139,18,14901,11,1,2016-12-13T12:19:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.66888,18.96195,139,252,255,2,GDYNIA,MH,158,0,LANTAU ARROW,7,716099,25,139,18,14901,11,1,2016-12-13T12:21:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.66623,18.94987,135,242,243,2,GDYNIA,MH,158,0,LANTAU ARROW,7,716099,25,139,17,14901,11,1,2016-12-13T12:23:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.66158,18.93934,134,223,217,2,GDYNIA,MH,158,-720,LANTAU ARROW,7,716099,25,139,17,14901,11,1,2016-12-13T12:25:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.65515,18.93329,137,203,205,2,GDYNIA,MH,158,0,LANTAU ARROW,7,716099,25,139,17,14901,11,1,2016-12-13T12:27:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.64779,18.92777,142,204,206,2,GDYNIA,MH,158,0,LANTAU ARROW,7,716099,25,139,17,14901,11,1,2016-12-13T12:29:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.64054,18.92194,143,205,206,2,GDYNIA,MH,158,0,LANTAU ARROW,7,716099,25,139,17,14901,11,1,2016-12-13T12:31:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.63331,18.91607,143,205,206,2,GDYNIA,MH,158,0,LANTAU ARROW,7,716099,25,139,17,14901,11,1,2016-12-13T12:33:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.62584,18.90998,143,206,206,1,GDYNIA,MH,158,0,LANTAU ARROW,7,716099,25,139,17,14901,11,1,2016-12-13T12:35:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.62219,18.90705,143,206,206,2,GDYNIA,MH,158,0,LANTAU ARROW,7,716099,25,139,17,14901,11,1,2016-12-13T12:37:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.61475,18.90043,143,206,206,2,GDYNIA,MH,158,0,LANTAU ARROW,7,716099,25,139,17,14901,11,1,2016-12-13T12:39:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.60769,18.89438,143,206,206,2,GDYNIA,MH,158,0,LANTAU ARROW,7,716099,25,139,17,14901,11,1,2016-12-13T12:41:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.59716,18.88501,142,208,206,1,GDYNIA,MH,158,0,LANTAU ARROW,7,716099,25,139,17,14901,11,1,2016-12-13T12:43:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.5937,18.8818,142,210,213,2,GDYNIA,MH,158,720,LANTAU ARROW,7,716099,25,139,17,14901,11,1,2016-12-13T12:45:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.5937,18.8818,142,210,213,4,GDYNIA,MH,158,720,LANTAU ARROW,7,716099,25,139,17,14901,11,1,2016-12-13T12:47:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.5937,18.8818,142,210,213,4,GDYNIA,MH,158,720,LANTAU ARROW,7,716099,25,139,17,14901,11,1,2016-12-13T12:49:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.57534,18.85512,142,221,219,2,GDYNIA,MH,158,0,LANTAU ARROW,7,716099,25,139,17,14901,11,1,2016-12-13T12:51:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.56947,18.84616,142,221,219,2,GDYNIA,MH,158,0,LANTAU ARROW,7,716099,25,139,17,14901,11,1,2016-12-13T12:53:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.56329,18.83753,142,221,219,2,GDYNIA,MH,158,0,LANTAU ARROW,7,716099,25,139,17,14901,11,1,2016-12-13T12:55:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.55715,18.82854,144,221,219,2,GDYNIA,MH,158,0,LANTAU ARROW,7,716099,25,139,17,14901,11,1,2016-12-13T12:57:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.55715,18.82854,144,221,219,2,GDYNIA,MH,158,0,LANTAU ARROW,7,716099,25,139,17,14901,11,1,2016-12-13T12:59:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.54526,18.81061,143,221,219,2,GDYNIA,MH,158,0,LANTAU ARROW,7,716099,25,139,17,14901,11,1,2016-12-13T13:01:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.5397,18.80174,143,228,236,2,GDYNIA,MH,158,720,LANTAU ARROW,7,716099,25,139,17,14901,11,1,2016-12-13T13:03:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.53688,18.78938,127,263,267,2,GDYNIA,MH,158,720,LANTAU ARROW,7,716099,25,139,17,14901,11,1,2016-12-13T13:05:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.53692,18.77794,114,271,270,2,GDYNIA,MH,158,0,LANTAU ARROW,7,716099,25,139,18,14901,11,1,2016-12-13T13:07:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.5371,18.76678,109,271,270,1,GDYNIA,MH,158,0,LANTAU ARROW,7,716099,25,139,18,14901,11,1,2016-12-13T13:09:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.53727,18.75653,107,271,270,2,GDYNIA,MH,158,0,LANTAU ARROW,7,716099,25,139,17,14901,11,1,2016-12-13T13:11:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.53746,18.74552,106,270,269,2,GDYNIA,MH,158,0,LANTAU ARROW,7,716099,25,139,17,14901,11,1,2016-12-13T13:13:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.53756,18.7354,106,270,269,2,GDYNIA,MH,158,0,LANTAU ARROW,7,716099,25,139,17,14901,11,1,2016-12-13T13:15:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.53767,18.72447,106,270,269,2,GDYNIA,MH,158,0,LANTAU ARROW,7,716099,25,139,18,14901,11,1,2016-12-13T13:17:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.53773,18.71449,107,271,269,2,GDYNIA,MH,158,0,LANTAU ARROW,7,716099,25,139,18,14901,11,1,2016-12-13T13:19:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.53783,18.70424,107,271,269,2,GDYNIA,MH,158,0,LANTAU ARROW,7,716099,25,139,18,14901,11,1,2016-12-13T13:21:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.53794,18.69376,107,270,269,2,GDYNIA,MH,158,0,LANTAU ARROW,7,716099,25,139,18,14901,11,1,2016-12-13T13:23:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
54.53799,18.68371,107,270,269,2,GDYNIA,MH,158,0,LANTAU ARROW,7,716099,25,139,18,14901,11,1,2016-12-13T13:25:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Cargo,Gdańsk,0
