LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
59.86789,30.2228,0,267,308,2,ST.PETERBURG,LR,152,0,ZENIT,7,754206,23,118,4,12848,21,1,2016-12-13T11:31:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.86789,30.2228,0,267,308,2,ST.PETERBURG,LR,152,0,ZENIT,7,754206,23,118,4,12848,21,1,2016-12-13T11:31:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.8679,30.2228,0,267,309,1,ST.PETERBURG,LR,152,0,ZENIT,7,754206,23,118,4,12848,21,1,2016-12-13T11:33:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.8679,30.2228,0,267,309,1,ST.PETERBURG,LR,152,0,ZENIT,7,754206,23,118,4,12848,21,1,2016-12-13T11:33:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.8679,30.2228,0,267,309,3,ST.PETERBURG,LR,152,0,ZENIT,7,754206,23,118,4,12848,21,1,2016-12-13T11:35:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.8679,30.2228,0,267,309,3,ST.PETERBURG,LR,152,0,ZENIT,7,754206,23,118,4,12848,21,1,2016-12-13T11:35:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.86786,30.22277,0,267,309,2,ST.PETERBURG,LR,152,0,ZENIT,7,754206,23,118,4,12848,21,1,2016-12-13T11:37:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.86786,30.22277,0,267,309,2,ST.PETERBURG,LR,152,0,ZENIT,7,754206,23,118,4,12848,21,1,2016-12-13T11:37:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.86789,30.22287,0,267,309,1,ST.PETERBURG,LR,152,0,ZENIT,7,754206,23,118,4,12848,21,1,2016-12-13T11:39:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.86789,30.22287,0,267,309,1,ST.PETERBURG,LR,152,0,ZENIT,7,754206,23,118,4,12848,21,1,2016-12-13T11:39:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.86789,30.22287,0,267,309,3,ST.PETERBURG,LR,152,0,ZENIT,7,754206,23,118,4,12848,21,1,2016-12-13T11:41:04.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.86789,30.22287,0,267,309,3,ST.PETERBURG,LR,152,0,ZENIT,7,754206,23,118,4,12848,21,1,2016-12-13T11:41:05.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
59.86789,30.22277,0,267,309,2,ST.PETERBURG,LR,152,0,ZENIT,7,754206,23,118,4,12848,21,1,2016-12-13T11:43:03.000Z,st_petersburg,2016-12-13T00:00:00.000Z,50,Cargo,St. Petersburg,1
