LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
59.92061,30.00582,100,111,111,2,ST PETERSBURG VIANOK,LR,168,2,AALDERDIJK,7,754856,25,145,17,21299,11,1,2016-12-18T14:31:04.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91868,30.0154,86,112,111,2,ST PETERSBURG VIANOK,LR,168,1,AALDERDIJK,7,754856,25,145,17,21299,11,1,2016-12-18T14:33:04.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91868,30.0154,86,112,111,2,ST PETERSBURG VIANOK,LR,168,1,AALDERDIJK,7,754856,25,145,17,21299,11,1,2016-12-18T14:33:05.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91868,30.0154,86,112,111,2,ST PETERSBURG VIANOK,LR,168,1,AALDERDIJK,7,754856,25,145,17,21299,11,1,2016-12-18T14:35:03.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91767,30.02035,79,112,112,3,ST PETERSBURG VIANOK,LR,168,3,AALDERDIJK,7,754856,25,145,17,21299,11,1,2016-12-18T14:35:04.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91531,30.03175,72,112,111,2,ST PETERSBURG VIANOK,LR,168,-2,AALDERDIJK,7,754856,25,145,17,21299,11,1,2016-12-18T14:37:03.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91531,30.03175,72,112,111,2,ST PETERSBURG VIANOK,LR,168,-2,AALDERDIJK,7,754856,25,145,17,21299,11,1,2016-12-18T14:37:04.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91373,30.03958,70,111,111,2,ST PETERSBURG VIANOK,LR,168,-1,AALDERDIJK,7,754856,25,145,17,21299,11,1,2016-12-18T14:39:04.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91373,30.03958,70,111,111,2,ST PETERSBURG VIANOK,LR,168,-1,AALDERDIJK,7,754856,25,145,17,21299,11,1,2016-12-18T14:39:05.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91373,30.03958,70,111,111,2,ST PETERSBURG VIANOK,LR,168,-1,AALDERDIJK,7,754856,25,145,17,21299,11,1,2016-12-18T14:41:03.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91211,30.04743,71,112,111,2,ST PETERSBURG VIANOK,LR,168,-2,AALDERDIJK,7,754856,25,145,17,21299,11,1,2016-12-18T14:41:04.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91052,30.05536,72,111,111,1,ST PETERSBURG VIANOK,LR,168,2,AALDERDIJK,7,754856,25,145,17,21299,11,1,2016-12-18T14:43:03.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91211,30.04743,71,112,111,2,ST PETERSBURG VIANOK,LR,168,-2,AALDERDIJK,7,754856,25,145,17,21299,11,1,2016-12-18T14:43:04.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.90903,30.06292,74,111,111,1,ST PETERSBURG VIANOK,LR,168,3,AALDERDIJK,7,754856,25,145,17,21299,11,1,2016-12-18T14:45:03.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.90903,30.06292,74,111,111,1,ST PETERSBURG VIANOK,LR,168,3,AALDERDIJK,7,754856,25,145,17,21299,11,1,2016-12-18T14:45:04.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.90816,30.0674,75,111,111,2,ST PETERSBURG VIANOK,LR,168,2,AALDERDIJK,7,754856,25,145,17,21299,11,1,2016-12-18T14:47:04.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.90816,30.0674,75,111,111,2,ST PETERSBURG VIANOK,LR,168,2,AALDERDIJK,7,754856,25,145,17,21299,11,1,2016-12-18T14:47:05.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.90644,30.07584,75,111,112,2,ST PETERSBURG VIANOK,LR,168,0,AALDERDIJK,7,754856,25,145,17,21299,11,1,2016-12-18T14:49:04.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.90644,30.07584,75,111,112,2,ST PETERSBURG VIANOK,LR,168,0,AALDERDIJK,7,754856,25,145,17,21299,11,1,2016-12-18T14:49:05.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.90469,30.08423,76,112,112,2,ST PETERSBURG VIANOK,LR,168,-3,AALDERDIJK,7,754856,25,145,17,21299,11,1,2016-12-18T14:51:03.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.90551,30.08037,76,112,112,2,ST PETERSBURG VIANOK,LR,168,-2,AALDERDIJK,7,754856,25,145,17,21299,11,1,2016-12-18T14:51:04.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.9031,30.09235,70,111,112,2,ST PETERSBURG VIANOK,LR,168,0,AALDERDIJK,7,754856,25,145,17,21299,11,1,2016-12-18T14:53:03.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.9031,30.09235,70,111,112,2,ST PETERSBURG VIANOK,LR,168,0,AALDERDIJK,7,754856,25,145,17,21299,11,1,2016-12-18T14:53:04.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.9016,30.09976,65,112,113,2,ST PETERSBURG VIANOK,LR,168,0,AALDERDIJK,7,754856,25,145,17,21299,11,1,2016-12-18T14:55:03.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.9016,30.09976,65,112,113,2,ST PETERSBURG VIANOK,LR,168,0,AALDERDIJK,7,754856,25,145,17,21299,11,1,2016-12-18T14:55:04.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.90014,30.10673,62,112,112,1,ST PETERSBURG VIANOK,LR,168,2,AALDERDIJK,7,754856,25,145,17,21299,11,1,2016-12-18T14:57:04.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.90014,30.10673,62,112,112,0,ST PETERSBURG VIANOK,LR,168,2,AALDERDIJK,7,754856,25,145,17,21299,11,1,2016-12-18T14:57:05.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.89886,30.11288,59,112,112,1,ST PETERSBURG VIANOK,LR,168,-3,AALDERDIJK,7,754856,25,145,17,21299,11,1,2016-12-18T14:59:04.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.90014,30.10673,62,112,112,1,ST PETERSBURG VIANOK,LR,168,2,AALDERDIJK,7,754856,25,145,17,21299,11,1,2016-12-18T14:59:04.000Z,st_petersburg,2016-12-18T00:00:00.000Z,51,Cargo,St. Petersburg,0
