LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
59.92179,30.00057,117,111,112,2,SAINT PETERSBURG,LR,149,0,BALTIC HEATHER,7,755883,22,118,8,10114,21,1,2016-12-20T02:07:04.000Z,st_petersburg,2016-12-20T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.92179,30.00057,117,111,112,2,SAINT PETERSBURG,LR,149,0,BALTIC HEATHER,7,755883,22,118,8,10114,21,1,2016-12-20T02:07:04.000Z,st_petersburg,2016-12-20T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91936,30.01257,117,111,111,2,SAINT PETERSBURG,LR,149,0,BALTIC HEATHER,7,755883,22,118,8,10114,21,1,2016-12-20T02:09:03.000Z,st_petersburg,2016-12-20T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.92179,30.00057,117,111,112,2,SAINT PETERSBURG,LR,149,0,BALTIC HEATHER,7,755883,22,118,8,10114,21,1,2016-12-20T02:09:04.000Z,st_petersburg,2016-12-20T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91677,30.02552,116,111,112,2,SAINT PETERSBURG,LR,149,0,BALTIC HEATHER,7,755883,22,118,8,10114,21,1,2016-12-20T02:11:03.000Z,st_petersburg,2016-12-20T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91677,30.02552,116,111,112,2,SAINT PETERSBURG,LR,149,0,BALTIC HEATHER,7,755883,22,118,8,10114,21,1,2016-12-20T02:11:04.000Z,st_petersburg,2016-12-20T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91561,30.03146,116,111,112,3,SAINT PETERSBURG,LR,149,0,BALTIC HEATHER,7,755883,22,118,8,10114,21,1,2016-12-20T02:13:03.000Z,st_petersburg,2016-12-20T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91561,30.03146,116,111,112,2,SAINT PETERSBURG,LR,149,0,BALTIC HEATHER,7,755883,22,118,8,10114,21,1,2016-12-20T02:13:04.000Z,st_petersburg,2016-12-20T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.9126,30.04639,117,111,112,2,SAINT PETERSBURG,LR,149,0,BALTIC HEATHER,7,755883,22,118,8,10114,21,1,2016-12-20T02:15:04.000Z,st_petersburg,2016-12-20T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.9126,30.04639,117,111,112,1,SAINT PETERSBURG,LR,149,0,BALTIC HEATHER,7,755883,22,118,8,10114,21,1,2016-12-20T02:15:04.000Z,st_petersburg,2016-12-20T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.91124,30.05335,118,112,112,2,SAINT PETERSBURG,LR,149,0,BALTIC HEATHER,7,755883,22,118,8,10114,21,1,2016-12-20T02:17:03.000Z,st_petersburg,2016-12-20T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.9126,30.04639,117,111,112,2,SAINT PETERSBURG,LR,149,0,BALTIC HEATHER,7,755883,22,118,8,10114,21,1,2016-12-20T02:17:04.000Z,st_petersburg,2016-12-20T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.90739,30.07238,109,111,112,2,SAINT PETERSBURG,LR,149,0,BALTIC HEATHER,7,755883,22,118,8,10114,21,1,2016-12-20T02:19:03.000Z,st_petersburg,2016-12-20T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.90739,30.07238,109,111,112,2,SAINT PETERSBURG,LR,149,0,BALTIC HEATHER,7,755883,22,118,8,10114,21,1,2016-12-20T02:19:04.000Z,st_petersburg,2016-12-20T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.90509,30.08356,98,112,113,1,SAINT PETERSBURG,LR,149,0,BALTIC HEATHER,7,755883,22,118,8,10114,21,1,2016-12-20T02:21:04.000Z,st_petersburg,2016-12-20T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.90509,30.08356,98,112,113,1,SAINT PETERSBURG,LR,149,0,BALTIC HEATHER,7,755883,22,118,8,10114,21,1,2016-12-20T02:21:05.000Z,st_petersburg,2016-12-20T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.90313,30.09311,90,112,112,1,SAINT PETERSBURG,LR,149,0,BALTIC HEATHER,7,755883,22,118,8,10114,21,1,2016-12-20T02:23:03.000Z,st_petersburg,2016-12-20T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.90313,30.09311,90,112,112,1,SAINT PETERSBURG,LR,149,0,BALTIC HEATHER,7,755883,22,118,8,10114,21,1,2016-12-20T02:23:04.000Z,st_petersburg,2016-12-20T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.90204,30.09835,85,112,112,2,SAINT PETERSBURG,LR,149,0,BALTIC HEATHER,7,755883,22,118,8,10114,21,1,2016-12-20T02:25:03.000Z,st_petersburg,2016-12-20T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.90313,30.09311,90,112,112,1,SAINT PETERSBURG,LR,149,0,BALTIC HEATHER,7,755883,22,118,8,10114,21,1,2016-12-20T02:25:04.000Z,st_petersburg,2016-12-20T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.90005,30.10781,78,112,112,2,SAINT PETERSBURG,LR,149,0,BALTIC HEATHER,7,755883,22,118,8,10114,21,1,2016-12-20T02:27:03.000Z,st_petersburg,2016-12-20T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.90105,30.10321,80,112,113,2,SAINT PETERSBURG,LR,149,0,BALTIC HEATHER,7,755883,22,118,8,10114,21,1,2016-12-20T02:27:04.000Z,st_petersburg,2016-12-20T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.89835,30.11628,74,112,112,2,SAINT PETERSBURG,LR,149,0,BALTIC HEATHER,7,755883,22,118,8,10114,21,1,2016-12-20T02:29:03.000Z,st_petersburg,2016-12-20T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.89835,30.11628,74,112,112,2,SAINT PETERSBURG,LR,149,0,BALTIC HEATHER,7,755883,22,118,8,10114,21,1,2016-12-20T02:29:04.000Z,st_petersburg,2016-12-20T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.89679,30.12375,72,112,112,2,SAINT PETERSBURG,LR,149,0,BALTIC HEATHER,7,755883,22,118,8,10114,21,1,2016-12-20T02:31:03.000Z,st_petersburg,2016-12-20T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.89679,30.12375,72,112,112,2,SAINT PETERSBURG,LR,149,0,BALTIC HEATHER,7,755883,22,118,8,10114,21,1,2016-12-20T02:31:04.000Z,st_petersburg,2016-12-20T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.89513,30.13161,71,112,112,2,SAINT PETERSBURG,LR,149,0,BALTIC HEATHER,7,755883,22,118,8,10114,21,1,2016-12-20T02:33:03.000Z,st_petersburg,2016-12-20T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.89513,30.13161,71,112,112,2,SAINT PETERSBURG,LR,149,0,BALTIC HEATHER,7,755883,22,118,8,10114,21,1,2016-12-20T02:33:04.000Z,st_petersburg,2016-12-20T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.89351,30.13941,71,112,112,2,SAINT PETERSBURG,LR,149,0,BALTIC HEATHER,7,755883,22,118,8,10114,21,1,2016-12-20T02:35:03.000Z,st_petersburg,2016-12-20T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.89351,30.13941,71,112,112,2,SAINT PETERSBURG,LR,149,0,BALTIC HEATHER,7,755883,22,118,8,10114,21,1,2016-12-20T02:35:04.000Z,st_petersburg,2016-12-20T00:00:00.000Z,51,Cargo,St. Petersburg,0
59.89208,30.14655,70,112,112,1,SAINT PETERSBURG,LR,149,0,BALTIC HEATHER,7,755883,22,118,8,10114,21,1,2016-12-20T02:37:03.000Z,st_petersburg,2016-12-20T00:00:00.000Z,51,Cargo,St. Petersburg,0
