LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
59.92056,30.00623,105,111,111,2,ST PETERSBURG,LR,179,0,INA LOTTE,7,758523,29,154,12,38267,6,1,2016-12-14T15:07:03.000Z,st_petersburg,2016-12-14T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.92056,30.00623,105,111,111,2,ST PETERSBURG,LR,179,0,INA LOTTE,7,758523,29,154,12,38267,6,1,2016-12-14T15:07:04.000Z,st_petersburg,2016-12-14T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.91826,30.01761,99,111,111,2,ST PETERSBURG,LR,179,0,INA LOTTE,7,758523,29,154,12,38267,6,1,2016-12-14T15:09:04.000Z,st_petersburg,2016-12-14T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.91826,30.01761,99,111,111,2,ST PETERSBURG,LR,179,0,INA LOTTE,7,758523,29,154,12,38267,6,1,2016-12-14T15:09:05.000Z,st_petersburg,2016-12-14T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.91631,30.02742,95,111,111,2,ST PETERSBURG,LR,179,0,INA LOTTE,7,758523,29,154,12,38267,6,1,2016-12-14T15:11:03.000Z,st_petersburg,2016-12-14T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.91727,30.02257,96,111,111,2,ST PETERSBURG,LR,179,0,INA LOTTE,7,758523,29,154,12,38267,6,1,2016-12-14T15:11:04.000Z,st_petersburg,2016-12-14T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.91415,30.03794,98,111,111,2,ST PETERSBURG,LR,179,0,INA LOTTE,7,758523,29,154,12,38267,6,1,2016-12-14T15:13:03.000Z,st_petersburg,2016-12-14T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.91415,30.03794,98,111,111,2,ST PETERSBURG,LR,179,0,INA LOTTE,7,758523,29,154,12,38267,6,1,2016-12-14T15:13:04.000Z,st_petersburg,2016-12-14T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.91179,30.04992,102,111,111,1,ST PETERSBURG,LR,179,0,INA LOTTE,7,758523,29,154,12,38267,6,1,2016-12-14T15:15:03.000Z,st_petersburg,2016-12-14T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.91179,30.04992,102,111,111,0,ST PETERSBURG,LR,179,0,INA LOTTE,7,758523,29,154,12,38267,6,1,2016-12-14T15:15:04.000Z,st_petersburg,2016-12-14T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.91059,30.05595,104,111,111,2,ST PETERSBURG,LR,179,0,INA LOTTE,7,758523,29,150,10,38267,6,1,2016-12-14T15:17:04.000Z,st_petersburg,2016-12-14T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.91059,30.05595,104,111,111,1,ST PETERSBURG,LR,179,0,INA LOTTE,7,758523,29,150,10,38267,6,1,2016-12-14T15:17:04.000Z,st_petersburg,2016-12-14T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.9082,30.06807,109,111,111,2,ST PETERSBURG,LR,179,0,INA LOTTE,7,758523,29,150,10,38267,6,1,2016-12-14T15:19:04.000Z,st_petersburg,2016-12-14T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.9082,30.06807,109,111,111,2,ST PETERSBURG,LR,179,0,INA LOTTE,7,758523,29,150,10,38267,6,1,2016-12-14T15:19:05.000Z,st_petersburg,2016-12-14T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.90585,30.0794,112,111,111,2,ST PETERSBURG,LR,179,0,INA LOTTE,7,758523,29,150,10,38267,6,1,2016-12-14T15:21:03.000Z,st_petersburg,2016-12-14T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.90585,30.0794,112,111,111,2,ST PETERSBURG,LR,179,0,INA LOTTE,7,758523,29,150,10,38267,6,1,2016-12-14T15:21:04.000Z,st_petersburg,2016-12-14T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.90363,30.09045,103,111,111,2,ST PETERSBURG,LR,179,0,INA LOTTE,7,758523,29,150,10,38267,6,1,2016-12-14T15:23:03.000Z,st_petersburg,2016-12-14T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.90363,30.09045,103,111,111,2,ST PETERSBURG,LR,179,0,INA LOTTE,7,758523,29,150,10,38267,6,1,2016-12-14T15:23:04.000Z,st_petersburg,2016-12-14T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.90152,30.1006,96,111,111,2,ST PETERSBURG,LR,179,0,INA LOTTE,7,758523,29,150,10,38267,6,1,2016-12-14T15:25:04.000Z,st_petersburg,2016-12-14T00:00:00.000Z,50,Cargo,St. Petersburg,0
59.90152,30.1006,96,111,111,2,ST PETERSBURG,LR,179,0,INA LOTTE,7,758523,29,150,10,38267,6,1,2016-12-14T15:25:05.000Z,st_petersburg,2016-12-14T00:00:00.000Z,50,Cargo,St. Petersburg,0
