LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.79418,18.97403,147,127,125,2,GDYNIA,LR,158,-5,E.R. TALLINN,7,758589,23,142,5,14230,11,1,2016-12-18T02:23:01.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.79173,18.97952,145,127,126,3,GDYNIA,LR,158,-3,E.R. TALLINN,7,758589,23,142,5,14230,11,1,2016-12-18T02:25:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.78645,18.9911,145,131,133,3,GDYNIA,LR,158,14,E.R. TALLINN,7,758589,23,142,5,14230,11,1,2016-12-18T02:27:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.77966,18.99809,135,170,174,2,GDYNIA,LR,158,20,E.R. TALLINN,7,758589,23,142,5,14230,11,1,2016-12-18T02:29:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.7716,18.99647,132,199,198,2,GDYNIA,LR,158,-4,E.R. TALLINN,7,758589,23,142,5,14230,11,1,2016-12-18T02:31:07.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.76309,18.99068,136,200,196,2,GDYNIA,LR,158,-8,E.R. TALLINN,7,758589,23,142,20,14230,11,1,2016-12-18T02:33:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.75523,18.98625,137,197,195,2,GDYNIA,LR,158,2,E.R. TALLINN,7,758589,23,142,20,14230,11,1,2016-12-18T02:35:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.74791,18.98222,138,196,193,2,GDYNIA,LR,158,4,E.R. TALLINN,7,758589,23,142,20,14230,11,1,2016-12-18T02:37:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.74363,18.98001,136,196,193,2,GDYNIA,LR,158,-4,E.R. TALLINN,7,758589,23,142,20,14230,11,1,2016-12-18T02:39:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.73505,18.97562,138,195,193,2,GDYNIA,LR,158,9,E.R. TALLINN,7,758589,23,142,20,14230,11,1,2016-12-18T02:41:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.72727,18.97143,137,197,194,2,GDYNIA,LR,158,-4,E.R. TALLINN,7,758589,23,142,5,14230,11,1,2016-12-18T02:43:01.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.71957,18.96711,137,197,194,2,GDYNIA,LR,158,0,E.R. TALLINN,7,758589,23,142,5,14230,11,1,2016-12-18T02:45:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.71232,18.96307,137,198,195,2,GDYNIA,LR,158,4,E.R. TALLINN,7,758589,23,142,5,14230,11,1,2016-12-18T02:47:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.70875,18.96106,136,197,195,3,GDYNIA,LR,158,-5,E.R. TALLINN,7,758589,23,142,5,14230,11,1,2016-12-18T02:49:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.69961,18.95613,137,196,194,2,GDYNIA,LR,158,1,E.R. TALLINN,7,758589,23,142,5,14230,11,1,2016-12-18T02:51:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.69237,18.95232,137,197,195,2,GDYNIA,LR,158,2,E.R. TALLINN,7,758589,23,142,5,14230,11,1,2016-12-18T02:53:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.68513,18.94831,137,197,195,2,GDYNIA,LR,158,-3,E.R. TALLINN,7,758589,23,142,20,14230,11,1,2016-12-18T02:55:01.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.67668,18.94379,137,196,195,2,GDYNIA,LR,158,-4,E.R. TALLINN,7,758589,23,142,20,14230,11,1,2016-12-18T02:57:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.6689,18.9392,134,204,203,2,GDYNIA,LR,158,-2,E.R. TALLINN,7,758589,23,142,20,14230,11,1,2016-12-18T02:59:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.66143,18.93299,137,205,203,2,GDYNIA,LR,158,-4,E.R. TALLINN,7,758589,23,142,20,14230,11,1,2016-12-18T03:01:01.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.65749,18.92977,137,205,203,2,GDYNIA,LR,158,-5,E.R. TALLINN,7,758589,23,142,20,14230,11,1,2016-12-18T03:03:01.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.64949,18.92337,138,205,202,2,GDYNIA,LR,158,2,E.R. TALLINN,7,758589,23,142,20,14230,11,1,2016-12-18T03:05:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.64195,18.91741,138,205,202,2,GDYNIA,LR,158,-1,E.R. TALLINN,7,758589,23,142,20,14230,11,1,2016-12-18T03:07:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.63498,18.91183,139,205,202,2,GDYNIA,LR,158,4,E.R. TALLINN,7,758589,23,142,20,14230,11,1,2016-12-18T03:09:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.62745,18.90579,138,204,202,2,GDYNIA,LR,158,-5,E.R. TALLINN,7,758589,23,142,20,14230,11,1,2016-12-18T03:11:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.62042,18.90011,138,205,202,2,GDYNIA,LR,158,-4,E.R. TALLINN,7,758589,23,142,20,14230,11,1,2016-12-18T03:13:01.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.61299,18.8941,138,205,202,2,GDYNIA,LR,158,2,E.R. TALLINN,7,758589,23,142,20,14230,11,1,2016-12-18T03:15:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.60955,18.89128,138,205,202,3,GDYNIA,LR,158,-1,E.R. TALLINN,7,758589,23,142,20,14230,11,1,2016-12-18T03:17:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.60211,18.88511,138,205,202,2,GDYNIA,LR,158,3,E.R. TALLINN,7,758589,23,142,20,14230,11,1,2016-12-18T03:19:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.59471,18.87856,137,210,208,2,GDYNIA,LR,158,-2,E.R. TALLINN,7,758589,23,142,20,14230,11,1,2016-12-18T03:21:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.58788,18.87078,137,216,215,2,GDYNIA,LR,158,5,E.R. TALLINN,7,758589,23,142,20,14230,11,1,2016-12-18T03:23:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.58156,18.86159,138,220,217,2,GDYNIA,LR,158,-3,E.R. TALLINN,7,758589,23,142,20,14230,11,1,2016-12-18T03:25:01.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.57535,18.85207,140,222,219,2,GDYNIA,LR,158,0,E.R. TALLINN,7,758589,23,142,20,14230,11,1,2016-12-18T03:27:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.56922,18.84235,141,222,219,2,GDYNIA,LR,158,-2,E.R. TALLINN,7,758589,23,142,20,14230,11,1,2016-12-18T03:29:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.56311,18.83283,141,221,219,2,GDYNIA,LR,158,-1,E.R. TALLINN,7,758589,23,142,20,14230,11,1,2016-12-18T03:31:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.56013,18.82824,141,221,219,3,GDYNIA,LR,158,3,E.R. TALLINN,7,758589,23,142,20,14230,11,1,2016-12-18T03:33:01.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.55365,18.81838,142,221,219,2,GDYNIA,LR,158,-2,E.R. TALLINN,7,758589,23,142,20,14230,11,1,2016-12-18T03:35:01.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.54793,18.80924,140,225,224,2,GDYNIA,LR,158,4,E.R. TALLINN,7,758589,23,142,20,14230,11,1,2016-12-18T03:37:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.54315,18.79748,136,243,244,2,GDYNIA,LR,158,8,E.R. TALLINN,7,758589,23,142,20,14230,11,1,2016-12-18T03:39:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.54016,18.78473,139,249,247,2,GDYNIA,LR,158,-1,E.R. TALLINN,7,758589,23,142,20,14230,11,1,2016-12-18T03:41:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.54016,18.78473,139,249,247,2,GDYNIA,LR,158,-1,E.R. TALLINN,7,758589,23,142,20,14230,11,1,2016-12-18T03:43:01.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.53731,18.75813,138,271,270,2,GDYNIA,LR,158,-3,E.R. TALLINN,7,758589,23,142,20,14230,11,1,2016-12-18T03:45:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.53753,18.7443,140,271,270,2,GDYNIA,LR,158,1,E.R. TALLINN,7,758589,23,142,20,14230,11,1,2016-12-18T03:47:01.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.53782,18.73003,141,271,270,2,GDYNIA,LR,158,-4,E.R. TALLINN,7,758589,23,142,20,14230,11,1,2016-12-18T03:49:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.53808,18.7165,142,272,270,2,GDYNIA,LR,158,5,E.R. TALLINN,7,758589,23,142,20,14230,11,1,2016-12-18T03:51:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.53843,18.70294,142,272,270,2,GDYNIA,LR,158,-5,E.R. TALLINN,7,758589,23,142,20,14230,11,1,2016-12-18T03:53:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.53871,18.68947,143,272,270,2,GDYNIA,LR,158,1,E.R. TALLINN,7,758589,23,142,20,14230,11,1,2016-12-18T03:55:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.53896,18.67584,143,272,270,2,GDYNIA,LR,158,3,E.R. TALLINN,7,758589,23,142,20,14230,11,1,2016-12-18T03:57:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.53922,18.66157,141,269,267,2,GDYNIA,LR,158,-2,E.R. TALLINN,7,758589,23,142,20,14230,11,1,2016-12-18T03:59:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.53862,18.65033,96,258,256,2,GDYNIA,LR,158,2,E.R. TALLINN,7,758589,23,142,20,14230,11,1,2016-12-18T04:01:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.53778,18.64255,79,260,258,2,GDYNIA,LR,158,2,E.R. TALLINN,7,758589,23,142,20,14230,11,1,2016-12-18T04:03:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.53682,18.63335,109,261,264,2,GDYNIA,LR,158,10,E.R. TALLINN,7,758589,23,142,20,14230,11,1,2016-12-18T04:05:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.53657,18.62786,120,266,264,3,GDYNIA,LR,158,-4,E.R. TALLINN,7,758589,23,142,20,14230,11,1,2016-12-18T04:07:01.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.53545,18.60916,139,263,263,2,GDYNIA,LR,158,1,E.R. TALLINN,7,758589,23,142,20,14230,11,1,2016-12-18T04:09:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.53523,18.60143,139,272,271,2,GDYNIA,LR,158,-3,E.R. TALLINN,7,758589,23,142,20,14230,11,1,2016-12-18T04:11:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Cargo,Gdańsk,0
54.53505,18.60359,125,92,92,2,KIEL CANAL,LR,158,4,E.R. TALLINN,7,758589,23,142,20,14230,11,1,2016-12-19T05:11:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
54.53459,18.61628,135,97,98,2,KIEL CANAL,LR,158,2,E.R. TALLINN,7,758589,23,142,20,14230,11,1,2016-12-19T05:13:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
54.53318,18.63086,147,100,99,2,KIEL CANAL,LR,158,2,E.R. TALLINN,7,758589,23,142,20,14230,11,1,2016-12-19T05:15:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
54.53172,18.64484,150,99,99,2,KIEL CANAL,LR,158,2,E.R. TALLINN,7,758589,23,142,20,14230,11,1,2016-12-19T05:17:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
54.53016,18.66017,150,99,99,2,KIEL CANAL,LR,158,2,E.R. TALLINN,7,758589,23,142,20,14230,11,1,2016-12-19T05:19:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
54.5287,18.67482,150,95,93,2,KIEL CANAL,LR,158,-4,E.R. TALLINN,7,758589,23,142,20,14230,11,1,2016-12-19T05:21:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
54.5287,18.67482,150,95,93,2,KIEL CANAL,LR,158,-4,E.R. TALLINN,7,758589,23,142,20,14230,11,1,2016-12-19T05:23:01.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
54.52802,18.7044,151,91,91,2,KIEL CANAL,LR,158,0,E.R. TALLINN,7,758589,23,142,20,14230,11,1,2016-12-19T05:25:01.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
54.5277,18.71877,151,92,91,2,KIEL CANAL,LR,158,4,E.R. TALLINN,7,758589,23,142,20,14230,11,1,2016-12-19T05:27:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
54.52739,18.73326,151,92,92,2,KIEL CANAL,LR,158,5,E.R. TALLINN,7,758589,23,142,20,14230,11,1,2016-12-19T05:29:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
54.52706,18.7477,152,92,91,2,KIEL CANAL,LR,158,-5,E.R. TALLINN,7,758589,23,142,20,14230,11,1,2016-12-19T05:31:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
54.52664,18.76216,152,92,91,2,KIEL CANAL,LR,158,1,E.R. TALLINN,7,758589,23,142,20,14230,11,1,2016-12-19T05:33:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
54.52629,18.77662,152,92,91,2,KIEL CANAL,LR,158,-4,E.R. TALLINN,7,758589,23,142,20,14230,11,1,2016-12-19T05:35:01.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
54.52584,18.79116,153,95,86,2,KIEL CANAL,LR,158,-24,E.R. TALLINN,7,758589,23,142,20,14230,11,1,2016-12-19T05:37:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
54.52867,18.8035,142,49,45,2,KIEL CANAL,LR,158,-4,E.R. TALLINN,7,758589,23,142,20,14230,11,1,2016-12-19T05:39:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
54.53438,18.81366,150,45,44,2,KIEL CANAL,LR,158,-1,E.R. TALLINN,7,758589,23,142,20,14230,11,1,2016-12-19T05:41:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
54.54063,18.82434,152,43,42,2,KIEL CANAL,LR,158,-3,E.R. TALLINN,7,758589,23,142,20,14230,11,1,2016-12-19T05:43:01.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Cargo,Gdańsk,0
