LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.38361,18.67292,0,0,511,3,GDANSK,PL,45,0,TANAIS,7,948265,8,35,3,493,9,0,2016-12-16T07:21:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,1
54.38361,18.67292,0,0,511,3,GDANSK,PL,45,0,TANAIS,7,948265,8,35,3,493,9,0,2016-12-16T07:23:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,1
54.38361,18.67292,0,0,511,7,GDANSK,PL,45,0,TANAIS,7,948265,8,35,3,493,9,0,2016-12-16T07:25:01.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,1
54.38361,18.67292,0,0,511,9,GDANSK,PL,45,0,TANAIS,7,948265,8,35,3,493,9,0,2016-12-16T07:27:01.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,1
54.38358,18.67292,0,0,340,2,GDANSK,PL,45,0,TANAIS,7,948265,8,36,3,493,9,0,2016-12-16T07:29:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,1
54.38358,18.67292,0,0,340,4,GDANSK,PL,45,0,TANAIS,7,948265,8,36,3,493,9,0,2016-12-16T07:31:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,1
54.38358,18.67292,0,0,340,6,GDANSK,PL,45,0,TANAIS,7,948265,8,36,3,493,9,0,2016-12-16T07:33:01.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,1
54.38358,18.67287,0,0,340,2,GDANSK,PL,45,0,TANAIS,7,948265,8,36,3,493,9,0,2016-12-16T07:35:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,1
54.38358,18.67287,0,0,340,2,GDANSK,PL,45,0,TANAIS,7,948265,8,36,3,493,9,0,2016-12-16T07:37:01.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,1
54.38358,18.67287,0,0,340,6,GDANSK,PL,45,0,TANAIS,7,948265,8,36,3,493,9,0,2016-12-16T07:39:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,1
54.38361,18.67289,0,0,340,2,GDANSK,PL,45,0,TANAIS,7,948265,8,36,3,493,9,0,2016-12-16T07:41:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,1
54.38361,18.67289,0,0,340,4,GDANSK,PL,45,0,TANAIS,7,948265,8,36,3,493,9,0,2016-12-16T07:43:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Cargo,Gdańsk,1
