LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.7726,11.6205,0,0,511,1347,CLASS B,SE,7,NA,ENSKAR,2,1442009,2,4,1,NA,NA,0,2016-12-13T11:31:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.7726,11.6205,0,0,511,1348,CLASS B,SE,7,NA,ENSKAR,2,1442009,2,4,1,NA,NA,0,2016-12-13T11:33:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.7726,11.6205,0,0,511,1351,CLASS B,SE,7,NA,ENSKAR,2,1442009,2,4,1,NA,NA,0,2016-12-13T11:35:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.7726,11.6205,0,0,511,1353,CLASS B,SE,7,NA,ENSKAR,2,1442009,2,4,1,NA,NA,0,2016-12-13T11:37:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.7726,11.6205,0,0,511,1355,CLASS B,SE,7,NA,ENSKAR,2,1442009,2,4,1,NA,NA,0,2016-12-13T11:39:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.7726,11.6205,0,0,511,1357,CLASS B,SE,7,NA,ENSKAR,2,1442009,2,4,1,NA,NA,0,2016-12-13T11:41:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.7726,11.6205,0,0,511,1359,CLASS B,SE,7,NA,ENSKAR,2,1442009,2,4,1,NA,NA,0,2016-12-13T11:43:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.7726,11.6205,0,0,511,1361,CLASS B,SE,7,NA,ENSKAR,2,1442009,2,4,1,NA,NA,0,2016-12-13T11:45:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.7726,11.6205,0,0,511,1363,CLASS B,SE,7,NA,ENSKAR,2,1442009,2,4,1,NA,NA,0,2016-12-13T11:47:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.7726,11.6205,0,0,511,1365,CLASS B,SE,7,NA,ENSKAR,2,1442009,2,4,1,NA,NA,0,2016-12-13T11:49:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.7726,11.6205,0,0,511,1366,CLASS B,SE,7,NA,ENSKAR,2,1442009,2,4,1,NA,NA,0,2016-12-13T11:51:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.7726,11.6205,0,0,511,1369,CLASS B,SE,7,NA,ENSKAR,2,1442009,2,4,1,NA,NA,0,2016-12-13T11:53:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.7726,11.6205,0,0,511,1371,CLASS B,SE,7,NA,ENSKAR,2,1442009,2,4,1,NA,NA,0,2016-12-13T11:55:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.7726,11.6205,0,0,511,1373,CLASS B,SE,7,NA,ENSKAR,2,1442009,2,4,1,NA,NA,0,2016-12-13T11:57:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.7726,11.6205,0,0,511,1375,CLASS B,SE,7,NA,ENSKAR,2,1442009,2,4,1,NA,NA,0,2016-12-13T11:59:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.7726,11.6205,0,0,511,1376,CLASS B,SE,7,NA,ENSKAR,2,1442009,2,4,1,NA,NA,0,2016-12-13T12:01:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.7726,11.6205,0,0,511,1377,CLASS B,SE,7,NA,ENSKAR,2,1442009,2,4,1,NA,NA,0,2016-12-13T12:03:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.7726,11.6205,0,0,511,1381,CLASS B,SE,7,NA,ENSKAR,2,1442009,2,4,1,NA,NA,0,2016-12-13T12:05:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.7726,11.6205,0,0,511,1383,CLASS B,SE,7,NA,ENSKAR,2,1442009,2,4,1,NA,NA,0,2016-12-13T12:07:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.7726,11.6205,0,0,511,1383,CLASS B,SE,7,NA,ENSKAR,2,1442009,2,4,1,NA,NA,0,2016-12-13T12:09:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.7726,11.6205,0,0,511,1385,CLASS B,SE,7,NA,ENSKAR,2,1442009,2,4,1,NA,NA,0,2016-12-13T12:11:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.7726,11.6205,0,0,511,1387,CLASS B,SE,7,NA,ENSKAR,2,1442009,2,4,1,NA,NA,0,2016-12-13T12:13:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.7726,11.6205,0,0,511,1391,CLASS B,SE,7,NA,ENSKAR,2,1442009,2,4,1,NA,NA,0,2016-12-13T12:15:07.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
