LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.74825,11.60071,84,91,90,3,,SE,24,0,STJARNVIK,2,158493,6,12,4,NA,NA,1,2016-12-13T20:01:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,0
57.74821,11.6124,84,87,90,2,,SE,24,0,STJARNVIK,2,158493,6,12,4,NA,NA,1,2016-12-13T20:03:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,0
57.74832,11.62333,85,88,86,2,,SE,24,0,STJARNVIK,2,158493,6,12,4,NA,NA,1,2016-12-13T20:05:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,0
57.74838,11.62849,86,89,86,2,,SE,24,0,STJARNVIK,2,158493,6,12,4,NA,NA,1,2016-12-13T20:07:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,0
57.74855,11.63782,85,91,95,2,,SE,24,720,STJARNVIK,2,158493,6,12,4,NA,NA,1,2016-12-13T20:09:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,0
57.7469,11.64614,84,114,111,2,,SE,24,0,STJARNVIK,2,158493,6,12,4,NA,NA,1,2016-12-13T20:11:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,0
57.74488,11.65409,85,120,121,2,,SE,24,720,STJARNVIK,2,158493,6,12,4,NA,NA,1,2016-12-13T20:13:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,0
57.74135,11.66004,84,159,157,2,,SE,24,0,STJARNVIK,2,158493,6,12,4,NA,NA,1,2016-12-13T20:15:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,0
57.7365,11.66271,79,166,167,2,,SE,24,720,STJARNVIK,2,158493,6,12,4,NA,NA,1,2016-12-13T20:17:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,0
57.73197,11.66409,80,181,180,2,,SE,24,720,STJARNVIK,2,158493,6,12,4,NA,NA,1,2016-12-13T20:19:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,0
57.72741,11.6639,85,186,183,2,,SE,24,0,STJARNVIK,2,158493,6,12,4,NA,NA,1,2016-12-13T20:21:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,0
57.72458,11.66362,84,178,178,3,,SE,24,0,STJARNVIK,2,158493,6,12,4,NA,NA,1,2016-12-13T20:23:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,0
57.71897,11.66432,82,169,168,2,,SE,24,0,STJARNVIK,2,158493,6,12,4,NA,NA,1,2016-12-13T20:25:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,0
57.71384,11.66624,76,171,166,2,,SE,24,0,STJARNVIK,2,158493,6,12,4,NA,NA,1,2016-12-13T20:27:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,0
57.71145,11.66695,50,172,169,2,,SE,24,0,STJARNVIK,2,158493,6,12,4,NA,NA,1,2016-12-13T20:29:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,0
