LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.79506,18.67023,110,151,149,2,GDYNIA,PL,29,0,WLA 108,2,315746,8,15,4,89,43,1,2016-12-20T05:43:02.000Z,gdansk,2016-12-20T00:00:00.000Z,51,Fishing,Gdańsk,0
54.78893,18.67598,107,152,149,2,GDYNIA,PL,29,-720,WLA 108,2,315746,8,15,4,89,43,1,2016-12-20T05:45:01.000Z,gdansk,2016-12-20T00:00:00.000Z,51,Fishing,Gdańsk,0
54.78365,18.68107,108,150,151,2,GDYNIA,PL,29,720,WLA 108,2,315746,8,15,4,89,43,1,2016-12-20T05:47:01.000Z,gdansk,2016-12-20T00:00:00.000Z,51,Fishing,Gdańsk,0
54.77833,18.68597,107,152,150,2,GDYNIA,PL,29,-720,WLA 108,2,315746,8,15,4,89,43,1,2016-12-20T05:49:02.000Z,gdansk,2016-12-20T00:00:00.000Z,51,Fishing,Gdańsk,0
54.77259,18.69145,108,150,149,2,GDYNIA,PL,29,0,WLA 108,2,315746,8,15,4,89,43,1,2016-12-20T05:51:01.000Z,gdansk,2016-12-20T00:00:00.000Z,51,Fishing,Gdańsk,0
54.76731,18.69649,109,150,148,2,GDYNIA,PL,29,0,WLA 108,2,315746,8,15,4,89,43,1,2016-12-20T05:53:01.000Z,gdansk,2016-12-20T00:00:00.000Z,51,Fishing,Gdańsk,0
54.76202,18.70158,109,152,150,2,GDYNIA,PL,29,0,WLA 108,2,315746,8,15,4,89,43,1,2016-12-20T05:55:02.000Z,gdansk,2016-12-20T00:00:00.000Z,51,Fishing,Gdańsk,0
54.75691,18.70708,110,141,139,2,GDYNIA,PL,29,720,WLA 108,2,315746,8,15,4,89,43,1,2016-12-20T05:57:02.000Z,gdansk,2016-12-20T00:00:00.000Z,51,Fishing,Gdańsk,0
54.75168,18.71364,108,143,143,1,GDYNIA,PL,29,720,WLA 108,2,315746,8,15,4,89,43,1,2016-12-20T05:59:02.000Z,gdansk,2016-12-20T00:00:00.000Z,51,Fishing,Gdańsk,0
54.74677,18.71972,108,143,141,2,GDYNIA,PL,29,0,WLA 108,2,315746,8,15,4,89,43,1,2016-12-20T06:01:02.000Z,gdansk,2016-12-20T00:00:00.000Z,51,Fishing,Gdańsk,0
54.74179,18.72565,109,146,146,2,GDYNIA,PL,29,720,WLA 108,2,315746,8,15,4,89,43,1,2016-12-20T06:03:01.000Z,gdansk,2016-12-20T00:00:00.000Z,51,Fishing,Gdańsk,0
54.7368,18.73186,111,145,143,2,GDYNIA,PL,29,0,WLA 108,2,315746,8,15,4,89,43,1,2016-12-20T06:05:02.000Z,gdansk,2016-12-20T00:00:00.000Z,51,Fishing,Gdańsk,0
54.73187,18.73807,112,143,143,2,GDYNIA,PL,29,0,WLA 108,2,315746,8,15,4,89,43,1,2016-12-20T06:07:02.000Z,gdansk,2016-12-20T00:00:00.000Z,51,Fishing,Gdańsk,0
54.72691,18.74399,110,148,144,2,GDYNIA,PL,29,-720,WLA 108,2,315746,8,15,4,89,43,1,2016-12-20T06:09:01.000Z,gdansk,2016-12-20T00:00:00.000Z,51,Fishing,Gdańsk,0
54.72204,18.75035,110,145,146,2,GDYNIA,PL,29,720,WLA 108,2,315746,8,15,4,89,43,1,2016-12-20T06:11:02.000Z,gdansk,2016-12-20T00:00:00.000Z,51,Fishing,Gdańsk,0
54.71655,18.75701,112,142,140,1,GDYNIA,PL,29,-720,WLA 108,2,315746,8,15,4,89,43,1,2016-12-20T06:13:01.000Z,gdansk,2016-12-20T00:00:00.000Z,51,Fishing,Gdańsk,0
54.71149,18.7632,111,148,144,1,GDYNIA,PL,29,-720,WLA 108,2,315746,8,15,4,89,43,1,2016-12-20T06:15:01.000Z,gdansk,2016-12-20T00:00:00.000Z,51,Fishing,Gdańsk,0
54.70644,18.76927,113,144,144,1,GDYNIA,PL,29,720,WLA 108,2,315746,8,15,4,89,43,1,2016-12-20T06:17:02.000Z,gdansk,2016-12-20T00:00:00.000Z,51,Fishing,Gdańsk,0
54.70128,18.77517,113,143,140,1,GDYNIA,PL,29,0,WLA 108,2,315746,8,15,4,89,43,1,2016-12-20T06:19:02.000Z,gdansk,2016-12-20T00:00:00.000Z,51,Fishing,Gdańsk,0
54.69844,18.77886,112,142,143,2,GDYNIA,PL,29,720,WLA 108,2,315746,8,15,4,89,43,1,2016-12-20T06:21:02.000Z,gdansk,2016-12-20T00:00:00.000Z,51,Fishing,Gdańsk,0
54.69295,18.78519,111,144,139,2,GDYNIA,PL,29,-720,WLA 108,2,315746,8,15,4,89,43,1,2016-12-20T06:23:02.000Z,gdansk,2016-12-20T00:00:00.000Z,51,Fishing,Gdańsk,0
