LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.60229,18.80217,1,232,511,2,KEEP CLEAR 0.3NM CPA,PL,26,0,LEB-7,2,315753,6,14,3,NA,NA,1,2016-12-15T04:43:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Fishing,Gdańsk,1
54.60229,18.80217,1,232,511,4,KEEP CLEAR 0.3NM CPA,PL,26,0,LEB-7,2,315753,6,14,3,NA,NA,1,2016-12-15T04:45:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Fishing,Gdańsk,1
54.60229,18.80221,1,246,511,3,KEEP CLEAR 0.3NM CPA,PL,26,0,LEB-7,2,315753,6,14,3,NA,NA,1,2016-12-15T05:11:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Fishing,Gdańsk,1
54.60229,18.80221,1,246,511,5,KEEP CLEAR 0.3NM CPA,PL,26,0,LEB-7,2,315753,6,14,3,NA,NA,1,2016-12-15T05:13:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Fishing,Gdańsk,1
54.6023,18.80218,2,231,511,3,KEEP CLEAR 0.3NM CPA,PL,26,0,LEB-7,2,315753,6,14,3,NA,NA,1,2016-12-15T05:15:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Fishing,Gdańsk,1
54.6023,18.80218,2,231,511,5,KEEP CLEAR 0.3NM CPA,PL,26,0,LEB-7,2,315753,6,14,3,NA,NA,1,2016-12-15T05:17:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Fishing,Gdańsk,1
54.60197,18.80203,38,196,511,2,KEEP CLEAR 0.3NM CPA,PL,26,0,LEB-7,2,315753,6,14,3,NA,NA,1,2016-12-15T05:35:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Fishing,Gdańsk,0
54.59887,18.80001,67,198,511,2,KEEP CLEAR 0.3NM CPA,PL,26,0,LEB-7,2,315753,6,14,3,NA,NA,1,2016-12-15T05:37:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Fishing,Gdańsk,0
54.59534,18.79825,54,181,511,2,KEEP CLEAR 0.3NM CPA,PL,26,0,LEB-7,2,315753,6,14,3,NA,NA,1,2016-12-15T05:39:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Fishing,Gdańsk,0
54.59224,18.79692,71,196,511,2,KEEP CLEAR 0.3NM CPA,PL,26,0,LEB-7,2,315753,6,14,3,NA,NA,1,2016-12-15T05:41:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Fishing,Gdańsk,0
