LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.5175,18.60079,73,152,151,2,SEA TRIAL,PL,42,0,KAPER-2 SG-312,2,315877,8,20,3,66,153,1,2016-12-16T11:39:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.51299,18.60483,103,151,150,1,SEA TRIAL,PL,42,0,KAPER-2 SG-312,2,315877,8,20,3,66,153,1,2016-12-16T11:41:01.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.51034,18.60728,108,152,151,3,SEA TRIAL,PL,42,0,KAPER-2 SG-312,2,315877,8,20,3,66,153,1,2016-12-16T11:43:01.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.50455,18.61253,108,152,151,3,SEA TRIAL,PL,42,-720,KAPER-2 SG-312,2,315877,8,20,3,66,153,1,2016-12-16T11:45:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.50455,18.61253,108,152,151,3,SEA TRIAL,PL,42,-720,KAPER-2 SG-312,2,315877,8,20,3,66,153,1,2016-12-16T11:47:01.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.49924,18.61737,109,151,151,3,SEA TRIAL,PL,42,0,KAPER-2 SG-312,2,315877,8,20,3,66,153,1,2016-12-16T11:49:01.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.49255,18.62343,18,151,153,2,SEA TRIAL,PL,42,0,KAPER-2 SG-312,2,315877,8,20,3,66,153,1,2016-12-16T11:51:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.49199,18.62404,9,144,161,2,SEA TRIAL,PL,42,720,KAPER-2 SG-312,2,315877,8,20,3,66,153,1,2016-12-16T11:53:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.4917,18.62436,5,156,190,2,SEA TRIAL,PL,42,720,KAPER-2 SG-312,2,315877,8,20,3,66,153,1,2016-12-16T11:55:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.4917,18.62436,5,156,190,2,SEA TRIAL,PL,42,720,KAPER-2 SG-312,2,315877,8,20,3,66,153,1,2016-12-16T11:57:01.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.49115,18.62435,4,210,222,2,SEA TRIAL,PL,42,0,KAPER-2 SG-312,2,315877,8,20,3,66,153,1,2016-12-16T11:59:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,1
54.49115,18.62435,4,210,222,3,SEA TRIAL,PL,42,0,KAPER-2 SG-312,2,315877,8,20,3,66,153,1,2016-12-16T12:01:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,1
54.4907,18.624,4,212,226,3,SEA TRIAL,PL,42,0,KAPER-2 SG-312,2,315877,8,20,3,66,153,1,2016-12-16T12:03:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,1
54.4907,18.624,4,212,226,5,SEA TRIAL,PL,42,0,KAPER-2 SG-312,2,315877,8,20,3,66,153,1,2016-12-16T12:05:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,1
54.49026,18.62372,5,178,213,2,SEA TRIAL,PL,42,0,KAPER-2 SG-312,2,315877,8,20,3,66,153,1,2016-12-16T12:07:01.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.49,18.62371,5,190,216,2,SEA TRIAL,PL,42,0,KAPER-2 SG-312,2,315877,8,20,3,66,153,1,2016-12-16T12:09:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.48973,18.62361,4,196,223,2,SEA TRIAL,PL,42,720,KAPER-2 SG-312,2,315877,8,20,3,66,153,1,2016-12-16T12:11:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,1
54.4895,18.62347,5,202,228,3,SEA TRIAL,PL,42,0,KAPER-2 SG-312,2,315877,8,20,3,66,153,1,2016-12-16T12:13:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.48927,18.62323,5,212,240,3,SEA TRIAL,PL,42,0,KAPER-2 SG-312,2,315877,8,20,3,66,153,1,2016-12-16T12:15:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.48848,18.6227,14,163,139,3,SEA TRIAL,PL,42,-720,KAPER-2 SG-312,2,315877,8,20,3,66,153,1,2016-12-16T12:17:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.48827,18.6231,4,100,113,3,SEA TRIAL,PL,42,0,KAPER-2 SG-312,2,315877,8,20,3,66,153,1,2016-12-16T12:19:01.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,1
54.48827,18.6231,4,100,113,5,SEA TRIAL,PL,42,0,KAPER-2 SG-312,2,315877,8,20,3,66,153,1,2016-12-16T12:21:01.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,1
54.48859,18.62326,6,343,122,3,SEA TRIAL,PL,42,0,KAPER-2 SG-312,2,315877,8,20,3,66,153,1,2016-12-16T12:23:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.4887,18.62393,14,69,49,3,SEA TRIAL,PL,42,-720,KAPER-2 SG-312,2,315877,8,20,3,66,153,1,2016-12-16T12:25:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.49089,18.62278,60,333,334,2,SEA TRIAL,PL,42,720,KAPER-2 SG-312,2,315877,8,20,3,66,153,1,2016-12-16T12:27:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.49504,18.62067,80,332,325,2,SEA TRIAL,PL,42,-720,KAPER-2 SG-312,2,315877,8,20,3,66,153,1,2016-12-16T12:29:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.49717,18.61799,106,323,322,2,SEA TRIAL,PL,42,0,KAPER-2 SG-312,2,315877,8,20,3,66,153,1,2016-12-16T12:31:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.50464,18.60792,109,321,320,2,SEA TRIAL,PL,42,0,KAPER-2 SG-312,2,315877,8,20,3,66,153,1,2016-12-16T12:33:01.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.5097,18.60097,109,320,316,2,SEA TRIAL,PL,42,-720,KAPER-2 SG-312,2,315877,8,20,3,66,153,1,2016-12-16T12:35:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.51401,18.6034,83,129,130,1,SEA TRIAL,PL,42,0,KAPER-2 SG-312,2,315877,8,20,3,66,153,1,2016-12-16T13:19:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
54.51083,18.60993,83,129,131,2,SEA TRIAL,PL,42,720,KAPER-2 SG-312,2,315877,8,20,3,66,153,1,2016-12-16T13:21:02.000Z,gdansk,2016-12-16T00:00:00.000Z,51,Fishing,Gdańsk,0
