LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.69463,18.67764,0,0,511,3,OA8,PL,18,0,JAS 102,2,315927,5,15,3,NA,NA,0,2016-12-15T04:05:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Fishing,Gdańsk,1
54.69463,18.67764,0,0,511,4,OA8,PL,18,0,JAS 102,2,315927,5,15,3,NA,NA,0,2016-12-15T04:07:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Fishing,Gdańsk,1
54.69463,18.67718,40,272,511,2,OA8,PL,18,0,JAS 102,2,315927,5,15,3,NA,NA,1,2016-12-15T04:09:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Fishing,Gdańsk,0
54.69233,18.67403,66,183,511,2,OA8,PL,18,0,JAS 102,2,315927,5,15,3,NA,NA,0,2016-12-15T04:11:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Fishing,Gdańsk,0
54.68866,18.67389,70,181,511,2,OA8,PL,18,0,JAS 102,2,315927,5,15,3,NA,NA,1,2016-12-15T04:13:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Fishing,Gdańsk,0
54.68467,18.6737,74,181,511,2,OA8,PL,18,0,JAS 102,2,315927,5,15,3,NA,NA,1,2016-12-15T04:15:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Fishing,Gdańsk,0
54.68058,18.67372,74,179,511,2,OA8,PL,18,0,JAS 102,2,315927,5,15,3,NA,NA,1,2016-12-15T04:17:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Fishing,Gdańsk,0
54.67606,18.67446,74,168,511,2,OA8,PL,18,0,JAS 102,2,315927,5,15,3,NA,NA,1,2016-12-15T04:19:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Fishing,Gdańsk,0
54.67399,18.6752,76,167,511,3,OA8,PL,18,0,JAS 102,2,315927,5,15,3,NA,NA,1,2016-12-15T04:21:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Fishing,Gdańsk,0
54.66968,18.67754,80,156,511,2,OA8,PL,18,0,JAS 102,2,315927,5,15,3,NA,NA,1,2016-12-15T04:23:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Fishing,Gdańsk,0
