LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.79733,18.41902,22,79,511,2,WLADYSLAWOWO,PL,26,0,WLA310,2,315948,6,16,3,126,43,0,2016-12-14T18:39:07.000Z,gdynia,2016-12-14T00:00:00.000Z,50,Fishing,Gdynia,0
54.79733,18.41902,22,79,511,4,WLADYSLAWOWO,PL,26,0,WLA310,2,315948,6,16,3,126,43,0,2016-12-14T18:41:07.000Z,gdynia,2016-12-14T00:00:00.000Z,50,Fishing,Gdynia,0
54.79649,18.42341,50,124,511,2,WLADYSLAWOWO,PL,26,0,WLA310,2,315948,6,16,3,126,43,1,2016-12-16T19:45:07.000Z,gdynia,2016-12-16T00:00:00.000Z,51,Fishing,Gdynia,0
54.79649,18.42341,50,124,511,4,WLADYSLAWOWO,PL,26,0,WLA310,2,315948,6,16,3,126,43,1,2016-12-16T19:47:07.000Z,gdynia,2016-12-16T00:00:00.000Z,51,Fishing,Gdynia,0
54.79649,18.42341,50,124,511,5,WLADYSLAWOWO,PL,26,0,WLA310,2,315948,6,16,3,126,43,1,2016-12-16T19:49:07.000Z,gdynia,2016-12-16T00:00:00.000Z,51,Fishing,Gdynia,0
54.79649,18.42341,50,124,511,8,WLADYSLAWOWO,PL,26,0,WLA310,2,315948,6,16,3,126,43,1,2016-12-16T19:51:06.000Z,gdynia,2016-12-16T00:00:00.000Z,51,Fishing,Gdynia,0
54.79649,18.42341,50,124,511,10,WLADYSLAWOWO,PL,26,0,WLA310,2,315948,6,16,3,126,43,1,2016-12-16T19:53:07.000Z,gdynia,2016-12-16T00:00:00.000Z,51,Fishing,Gdynia,0
54.79649,18.42341,50,124,511,12,WLADYSLAWOWO,PL,26,0,WLA310,2,315948,6,16,3,126,43,1,2016-12-16T19:55:07.000Z,gdynia,2016-12-16T00:00:00.000Z,51,Fishing,Gdynia,0
54.79649,18.42341,50,124,511,14,WLADYSLAWOWO,PL,26,0,WLA310,2,315948,6,16,3,126,43,1,2016-12-16T19:57:07.000Z,gdynia,2016-12-16T00:00:00.000Z,51,Fishing,Gdynia,0
54.79649,18.42341,50,124,511,16,WLADYSLAWOWO,PL,26,0,WLA310,2,315948,6,16,3,126,43,1,2016-12-16T19:59:07.000Z,gdynia,2016-12-16T00:00:00.000Z,51,Fishing,Gdynia,0
54.79649,18.42341,50,124,511,18,WLADYSLAWOWO,PL,26,0,WLA310,2,315948,6,16,3,126,43,1,2016-12-16T20:01:07.000Z,gdynia,2016-12-16T00:00:00.000Z,51,Fishing,Gdynia,0
54.79649,18.42341,50,124,511,20,WLADYSLAWOWO,PL,26,0,WLA310,2,315948,6,16,3,126,43,1,2016-12-16T20:03:07.000Z,gdynia,2016-12-16T00:00:00.000Z,51,Fishing,Gdynia,0
54.79649,18.42341,50,124,511,22,WLADYSLAWOWO,PL,26,0,WLA310,2,315948,6,16,3,126,43,1,2016-12-16T20:05:07.000Z,gdynia,2016-12-16T00:00:00.000Z,51,Fishing,Gdynia,0
54.79649,18.42341,50,124,511,24,WLADYSLAWOWO,PL,26,0,WLA310,2,315948,6,16,3,126,43,1,2016-12-16T20:07:07.000Z,gdynia,2016-12-16T00:00:00.000Z,51,Fishing,Gdynia,0
54.79649,18.42341,50,124,511,26,WLADYSLAWOWO,PL,26,0,WLA310,2,315948,6,16,3,126,43,1,2016-12-16T20:09:07.000Z,gdynia,2016-12-16T00:00:00.000Z,51,Fishing,Gdynia,0
54.79649,18.42341,50,124,511,28,WLADYSLAWOWO,PL,26,0,WLA310,2,315948,6,16,3,126,43,1,2016-12-16T20:11:06.000Z,gdynia,2016-12-16T00:00:00.000Z,51,Fishing,Gdynia,0
54.79649,18.42341,50,124,511,30,WLADYSLAWOWO,PL,26,0,WLA310,2,315948,6,16,3,126,43,1,2016-12-16T20:13:07.000Z,gdynia,2016-12-16T00:00:00.000Z,51,Fishing,Gdynia,0
54.79649,18.42341,50,124,511,32,WLADYSLAWOWO,PL,26,0,WLA310,2,315948,6,16,3,126,43,1,2016-12-16T20:15:06.000Z,gdynia,2016-12-16T00:00:00.000Z,51,Fishing,Gdynia,0
54.79649,18.42341,50,124,511,34,WLADYSLAWOWO,PL,26,0,WLA310,2,315948,6,16,3,126,43,1,2016-12-16T20:17:07.000Z,gdynia,2016-12-16T00:00:00.000Z,51,Fishing,Gdynia,0
54.79649,18.42341,50,124,511,36,WLADYSLAWOWO,PL,26,0,WLA310,2,315948,6,16,3,126,43,1,2016-12-16T20:19:07.000Z,gdynia,2016-12-16T00:00:00.000Z,51,Fishing,Gdynia,0
54.79649,18.42341,50,124,511,38,WLADYSLAWOWO,PL,26,0,WLA310,2,315948,6,16,3,126,43,1,2016-12-16T20:21:07.000Z,gdynia,2016-12-16T00:00:00.000Z,51,Fishing,Gdynia,0
54.79649,18.42341,50,124,511,40,WLADYSLAWOWO,PL,26,0,WLA310,2,315948,6,16,3,126,43,1,2016-12-16T20:23:07.000Z,gdynia,2016-12-16T00:00:00.000Z,51,Fishing,Gdynia,0
54.79649,18.42341,50,124,511,42,WLADYSLAWOWO,PL,26,0,WLA310,2,315948,6,16,3,126,43,1,2016-12-16T20:25:07.000Z,gdynia,2016-12-16T00:00:00.000Z,51,Fishing,Gdynia,0
54.79649,18.42341,50,124,511,42,WLADYSLAWOWO,PL,26,0,WLA310,2,315948,6,16,3,126,43,1,2016-12-16T20:27:06.000Z,gdynia,2016-12-16T00:00:00.000Z,51,Fishing,Gdynia,0
54.79649,18.42341,50,124,511,46,WLADYSLAWOWO,PL,26,0,WLA310,2,315948,6,16,3,126,43,1,2016-12-16T20:29:07.000Z,gdynia,2016-12-16T00:00:00.000Z,51,Fishing,Gdynia,0
54.79649,18.42341,50,124,511,48,WLADYSLAWOWO,PL,26,0,WLA310,2,315948,6,16,3,126,43,1,2016-12-16T20:31:06.000Z,gdynia,2016-12-16T00:00:00.000Z,51,Fishing,Gdynia,0
54.79649,18.42341,50,124,511,50,WLADYSLAWOWO,PL,26,0,WLA310,2,315948,6,16,3,126,43,1,2016-12-16T20:33:07.000Z,gdynia,2016-12-16T00:00:00.000Z,51,Fishing,Gdynia,0
54.79649,18.42341,50,124,511,52,WLADYSLAWOWO,PL,26,0,WLA310,2,315948,6,16,3,126,43,1,2016-12-16T20:35:06.000Z,gdynia,2016-12-16T00:00:00.000Z,51,Fishing,Gdynia,0
54.79649,18.42341,50,124,511,54,WLADYSLAWOWO,PL,26,0,WLA310,2,315948,6,16,3,126,43,1,2016-12-16T20:37:07.000Z,gdynia,2016-12-16T00:00:00.000Z,51,Fishing,Gdynia,0
54.79649,18.42341,50,124,511,56,WLADYSLAWOWO,PL,26,0,WLA310,2,315948,6,16,3,126,43,1,2016-12-16T20:39:07.000Z,gdynia,2016-12-16T00:00:00.000Z,51,Fishing,Gdynia,0
54.79649,18.42341,50,124,511,58,WLADYSLAWOWO,PL,26,0,WLA310,2,315948,6,16,3,126,43,1,2016-12-16T20:41:07.000Z,gdynia,2016-12-16T00:00:00.000Z,51,Fishing,Gdynia,0
54.79649,18.42341,50,124,511,60,WLADYSLAWOWO,PL,26,0,WLA310,2,315948,6,16,3,126,43,1,2016-12-16T20:43:07.000Z,gdynia,2016-12-16T00:00:00.000Z,51,Fishing,Gdynia,0
54.79649,18.42341,50,124,511,62,WLADYSLAWOWO,PL,26,0,WLA310,2,315948,6,16,3,126,43,1,2016-12-16T20:45:07.000Z,gdynia,2016-12-16T00:00:00.000Z,51,Fishing,Gdynia,0
54.79649,18.42341,50,124,511,62,WLADYSLAWOWO,PL,26,0,WLA310,2,315948,6,16,3,126,43,1,2016-12-16T20:47:06.000Z,gdynia,2016-12-16T00:00:00.000Z,51,Fishing,Gdynia,0
54.79649,18.42341,50,124,511,66,WLADYSLAWOWO,PL,26,0,WLA310,2,315948,6,16,3,126,43,1,2016-12-16T20:49:07.000Z,gdynia,2016-12-16T00:00:00.000Z,51,Fishing,Gdynia,0
54.79649,18.42341,50,124,511,68,WLADYSLAWOWO,PL,26,0,WLA310,2,315948,6,16,3,126,43,1,2016-12-16T20:51:07.000Z,gdynia,2016-12-16T00:00:00.000Z,51,Fishing,Gdynia,0
