LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.7955,18.41654,0,0,511,4,WLADYSLAWOWO,PL,26,0,WLA-312,2,315951,6,16,3,126,43,0,2016-12-13T11:31:08.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Fishing,Gdynia,1
54.79548,18.41647,0,0,511,2,WLADYSLAWOWO,PL,26,0,WLA-312,2,315951,6,16,3,126,43,0,2016-12-13T11:33:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Fishing,Gdynia,1
54.79548,18.41647,0,0,511,4,WLADYSLAWOWO,PL,26,0,WLA-312,2,315951,6,16,3,126,43,0,2016-12-13T11:35:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Fishing,Gdynia,1
54.79548,18.41647,0,0,511,6,WLADYSLAWOWO,PL,26,0,WLA-312,2,315951,6,16,3,126,43,0,2016-12-13T11:37:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Fishing,Gdynia,1
54.79551,18.4166,0,316,511,3,WLADYSLAWOWO,PL,26,0,WLA-312,2,315951,6,16,3,126,43,0,2016-12-13T11:39:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Fishing,Gdynia,1
54.79551,18.4166,0,316,511,5,WLADYSLAWOWO,PL,26,0,WLA-312,2,315951,6,16,3,126,43,0,2016-12-13T11:41:08.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Fishing,Gdynia,1
54.79551,18.4166,0,316,511,7,WLADYSLAWOWO,PL,26,0,WLA-312,2,315951,6,16,3,126,43,0,2016-12-13T11:43:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Fishing,Gdynia,1
54.79549,18.41654,0,0,511,2,WLADYSLAWOWO,PL,26,0,WLA-312,2,315951,6,16,3,126,43,0,2016-12-13T11:45:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Fishing,Gdynia,1
54.79549,18.41654,0,0,511,4,WLADYSLAWOWO,PL,26,0,WLA-312,2,315951,6,16,3,126,43,0,2016-12-13T11:47:08.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Fishing,Gdynia,1
54.79549,18.41654,0,0,511,6,WLADYSLAWOWO,PL,26,0,WLA-312,2,315951,6,16,3,126,43,0,2016-12-13T11:49:08.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Fishing,Gdynia,1
