LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.50251,18.99321,82,230,511,2,BHA,PL,21,0,GDA-20,2,315959,6,16,3,NA,NA,1,2016-12-13T18:51:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.49924,18.9875,82,227,511,2,BHA,PL,21,0,GDA-20,2,315959,6,16,3,NA,NA,1,2016-12-13T18:53:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.49588,18.98211,84,220,511,2,BHA,PL,21,0,GDA-20,2,315959,6,16,3,NA,NA,1,2016-12-13T18:55:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.49269,18.97636,83,220,511,2,BHA,PL,21,0,GDA-20,2,315959,6,16,3,NA,NA,1,2016-12-13T18:57:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.48911,18.97127,82,223,511,2,BHA,PL,21,0,GDA-20,2,315959,6,16,3,NA,NA,1,2016-12-13T18:59:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.4875,18.96839,83,229,511,2,BHA,PL,21,0,GDA-20,2,315959,6,16,3,NA,NA,1,2016-12-13T19:01:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.4828,18.95952,84,227,511,2,BHA,PL,21,0,GDA-20,2,315959,6,16,3,NA,NA,1,2016-12-13T19:03:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.48101,18.9514,85,261,511,2,BHA,PL,21,0,GDA-20,2,315959,6,16,3,NA,NA,1,2016-12-13T19:05:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.48067,18.94737,86,262,511,2,BHA,PL,21,0,GDA-20,2,315959,6,16,3,NA,NA,1,2016-12-13T19:07:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.48035,18.93924,86,267,511,2,BHA,PL,21,0,GDA-20,2,315959,6,16,3,NA,NA,1,2016-12-13T19:09:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.47569,18.93058,84,223,511,1,BHA,PL,21,0,GDA-20,2,315959,6,16,3,NA,NA,1,2016-12-13T19:11:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.47375,18.92712,84,230,511,2,BHA,PL,21,0,GDA-20,2,315959,6,16,3,NA,NA,1,2016-12-13T19:13:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.47047,18.92123,85,225,511,2,BHA,PL,21,0,GDA-20,2,315959,6,16,3,NA,NA,1,2016-12-13T19:15:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.46683,18.91608,85,215,511,2,BHA,PL,21,0,GDA-20,2,315959,6,16,3,NA,NA,1,2016-12-13T19:17:03.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.46299,18.91136,85,208,511,2,BHA,PL,21,0,GDA-20,2,315959,6,16,3,NA,NA,1,2016-12-13T19:19:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.45854,18.90718,85,225,511,2,BHA,PL,21,0,GDA-20,2,315959,6,16,3,NA,NA,1,2016-12-13T19:21:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.45522,18.90185,57,225,511,2,BHA,PL,21,0,GDA-20,2,315959,6,16,3,NA,NA,1,2016-12-13T19:23:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.45446,18.89969,15,273,511,2,BHA,PL,21,0,GDA-20,2,315959,6,16,3,NA,NA,1,2016-12-13T19:25:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.45464,18.89927,4,18,511,2,BHA,PL,21,0,GDA-20,2,315959,6,16,3,NA,NA,1,2016-12-13T19:27:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,1
54.45478,18.89971,5,78,511,2,BHA,PL,21,0,GDA-20,2,315959,6,16,3,NA,NA,1,2016-12-13T19:29:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.45483,18.90019,5,78,511,2,BHA,PL,21,0,GDA-20,2,315959,6,16,3,NA,NA,1,2016-12-13T19:31:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.4549,18.90072,4,76,511,3,BHA,PL,21,0,GDA-20,2,315959,6,16,3,NA,NA,1,2016-12-13T19:33:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,1
54.45506,18.9013,7,65,511,3,BHA,PL,21,0,GDA-20,2,315959,6,16,3,NA,NA,1,2016-12-13T19:35:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.45515,18.90185,4,75,511,3,BHA,PL,21,0,GDA-20,2,315959,6,16,3,NA,NA,1,2016-12-13T19:37:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,1
54.45534,18.90245,8,62,511,3,BHA,PL,21,0,GDA-20,2,315959,6,16,3,NA,NA,1,2016-12-13T19:39:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.45547,18.90297,4,69,511,3,BHA,PL,21,0,GDA-20,2,315959,6,16,3,NA,NA,1,2016-12-13T19:41:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,1
54.45559,18.90352,8,68,511,3,BHA,PL,21,0,GDA-20,2,315959,6,16,3,NA,NA,1,2016-12-13T19:43:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.45572,18.90404,4,75,511,3,BHA,PL,21,0,GDA-20,2,315959,6,16,3,NA,NA,1,2016-12-13T19:45:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,1
54.45585,18.90449,6,57,511,3,BHA,PL,21,0,GDA-20,2,315959,6,16,3,NA,NA,1,2016-12-13T19:47:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.45633,18.9051,57,334,511,2,BHA,PL,21,0,GDA-20,2,315959,6,16,3,NA,NA,1,2016-12-13T19:49:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.4537,18.89921,83,228,511,2,BHA,PL,21,0,GDA-20,2,315959,6,16,3,NA,NA,1,2016-12-13T19:51:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.45045,18.89363,83,224,511,2,BHA,PL,21,0,GDA-20,2,315959,6,16,3,NA,NA,1,2016-12-13T19:53:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.45045,18.89363,83,224,511,2,BHA,PL,21,0,GDA-20,2,315959,6,16,3,NA,NA,1,2016-12-13T19:55:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.44394,18.88213,83,223,511,2,BHA,PL,21,0,GDA-20,2,315959,6,16,3,NA,NA,1,2016-12-13T19:57:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.44071,18.87634,85,232,511,2,BHA,PL,21,0,GDA-20,2,315959,6,16,3,NA,NA,1,2016-12-13T19:59:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.43738,18.87067,84,224,511,2,BHA,PL,21,0,GDA-20,2,315959,6,16,3,NA,NA,1,2016-12-13T20:01:03.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.4339,18.86439,82,230,511,2,BHA,PL,21,0,GDA-20,2,315959,6,16,3,NA,NA,1,2016-12-13T20:03:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.42989,18.85902,83,217,511,1,BHA,PL,21,0,GDA-20,2,315959,6,16,3,NA,NA,1,2016-12-13T20:05:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.42802,18.85661,85,223,511,2,BHA,PL,21,0,GDA-20,2,315959,6,16,3,NA,NA,1,2016-12-13T20:07:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.4241,18.8503,84,218,511,2,BHA,PL,21,0,GDA-20,2,315959,6,16,3,NA,NA,1,2016-12-13T20:09:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.42082,18.8448,85,207,511,2,BHA,PL,21,0,GDA-20,2,315959,6,16,3,NA,NA,1,2016-12-13T20:11:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.41693,18.84054,84,222,511,2,BHA,PL,21,0,GDA-20,2,315959,6,16,3,NA,NA,1,2016-12-13T20:13:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.41371,18.83478,83,226,511,2,BHA,PL,21,0,GDA-20,2,315959,6,16,3,NA,NA,1,2016-12-13T20:15:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.41073,18.82859,84,226,511,2,BHA,PL,21,0,GDA-20,2,315959,6,16,3,NA,NA,1,2016-12-13T20:17:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.40727,18.82322,85,218,511,2,BHA,PL,21,0,GDA-20,2,315959,6,16,3,NA,NA,1,2016-12-13T20:19:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.40377,18.81799,83,227,511,2,BHA,PL,21,0,GDA-20,2,315959,6,16,3,NA,NA,1,2016-12-13T20:21:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
