LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.56963,18.9956,85,280,511,2,SEA TRIAL,PL,25,0,GDA-18,2,315960,7,15,1,NA,NA,1,2016-12-13T14:27:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.56963,18.9956,85,280,511,2,SEA TRIAL,PL,25,0,GDA-18,2,315960,7,15,1,NA,NA,1,2016-12-13T14:29:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.57147,18.97953,87,285,511,2,SEA TRIAL,PL,25,0,GDA-18,2,315960,7,15,1,NA,NA,1,2016-12-13T14:31:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.57248,18.97148,87,277,511,2,SEA TRIAL,PL,25,0,GDA-18,2,315960,7,15,1,NA,NA,1,2016-12-13T14:33:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.57248,18.97148,87,277,511,2,SEA TRIAL,PL,25,0,GDA-18,2,315960,7,15,1,NA,NA,1,2016-12-13T14:35:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.57419,18.95533,86,282,511,2,SEA TRIAL,PL,25,0,GDA-18,2,315960,7,15,1,NA,NA,1,2016-12-13T14:37:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.57419,18.95533,86,282,511,2,SEA TRIAL,PL,25,0,GDA-18,2,315960,7,15,1,NA,NA,1,2016-12-13T14:39:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.57573,18.93903,87,274,511,2,SEA TRIAL,PL,25,0,GDA-18,2,315960,7,15,1,NA,NA,1,2016-12-13T14:41:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.57633,18.9301,87,275,511,1,SEA TRIAL,PL,25,0,GDA-18,2,315960,7,15,1,NA,NA,1,2016-12-13T14:43:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.57664,18.92588,87,276,511,2,SEA TRIAL,PL,25,0,GDA-18,2,315960,7,15,1,NA,NA,1,2016-12-13T14:45:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.57738,18.91757,88,273,511,2,SEA TRIAL,PL,25,0,GDA-18,2,315960,7,15,1,NA,NA,1,2016-12-13T14:47:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.57758,18.91338,89,284,511,3,SEA TRIAL,PL,25,0,GDA-18,2,315960,7,15,1,NA,NA,1,2016-12-13T14:49:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.57758,18.91338,89,284,511,3,SEA TRIAL,PL,25,0,GDA-18,2,315960,7,15,1,NA,NA,1,2016-12-13T14:51:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.58018,18.89191,88,278,511,2,SEA TRIAL,PL,25,0,GDA-18,2,315960,7,15,1,NA,NA,1,2016-12-13T14:53:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.58077,18.88349,89,273,511,2,SEA TRIAL,PL,25,0,GDA-18,2,315960,7,15,1,NA,NA,1,2016-12-13T14:55:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.58165,18.87508,90,285,511,2,SEA TRIAL,PL,25,0,GDA-18,2,315960,7,15,1,NA,NA,1,2016-12-13T14:57:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.58302,18.86695,89,285,511,2,SEA TRIAL,PL,25,0,GDA-18,2,315960,7,15,1,NA,NA,1,2016-12-13T14:59:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.58371,18.85867,88,273,511,2,SEA TRIAL,PL,25,0,GDA-18,2,315960,7,15,1,NA,NA,1,2016-12-13T15:01:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.58424,18.85046,88,272,511,2,SEA TRIAL,PL,25,0,GDA-18,2,315960,7,15,1,NA,NA,1,2016-12-13T15:03:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.58483,18.84214,88,277,511,2,SEA TRIAL,PL,25,0,GDA-18,2,315960,7,15,1,NA,NA,1,2016-12-13T15:05:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.58509,18.83298,89,273,511,2,SEA TRIAL,PL,25,0,GDA-18,2,315960,7,15,1,NA,NA,1,2016-12-13T15:07:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.58581,18.82388,89,282,511,2,SEA TRIAL,PL,25,0,GDA-18,2,315960,7,15,1,NA,NA,1,2016-12-13T15:09:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.58683,18.81556,89,283,511,2,SEA TRIAL,PL,25,0,GDA-18,2,315960,7,15,1,NA,NA,1,2016-12-13T15:11:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.58683,18.81556,89,283,511,2,SEA TRIAL,PL,25,0,GDA-18,2,315960,7,15,1,NA,NA,1,2016-12-13T15:13:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.58941,18.79974,86,318,511,2,SEA TRIAL,PL,25,0,GDA-18,2,315960,7,15,1,NA,NA,1,2016-12-13T15:15:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.59429,18.79946,89,6,511,2,SEA TRIAL,PL,25,0,GDA-18,2,315960,7,15,1,NA,NA,1,2016-12-13T15:17:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
