LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.69586,18.674,0,0,511,1381,GDANSK,PL,19,0,JAS 31,2,315998,6,16,3,NA,NA,0,2016-12-13T11:21:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,1
54.69586,18.674,0,0,511,1391,GDANSK,PL,19,0,JAS 31,2,315998,6,16,3,NA,NA,0,2016-12-13T11:31:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,1
54.69586,18.674,0,0,511,1393,GDANSK,PL,19,0,JAS 31,2,315998,6,16,3,NA,NA,0,2016-12-13T11:33:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,1
54.69586,18.674,0,0,511,1395,GDANSK,PL,19,0,JAS 31,2,315998,6,16,3,NA,NA,0,2016-12-13T11:35:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,1
54.69586,18.674,0,0,511,1397,GDANSK,PL,19,0,JAS 31,2,315998,6,16,3,NA,NA,0,2016-12-13T11:37:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,1
54.69586,18.674,0,0,511,1399,GDANSK,PL,19,0,JAS 31,2,315998,6,16,3,NA,NA,0,2016-12-13T11:39:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,1
54.69586,18.674,0,0,511,1401,GDANSK,PL,19,0,JAS 31,2,315998,6,16,3,NA,NA,0,2016-12-13T11:41:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,1
54.69586,18.674,0,0,511,1402,GDANSK,PL,19,0,JAS 31,2,315998,6,16,3,NA,NA,0,2016-12-13T11:43:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,1
54.69586,18.674,0,0,511,1404,GDANSK,PL,19,0,JAS 31,2,315998,6,16,3,NA,NA,0,2016-12-13T11:45:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,1
54.69586,18.674,0,0,511,1407,GDANSK,PL,19,0,JAS 31,2,315998,6,16,3,NA,NA,0,2016-12-13T11:47:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,1
54.69586,18.674,0,0,511,1409,GDANSK,PL,19,0,JAS 31,2,315998,6,16,3,NA,NA,0,2016-12-13T11:49:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,1
54.69586,18.674,0,0,511,1411,GDANSK,PL,19,0,JAS 31,2,315998,6,16,3,NA,NA,0,2016-12-13T11:51:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,1
54.69586,18.674,0,0,511,1413,GDANSK,PL,19,0,JAS 31,2,315998,6,16,3,NA,NA,0,2016-12-13T11:53:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,1
