LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.62651,18.83743,32,354,349,2,HEL,PL,27,0,HEL-152,2,316004,8,9,4,126,43,1,2016-12-13T11:21:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.63557,18.83449,35,339,335,2,HEL,PL,27,0,HEL-152,2,316004,8,9,4,126,43,1,2016-12-13T11:31:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.63745,18.8332,33,337,333,2,HEL,PL,27,0,HEL-152,2,316004,8,9,4,126,43,1,2016-12-13T11:33:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.63926,18.83191,37,337,334,2,HEL,PL,27,0,HEL-152,2,316004,8,9,4,126,43,1,2016-12-13T11:35:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.64109,18.83187,36,20,18,2,HEL,PL,27,720,HEL-152,2,316004,8,9,4,126,43,1,2016-12-13T11:37:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.64258,18.83407,36,58,54,2,HEL,PL,27,720,HEL-152,2,316004,8,9,4,126,43,1,2016-12-13T11:39:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.6431,18.83734,36,93,91,2,HEL,PL,27,0,HEL-152,2,316004,8,9,4,126,43,1,2016-12-13T11:41:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.64288,18.83896,38,99,109,2,HEL,PL,27,720,HEL-152,2,316004,8,9,4,126,43,1,2016-12-13T11:43:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.64161,18.84196,36,141,141,2,HEL,PL,27,720,HEL-152,2,316004,8,9,4,126,43,1,2016-12-13T11:45:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.63885,18.84337,35,184,185,2,HEL,PL,27,0,HEL-152,2,316004,8,9,4,126,43,1,2016-12-13T11:47:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.6369,18.84298,33,177,179,2,HEL,PL,27,720,HEL-152,2,316004,8,9,4,126,43,1,2016-12-13T11:49:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.63505,18.84295,33,182,180,2,HEL,PL,27,0,HEL-152,2,316004,8,9,4,126,43,1,2016-12-13T11:51:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.63323,18.84281,33,182,181,2,HEL,PL,27,0,HEL-152,2,316004,8,9,4,126,43,1,2016-12-13T11:53:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.63323,18.84281,33,182,181,2,HEL,PL,27,0,HEL-152,2,316004,8,9,4,126,43,1,2016-12-13T11:55:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.63011,18.8427,31,178,177,2,HEL,PL,27,0,HEL-152,2,316004,8,9,4,126,43,1,2016-12-13T11:57:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.62911,18.84276,31,176,176,2,HEL,PL,27,0,HEL-152,2,316004,8,9,4,126,43,1,2016-12-13T11:59:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.6277,18.84291,30,176,176,2,HEL,PL,27,0,HEL-152,2,316004,8,9,4,126,43,1,2016-12-13T12:01:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.62494,18.84256,33,189,187,2,HEL,PL,27,0,HEL-152,2,316004,8,9,4,126,43,1,2016-12-13T12:03:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.62314,18.84199,31,192,189,2,HEL,PL,27,0,HEL-152,2,316004,8,9,4,126,43,1,2016-12-13T12:05:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.6214,18.84136,33,192,189,2,HEL,PL,27,0,HEL-152,2,316004,8,9,4,126,43,1,2016-12-13T12:07:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.61959,18.84066,33,193,189,1,HEL,PL,27,0,HEL-152,2,316004,8,9,4,126,43,1,2016-12-13T12:09:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.61777,18.84002,33,189,188,2,HEL,PL,27,0,HEL-152,2,316004,8,9,4,126,43,1,2016-12-13T12:11:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.61597,18.83957,33,188,188,2,HEL,PL,27,0,HEL-152,2,316004,8,9,4,126,43,1,2016-12-13T12:13:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.61407,18.83905,35,188,188,2,HEL,PL,27,0,HEL-152,2,316004,8,9,4,126,43,1,2016-12-13T12:15:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.612,18.83865,33,186,183,2,HEL,PL,27,0,HEL-152,2,316004,8,9,4,126,43,1,2016-12-13T12:17:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.61012,18.83835,32,185,185,2,HEL,PL,27,0,HEL-152,2,316004,8,9,4,126,43,1,2016-12-13T12:19:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.60828,18.83778,35,191,189,2,HEL,PL,27,0,HEL-152,2,316004,8,9,4,126,43,1,2016-12-13T12:21:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.60639,18.83703,35,193,188,2,HEL,PL,27,0,HEL-152,2,316004,8,9,4,126,43,1,2016-12-13T12:23:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.60434,18.83636,35,189,187,2,HEL,PL,27,0,HEL-152,2,316004,8,9,4,126,43,1,2016-12-13T12:25:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.60243,18.83585,35,188,186,2,HEL,PL,27,0,HEL-152,2,316004,8,9,4,126,43,1,2016-12-13T12:27:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.60051,18.83543,35,188,187,2,HEL,PL,27,0,HEL-152,2,316004,8,9,4,126,43,1,2016-12-13T12:29:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.59865,18.83483,33,191,191,2,HEL,PL,27,0,HEL-152,2,316004,8,9,4,126,43,1,2016-12-13T12:31:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.59674,18.83412,32,193,193,2,HEL,PL,27,0,HEL-152,2,316004,8,9,4,126,43,1,2016-12-13T12:33:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.59496,18.83325,33,197,194,2,HEL,PL,27,0,HEL-152,2,316004,8,9,4,126,43,1,2016-12-13T12:35:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
