LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.60009,18.80336,2,249,511,3,HEL,PL,24,0,JAS 76,2,316086,6,19,3,55,37,1,2016-12-13T11:21:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,1
54.6001,18.80337,1,341,511,3,HEL,PL,24,0,JAS 76,2,316086,6,16,3,55,37,1,2016-12-13T11:31:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,1
54.6001,18.80337,1,341,511,5,HEL,PL,24,0,JAS 76,2,316086,6,16,3,55,37,1,2016-12-13T11:33:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,1
54.60011,18.80336,0,15,511,3,HEL,PL,24,0,JAS 76,2,316086,6,19,3,55,37,1,2016-12-13T11:35:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,1
54.60011,18.80336,0,15,511,5,HEL,PL,24,0,JAS 76,2,316086,6,19,3,55,37,1,2016-12-13T11:37:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,1
54.6001,18.80335,1,49,511,3,HEL,PL,24,0,JAS 76,2,316086,6,19,3,55,37,1,2016-12-13T11:39:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,1
54.6001,18.80335,1,49,511,5,HEL,PL,24,0,JAS 76,2,316086,6,19,3,55,37,1,2016-12-13T11:41:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,1
54.60009,18.80336,1,78,511,2,HEL,PL,24,0,JAS 76,2,316086,6,19,3,55,37,1,2016-12-13T11:43:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,1
54.60009,18.80336,1,78,511,4,HEL,PL,24,0,JAS 76,2,316086,6,19,3,55,37,1,2016-12-13T11:45:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,1
54.60009,18.80336,1,91,511,3,HEL,PL,24,0,JAS 76,2,316086,6,19,3,55,37,1,2016-12-13T11:47:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,1
54.60009,18.80336,1,91,511,5,HEL,PL,24,0,JAS 76,2,316086,6,19,3,55,37,1,2016-12-13T11:49:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,1
