LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.6294,18.97191,31,203,511,2,WLA,PL,20,0,WLA-65,2,316212,6,12,3,NA,NA,1,2016-12-13T11:21:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.62517,18.96594,24,247,511,4,WLA,PL,20,0,WLA-65,2,316212,6,12,3,NA,NA,1,2016-12-13T11:31:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.62474,18.9628,30,237,511,3,WLA,PL,20,0,WLA-65,2,316212,6,12,3,NA,NA,1,2016-12-13T11:33:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.62451,18.96034,25,241,511,3,WLA,PL,20,0,WLA-65,2,316212,6,12,3,NA,NA,1,2016-12-13T11:35:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.62428,18.9581,24,250,511,3,WLA,PL,20,0,WLA-65,2,316212,6,12,3,NA,NA,1,2016-12-13T11:37:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.62439,18.95411,31,273,511,2,WLA,PL,20,0,WLA-65,2,316212,6,12,3,NA,NA,1,2016-12-13T11:39:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.62464,18.95178,16,273,511,2,WLA,PL,20,0,WLA-65,2,316212,6,12,3,NA,NA,1,2016-12-13T11:41:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.62464,18.95178,16,273,511,3,WLA,PL,20,0,WLA-65,2,316212,6,12,3,NA,NA,1,2016-12-13T11:43:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.62509,18.9491,23,294,511,2,WLA,PL,20,0,WLA-65,2,316212,6,12,3,NA,NA,1,2016-12-13T11:45:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.62509,18.9491,23,294,511,5,WLA,PL,20,0,WLA-65,2,316212,6,12,3,NA,NA,1,2016-12-13T11:47:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.62509,18.9491,23,294,511,7,WLA,PL,20,0,WLA-65,2,316212,6,12,3,NA,NA,1,2016-12-13T11:49:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.62733,18.94193,28,313,511,3,WLA,PL,20,0,WLA-65,2,316212,6,12,3,NA,NA,1,2016-12-13T11:51:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.62733,18.94193,28,313,511,5,WLA,PL,20,0,WLA-65,2,316212,6,12,3,NA,NA,1,2016-12-13T11:53:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.62733,18.94193,28,313,511,5,WLA,PL,20,0,WLA-65,2,316212,6,12,3,NA,NA,1,2016-12-13T11:55:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.6306,18.93622,24,328,511,2,WLA,PL,20,0,WLA-65,2,316212,6,12,3,NA,NA,1,2016-12-13T11:57:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.6306,18.93622,24,328,511,3,WLA,PL,20,0,WLA-65,2,316212,6,12,3,NA,NA,1,2016-12-13T11:59:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.63179,18.9347,26,316,511,3,WLA,PL,20,0,WLA-65,2,316212,6,12,3,NA,NA,1,2016-12-13T12:01:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.63395,18.93187,32,310,511,2,WLA,PL,20,0,WLA-65,2,316212,6,12,3,NA,NA,1,2016-12-13T12:03:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.63509,18.93033,24,313,511,2,WLA,PL,20,0,WLA-65,2,316212,6,12,3,NA,NA,1,2016-12-13T12:05:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.63596,18.92917,28,328,511,3,WLA,PL,20,0,WLA-65,2,316212,6,12,3,NA,NA,1,2016-12-13T12:07:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.63708,18.92761,24,308,511,2,WLA,PL,20,0,WLA-65,2,316212,6,12,3,NA,NA,1,2016-12-13T12:09:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.63818,18.92602,28,345,511,3,WLA,PL,20,0,WLA-65,2,316212,6,12,3,NA,NA,1,2016-12-13T12:11:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.63926,18.9245,24,314,511,3,WLA,PL,20,0,WLA-65,2,316212,6,12,3,NA,NA,1,2016-12-13T12:13:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
54.64032,18.92294,26,317,511,3,WLA,PL,20,0,WLA-65,2,316212,6,12,3,NA,NA,1,2016-12-13T12:15:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,0
