LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.64657,11.8574,0,0,511,5,CLASS B,SE,10,NA,RODSKAR GG430,2,324232,4,4,4,NA,NA,0,2016-12-13T20:43:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.64657,11.8574,0,0,511,7,CLASS B,SE,10,NA,RODSKAR GG430,2,324232,4,4,4,NA,NA,0,2016-12-13T20:45:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.64659,11.85738,0,0,511,3,CLASS B,SE,10,NA,RODSKAR GG430,2,324232,4,4,4,NA,NA,0,2016-12-13T20:47:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.64659,11.85736,0,0,511,2,CLASS B,SE,10,NA,RODSKAR GG430,2,324232,4,4,4,NA,NA,0,2016-12-13T20:49:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.64659,11.85736,0,0,511,4,CLASS B,SE,10,NA,RODSKAR GG430,2,324232,4,4,4,NA,NA,0,2016-12-13T20:51:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.6466,11.85734,0,0,511,3,CLASS B,SE,10,NA,RODSKAR GG430,2,324232,4,4,4,NA,NA,0,2016-12-14T00:23:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.60331,11.79288,76,25,511,2,CLASS B,SE,10,NA,RODSKAR GG430,2,324232,4,4,4,NA,NA,1,2016-12-14T11:59:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,0
57.60625,11.79553,80,25,511,2,CLASS B,SE,10,NA,RODSKAR GG430,2,324232,4,4,4,NA,NA,0,2016-12-14T12:01:12.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,0
57.60625,11.79553,80,25,511,2,CLASS B,SE,10,NA,RODSKAR GG430,2,324232,4,4,4,NA,NA,0,2016-12-14T12:03:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,0
57.61021,11.80306,82,43,511,2,CLASS B,SE,10,NA,RODSKAR GG430,2,324232,4,4,4,NA,NA,1,2016-12-14T12:03:08.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,0
57.6122,11.80494,81,10,511,3,CLASS B,SE,10,NA,RODSKAR GG430,2,324232,4,4,4,NA,NA,1,2016-12-14T12:05:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,0
57.6122,11.80494,81,10,511,3,CLASS B,SE,10,NA,RODSKAR GG430,2,324232,4,4,4,NA,NA,0,2016-12-14T12:05:09.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,0
57.6122,11.80494,81,10,511,3,CLASS B,SE,10,NA,RODSKAR GG430,2,324232,4,4,4,NA,NA,1,2016-12-14T12:07:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,0
57.61558,11.80616,85,1,511,3,CLASS B,SE,10,NA,RODSKAR GG430,2,324232,4,4,4,NA,NA,1,2016-12-14T12:07:08.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,0
57.61945,11.79321,85,294,511,2,CLASS B,SE,10,NA,RODSKAR GG430,2,324232,4,4,4,NA,NA,1,2016-12-14T12:09:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,0
57.61558,11.80616,85,1,511,3,CLASS B,SE,10,NA,RODSKAR GG430,2,324232,4,4,4,NA,NA,1,2016-12-14T12:09:07.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,0
57.62027,11.78897,86,284,511,2,CLASS B,SE,10,NA,RODSKAR GG430,2,324232,4,4,4,NA,NA,1,2016-12-14T12:11:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,0
57.62195,11.77584,86,279,511,2,CLASS B,SE,10,NA,RODSKAR GG430,2,324232,4,4,4,NA,NA,1,2016-12-14T12:13:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,0
57.62225,11.76933,76,268,511,2,CLASS B,SE,10,NA,RODSKAR GG430,2,324232,4,4,4,NA,NA,1,2016-12-14T12:15:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,0
57.61995,11.76166,48,227,511,2,CLASS B,SE,10,NA,RODSKAR GG430,2,324232,4,4,4,NA,NA,1,2016-12-14T12:17:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,0
57.61908,11.7611,8,205,511,2,CLASS B,SE,10,NA,RODSKAR GG430,2,324232,4,4,4,NA,NA,1,2016-12-14T12:19:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,0
57.61908,11.7611,8,205,511,4,CLASS B,SE,10,NA,RODSKAR GG430,2,324232,4,4,4,NA,NA,1,2016-12-14T12:21:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,0
57.61908,11.7611,8,205,511,6,CLASS B,SE,10,NA,RODSKAR GG430,2,324232,4,4,4,NA,NA,1,2016-12-14T12:23:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,0
57.61904,11.76115,0,208,511,3,CLASS B,SE,10,NA,RODSKAR GG430,2,324232,4,4,4,NA,NA,1,2016-12-14T12:25:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
