LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.64671,11.85668,0,0,511,3,CLASS B,SE,10,NA,GG1206 DANO,2,324534,4,3,2,NA,NA,0,2016-12-13T11:31:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.64671,11.85669,0,170,511,2,CLASS B,SE,10,NA,GG1206 DANO,2,324534,4,3,2,NA,NA,0,2016-12-13T11:33:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.64671,11.85669,0,170,511,4,CLASS B,SE,10,NA,GG1206 DANO,2,324534,4,3,2,NA,NA,0,2016-12-13T11:35:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.64671,11.85669,0,0,511,3,CLASS B,SE,10,NA,GG1206 DANO,2,324534,4,3,2,NA,NA,0,2016-12-13T11:37:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.6467,11.85669,0,0,511,2,CLASS B,SE,10,NA,GG1206 DANO,2,324534,4,3,2,NA,NA,0,2016-12-13T11:39:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.6467,11.85669,0,0,511,4,CLASS B,SE,10,NA,GG1206 DANO,2,324534,4,3,2,NA,NA,0,2016-12-13T11:41:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.64671,11.85669,0,0,511,3,CLASS B,SE,10,NA,GG1206 DANO,2,324534,4,3,2,NA,NA,0,2016-12-13T11:43:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.64671,11.85669,0,0,511,2,CLASS B,SE,10,NA,GG1206 DANO,2,324534,4,3,2,NA,NA,0,2016-12-13T11:45:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.64671,11.85669,0,0,511,4,CLASS B,SE,10,NA,GG1206 DANO,2,324534,4,3,2,NA,NA,0,2016-12-13T11:47:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.64671,11.8567,0,0,511,3,CLASS B,SE,10,NA,GG1206 DANO,2,324534,4,3,2,NA,NA,0,2016-12-13T11:49:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.64673,11.85668,0,0,511,2,CLASS B,SE,10,NA,GG1206 DANO,2,324534,4,3,2,NA,NA,0,2016-12-13T11:51:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.64673,11.85668,0,0,511,4,CLASS B,SE,10,NA,GG1206 DANO,2,324534,4,3,2,NA,NA,0,2016-12-13T11:53:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.64673,11.85668,0,0,511,6,CLASS B,SE,10,NA,GG1206 DANO,2,324534,4,3,2,NA,NA,0,2016-12-13T11:55:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.64672,11.85669,0,185,511,2,CLASS B,SE,10,NA,GG1206 DANO,2,324534,4,3,2,NA,NA,0,2016-12-13T11:57:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.64672,11.85669,0,185,511,4,CLASS B,SE,10,NA,GG1206 DANO,2,324534,4,3,2,NA,NA,0,2016-12-13T11:59:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.64672,11.85668,0,0,511,3,CLASS B,SE,10,NA,GG1206 DANO,2,324534,4,3,2,NA,NA,0,2016-12-13T12:01:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.64672,11.85668,0,0,511,3,CLASS B,SE,10,NA,GG1206 DANO,2,324534,4,3,2,NA,NA,0,2016-12-13T12:03:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
