LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.67175,11.60706,83,103,511,1,CLASS B,SE,10,NA,BISCAYA GG34,2,325703,4,2,2,NA,NA,1,2016-12-20T08:19:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Fishing,gothenborg,0
57.6697,11.61622,84,147,511,2,CLASS B,SE,10,NA,BISCAYA GG34,2,325703,4,2,2,NA,NA,1,2016-12-20T08:21:04.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Fishing,gothenborg,0
57.66939,11.62202,85,64,511,2,CLASS B,SE,10,NA,BISCAYA GG34,2,325703,4,2,2,NA,NA,1,2016-12-20T08:23:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Fishing,gothenborg,0
57.67314,11.62985,85,35,511,2,CLASS B,SE,10,NA,BISCAYA GG34,2,325703,4,2,2,NA,NA,1,2016-12-20T08:25:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Fishing,gothenborg,0
57.67542,11.63463,96,59,511,2,CLASS B,SE,10,NA,BISCAYA GG34,2,325703,4,2,2,NA,NA,1,2016-12-20T08:27:13.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Fishing,gothenborg,0
57.67828,11.643,104,61,511,2,CLASS B,SE,10,NA,BISCAYA GG34,2,325703,4,2,2,NA,NA,1,2016-12-20T08:29:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Fishing,gothenborg,0
57.68043,11.64594,57,46,511,3,CLASS B,SE,10,NA,BISCAYA GG34,2,325703,4,2,2,NA,NA,1,2016-12-20T08:31:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Fishing,gothenborg,0
57.68043,11.64594,57,46,511,5,CLASS B,SE,10,NA,BISCAYA GG34,2,325703,4,2,2,NA,NA,1,2016-12-20T08:33:04.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Fishing,gothenborg,0
57.68043,11.64594,57,46,511,7,CLASS B,SE,10,NA,BISCAYA GG34,2,325703,4,2,2,NA,NA,1,2016-12-20T08:35:13.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Fishing,gothenborg,0
57.68043,11.64594,57,46,511,9,CLASS B,SE,10,NA,BISCAYA GG34,2,325703,4,2,2,NA,NA,1,2016-12-20T08:37:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Fishing,gothenborg,0
57.68043,11.64594,57,46,511,11,CLASS B,SE,10,NA,BISCAYA GG34,2,325703,4,2,2,NA,NA,1,2016-12-20T08:39:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Fishing,gothenborg,0
57.68043,11.64594,57,46,511,13,CLASS B,SE,10,NA,BISCAYA GG34,2,325703,4,2,2,NA,NA,1,2016-12-20T08:41:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Fishing,gothenborg,0
57.68043,11.64594,57,46,511,15,CLASS B,SE,10,NA,BISCAYA GG34,2,325703,4,2,2,NA,NA,1,2016-12-20T08:43:13.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Fishing,gothenborg,0
57.68043,11.64594,57,46,511,16,CLASS B,SE,10,NA,BISCAYA GG34,2,325703,4,2,2,NA,NA,1,2016-12-20T08:45:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Fishing,gothenborg,0
57.68043,11.64594,57,46,511,19,CLASS B,SE,10,NA,BISCAYA GG34,2,325703,4,2,2,NA,NA,1,2016-12-20T08:47:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Fishing,gothenborg,0
57.68043,11.64594,57,46,511,21,CLASS B,SE,10,NA,BISCAYA GG34,2,325703,4,2,2,NA,NA,1,2016-12-20T08:49:06.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Fishing,gothenborg,0
57.68043,11.64594,57,46,511,23,CLASS B,SE,10,NA,BISCAYA GG34,2,325703,4,2,2,NA,NA,1,2016-12-20T08:51:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Fishing,gothenborg,0
57.68043,11.64594,57,46,511,25,CLASS B,SE,10,NA,BISCAYA GG34,2,325703,4,2,2,NA,NA,1,2016-12-20T08:53:05.000Z,gothenborg,2016-12-20T00:00:00.000Z,51,Fishing,gothenborg,0
