LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.67349,11.66454,0,274,511,3,,SE,28,0,DANAFJORD,2,326456,6,19,3,0,37,0,2016-12-13T11:31:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.67349,11.66454,0,274,511,4,,SE,28,0,DANAFJORD,2,326456,6,19,3,0,37,0,2016-12-13T11:33:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.67347,11.66457,0,290,511,3,,SE,28,0,DANAFJORD,2,326456,6,19,3,0,37,0,2016-12-13T11:35:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.67348,11.6645,0,299,511,3,,SE,28,0,DANAFJORD,2,326456,6,19,3,0,37,0,2016-12-13T11:41:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.67347,11.66451,0,307,511,1,,SE,28,0,DANAFJORD,2,326456,6,19,3,0,37,0,2016-12-13T11:43:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.67347,11.66451,0,307,511,3,,SE,28,0,DANAFJORD,2,326456,6,19,3,0,37,0,2016-12-13T11:45:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.67347,11.66451,0,307,511,5,,SE,28,0,DANAFJORD,2,326456,6,19,3,0,37,0,2016-12-13T11:47:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.67347,11.66457,0,309,511,3,,SE,28,0,DANAFJORD,2,326456,6,19,3,0,37,0,2016-12-13T11:49:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.67347,11.66457,0,309,511,4,,SE,28,0,DANAFJORD,2,326456,6,19,3,0,37,0,2016-12-13T11:51:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.67347,11.66452,0,307,511,3,,SE,28,0,DANAFJORD,2,326456,6,19,3,0,37,0,2016-12-13T11:53:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.67347,11.66452,0,307,511,5,,SE,28,0,DANAFJORD,2,326456,6,19,3,0,37,0,2016-12-13T11:55:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.67345,11.66453,0,305,511,3,,SE,28,0,DANAFJORD,2,326456,6,19,3,0,37,0,2016-12-13T11:57:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.67345,11.66453,0,305,511,5,,SE,28,0,DANAFJORD,2,326456,6,19,3,0,37,0,2016-12-13T11:59:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.67349,11.66453,0,306,511,2,,SE,28,0,DANAFJORD,2,326456,6,19,3,0,37,0,2016-12-13T12:01:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.67349,11.66453,0,306,511,3,,SE,28,0,DANAFJORD,2,326456,6,19,3,0,37,0,2016-12-13T12:03:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.67348,11.66455,0,326,511,3,,SE,28,0,DANAFJORD,2,326456,6,19,3,0,37,0,2016-12-13T12:05:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.67348,11.66455,0,326,511,5,,SE,28,0,DANAFJORD,2,326456,6,19,3,0,37,0,2016-12-13T12:07:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.67348,11.66455,0,326,511,5,,SE,28,0,DANAFJORD,2,326456,6,19,3,0,37,0,2016-12-13T12:09:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.67345,11.66459,0,329,511,3,,SE,28,0,DANAFJORD,2,326456,6,19,3,0,37,0,2016-12-13T12:11:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.67348,11.66455,0,348,511,2,,SE,28,0,DANAFJORD,2,326456,6,19,3,0,37,0,2016-12-13T12:13:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.67344,11.66459,0,13,511,0,,SE,28,0,DANAFJORD,2,326456,6,19,3,0,37,0,2016-12-13T12:19:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.67344,11.66459,0,13,511,4,,SE,28,0,DANAFJORD,2,326456,6,19,3,0,37,0,2016-12-13T12:21:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.67344,11.66459,0,13,511,4,,SE,28,0,DANAFJORD,2,326456,6,19,3,0,37,0,2016-12-13T12:23:07.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.67347,11.66458,0,45,511,4,,SE,28,0,DANAFJORD,2,326456,6,19,3,0,37,0,2016-12-13T12:25:07.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.67348,11.66458,0,320,511,2,,SE,28,0,DANAFJORD,2,326456,6,19,3,0,37,0,2016-12-13T12:33:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.67348,11.66458,0,320,511,4,,SE,28,0,DANAFJORD,2,326456,6,19,3,0,37,0,2016-12-13T12:35:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.67347,11.66451,0,275,511,3,,SE,28,0,DANAFJORD,2,326456,6,19,3,0,37,0,2016-12-13T12:37:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.67347,11.66451,0,275,511,5,,SE,28,0,DANAFJORD,2,326456,6,19,3,0,37,0,2016-12-13T12:39:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.67345,11.66458,0,314,511,3,,SE,28,0,DANAFJORD,2,326456,6,19,3,0,37,0,2016-12-13T12:41:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.67349,11.66455,0,344,511,2,,SE,28,0,DANAFJORD,2,326456,6,19,3,0,37,0,2016-12-13T12:43:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.67349,11.66455,0,344,511,4,,SE,28,0,DANAFJORD,2,326456,6,19,3,0,37,0,2016-12-13T12:45:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.67349,11.66455,0,344,511,6,,SE,28,0,DANAFJORD,2,326456,6,19,3,0,37,0,2016-12-13T12:47:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.67349,11.66457,1,6,511,4,,SE,28,0,DANAFJORD,2,326456,6,19,3,0,37,0,2016-12-13T12:51:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.67349,11.66458,0,352,511,2,,SE,28,0,DANAFJORD,2,326456,6,19,3,0,37,0,2016-12-13T12:53:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.67349,11.66458,0,352,511,4,,SE,28,0,DANAFJORD,2,326456,6,19,3,0,37,0,2016-12-13T12:55:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.67348,11.66456,0,326,511,3,,SE,28,0,DANAFJORD,2,326456,6,19,3,0,37,0,2016-12-13T12:57:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.67345,11.66454,0,321,511,1,,SE,28,0,DANAFJORD,2,326456,6,19,3,0,37,0,2016-12-13T12:59:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.67345,11.66454,0,321,511,3,,SE,28,0,DANAFJORD,2,326456,6,19,3,0,37,0,2016-12-13T13:01:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.67349,11.66454,0,321,511,3,,SE,28,0,DANAFJORD,2,326456,6,19,3,0,37,0,2016-12-13T13:07:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
