LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.71612,11.95825,0,0,18,2,FISHINGGROUND,SE,44,0,TOR-ON,2,326481,12,25,6,0,37,0,2016-12-14T00:33:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.71612,11.95825,0,0,18,4,FISHINGGROUND,SE,44,0,TOR-ON,2,326481,12,25,6,0,37,0,2016-12-14T00:35:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.71613,11.9583,0,0,18,4,FISHINGGROUND,SE,44,0,TOR-ON,2,326481,12,25,6,0,37,0,2016-12-14T15:23:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.71613,11.9582,0,0,18,2,FISHINGGROUND,SE,44,0,TOR-ON,2,326481,12,25,6,0,37,0,2016-12-14T15:25:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.71613,11.95837,0,0,18,3,FISHINGGROUND,SE,44,0,TOR-ON,2,326481,12,25,6,0,37,0,2016-12-14T15:33:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.71608,11.9585,0,0,18,3,FISHINGGROUND,SE,44,0,TOR-ON,2,326481,12,25,6,0,37,0,2016-12-15T17:53:06.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Fishing,gothenborg,1
57.71613,11.95837,1,120,18,2,FISHINGGROUND,SE,44,0,TOR-ON,2,326481,12,25,6,0,37,0,2016-12-15T23:03:05.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Fishing,gothenborg,1
57.71613,11.95837,1,120,18,4,FISHINGGROUND,SE,44,0,TOR-ON,2,326481,12,25,6,0,37,0,2016-12-15T23:05:05.000Z,gothenborg,2016-12-15T00:00:00.000Z,50,Fishing,gothenborg,1
57.7161,11.95825,0,0,18,2,FISHINGGROUND,SE,44,0,TOR-ON,2,326481,12,25,6,0,37,0,2016-12-16T00:51:06.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Fishing,gothenborg,1
57.7161,11.95825,0,0,18,4,FISHINGGROUND,SE,44,0,TOR-ON,2,326481,12,25,6,0,37,0,2016-12-16T00:53:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Fishing,gothenborg,1
57.71615,11.95828,0,0,18,4,FISHINGGROUND,SE,44,0,TOR-ON,2,326481,12,25,6,0,37,0,2016-12-16T15:59:05.000Z,gothenborg,2016-12-16T00:00:00.000Z,51,Fishing,gothenborg,1
57.71619,11.95852,0,0,18,3,FISHINGGROUND,SE,44,0,TOR-ON,2,326481,12,25,6,0,37,0,2016-12-17T20:53:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Fishing,gothenborg,1
57.71619,11.95852,0,0,18,5,FISHINGGROUND,SE,44,0,TOR-ON,2,326481,12,25,6,0,37,0,2016-12-17T20:55:05.000Z,gothenborg,2016-12-17T00:00:00.000Z,51,Fishing,gothenborg,1
57.71599,11.9586,0,0,18,2,FISHINGGROUND,SE,44,0,TOR-ON,2,326481,12,25,6,0,37,0,2016-12-19T14:37:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Fishing,gothenborg,1
57.71599,11.9586,0,0,18,4,FISHINGGROUND,SE,44,0,TOR-ON,2,326481,12,25,6,0,37,0,2016-12-19T14:39:06.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Fishing,gothenborg,1
57.71615,11.95823,0,0,18,4,FISHINGGROUND,SE,44,0,TOR-ON,2,326481,12,25,6,0,37,0,2016-12-19T21:33:05.000Z,gothenborg,2016-12-19T00:00:00.000Z,51,Fishing,gothenborg,1
