LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.64465,11.85841,0,273,199,4,FISHING,SE,37,0,SUNNANLAND,2,326496,10,30,7,0,43,0,2016-12-13T11:39:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.64457,11.85842,0,349,199,2,FISHING,SE,37,0,SUNNANLAND,2,326496,10,30,7,0,43,0,2016-12-13T11:41:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.64465,11.85841,0,298,199,3,FISHING,SE,37,0,SUNNANLAND,2,326496,10,30,7,0,43,0,2016-12-13T11:49:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.64458,11.85842,0,262,199,1,FISHING,SE,37,0,SUNNANLAND,2,326496,10,30,7,0,43,0,2016-12-13T11:51:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.64462,11.85834,0,207,198,2,FISHING,SE,37,0,SUNNANLAND,2,326496,10,30,7,0,43,0,2016-12-13T11:57:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.64462,11.85834,0,207,198,4,FISHING,SE,37,0,SUNNANLAND,2,326496,10,30,7,0,43,0,2016-12-13T11:59:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.64463,11.85839,0,90,198,3,FISHING,SE,37,0,SUNNANLAND,2,326496,10,30,7,0,43,0,2016-12-13T12:05:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.64459,11.85843,0,115,198,2,FISHING,SE,37,0,SUNNANLAND,2,326496,10,30,7,0,43,0,2016-12-13T12:07:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.64459,11.85843,0,115,198,2,FISHING,SE,37,0,SUNNANLAND,2,326496,10,30,7,0,43,0,2016-12-13T12:09:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.64462,11.8584,0,150,199,2,FISHING,SE,37,0,SUNNANLAND,2,326496,10,30,7,0,43,0,2016-12-13T12:21:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.64462,11.8584,0,150,199,2,FISHING,SE,37,0,SUNNANLAND,2,326496,10,30,7,0,43,0,2016-12-13T12:23:07.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
