LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.77309,11.61735,0,3,139,4,,SE,19,0,SVANEN,2,326954,6,18,3,0,43,1,2016-12-13T11:31:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.77309,11.61735,0,3,139,5,,SE,19,0,SVANEN,2,326954,6,18,3,0,43,1,2016-12-13T11:33:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.77311,11.61739,0,2,139,3,,SE,19,0,SVANEN,2,326954,6,18,3,0,43,1,2016-12-13T11:35:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.7731,11.61737,0,279,138,2,,SE,19,0,SVANEN,2,326954,6,18,3,0,43,1,2016-12-13T11:37:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.7731,11.61737,0,279,138,4,,SE,19,0,SVANEN,2,326954,6,18,3,0,43,1,2016-12-13T11:39:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.77309,11.61738,0,223,138,2,,SE,19,0,SVANEN,2,326954,6,18,3,0,43,1,2016-12-13T11:41:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.77309,11.61738,0,223,138,4,,SE,19,0,SVANEN,2,326954,6,18,3,0,43,1,2016-12-13T11:43:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.77311,11.61736,0,219,138,3,,SE,19,0,SVANEN,2,326954,6,18,3,0,43,1,2016-12-13T11:45:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.7731,11.61737,0,224,138,2,,SE,19,0,SVANEN,2,326954,6,18,3,0,43,0,2016-12-13T11:47:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.7731,11.61737,0,224,138,4,,SE,19,0,SVANEN,2,326954,6,18,3,0,43,1,2016-12-13T11:49:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.77309,11.61735,0,338,137,2,,SE,19,0,SVANEN,2,326954,6,18,3,0,43,1,2016-12-13T11:51:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.77311,11.61735,0,289,137,2,,SE,19,0,SVANEN,2,326954,6,18,3,0,43,1,2016-12-13T11:53:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.77311,11.61735,0,289,137,4,,SE,19,0,SVANEN,2,326954,6,18,3,0,43,1,2016-12-13T11:55:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.77311,11.61735,0,289,137,6,,SE,19,0,SVANEN,2,326954,6,18,3,0,43,1,2016-12-13T11:57:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.77309,11.61734,0,290,137,3,,SE,19,0,SVANEN,2,326954,6,18,3,0,43,1,2016-12-13T11:59:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.77309,11.61734,0,324,137,1,,SE,19,0,SVANEN,2,326954,6,18,3,0,43,1,2016-12-13T12:01:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.77309,11.61734,0,324,137,2,,SE,19,0,SVANEN,2,326954,6,18,3,0,43,0,2016-12-13T12:03:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.77309,11.61734,0,324,137,6,,SE,19,0,SVANEN,2,326954,6,18,3,0,43,0,2016-12-13T12:05:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.77311,11.61737,0,337,137,2,,SE,19,0,SVANEN,2,326954,6,18,3,0,43,1,2016-12-13T12:07:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.77311,11.61737,0,337,137,2,,SE,19,0,SVANEN,2,326954,6,18,3,0,43,1,2016-12-13T12:09:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.77311,11.61735,0,255,137,1,,SE,19,0,SVANEN,2,326954,6,18,3,0,43,1,2016-12-13T12:11:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.77311,11.61735,0,255,137,3,,SE,19,0,SVANEN,2,326954,6,18,3,0,43,1,2016-12-13T12:13:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.77308,11.61736,0,177,138,3,,SE,19,0,SVANEN,2,326954,6,18,3,0,43,1,2016-12-13T12:15:07.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.7731,11.61737,0,203,138,2,,SE,19,0,SVANEN,2,326954,6,18,3,0,43,1,2016-12-13T12:17:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.7731,11.61737,0,203,138,2,,SE,19,0,SVANEN,2,326954,6,18,3,0,43,1,2016-12-13T12:19:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.77308,11.61735,0,168,138,2,,SE,19,0,SVANEN,2,326954,6,18,3,0,43,1,2016-12-13T12:21:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.77308,11.61735,0,168,138,2,,SE,19,0,SVANEN,2,326954,6,18,3,0,43,1,2016-12-13T12:23:07.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.77308,11.61735,0,168,138,6,,SE,19,0,SVANEN,2,326954,6,18,3,0,43,1,2016-12-13T12:25:07.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.77311,11.61735,0,104,138,2,,SE,19,0,SVANEN,2,326954,6,18,3,0,43,1,2016-12-13T12:27:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.77311,11.61735,0,104,138,5,,SE,19,0,SVANEN,2,326954,6,18,3,0,43,1,2016-12-13T12:29:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.77311,11.61737,0,211,138,2,,SE,19,0,SVANEN,2,326954,6,18,3,0,43,1,2016-12-13T12:31:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.77311,11.61737,0,211,138,5,,SE,19,0,SVANEN,2,326954,6,18,3,0,43,1,2016-12-13T12:33:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.7731,11.61736,0,157,137,2,,SE,19,0,SVANEN,2,326954,6,18,3,0,43,1,2016-12-13T12:35:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.7731,11.61736,0,157,137,4,,SE,19,0,SVANEN,2,326954,6,18,3,0,43,1,2016-12-13T12:37:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.77308,11.61735,0,278,137,3,,SE,19,0,SVANEN,2,326954,6,18,3,0,43,1,2016-12-13T12:39:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.77308,11.61735,0,278,137,5,,SE,19,0,SVANEN,2,326954,6,18,3,0,43,1,2016-12-13T12:41:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.77308,11.61734,0,156,137,3,,SE,19,0,SVANEN,2,326954,6,18,3,0,43,1,2016-12-13T12:43:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
57.77308,11.61734,0,156,137,5,,SE,19,0,SVANEN,2,326954,6,18,3,0,43,1,2016-12-13T12:45:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,1
