LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.70657,11.65952,21,154,511,1,TANANGER,SE,17,0,GLITTFORS,2,327052,4,5,2,NA,NA,0,2016-12-13T14:33:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,0
57.70657,11.65952,21,154,511,1,TANANGER,SE,17,0,GLITTFORS,2,327052,4,5,2,NA,NA,0,2016-12-13T14:35:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,0
57.70635,11.66708,53,51,511,2,TANANGER,SE,17,0,GLITTFORS,2,327052,4,5,2,NA,NA,1,2016-12-13T14:37:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,0
57.70927,11.66765,51,353,511,2,TANANGER,SE,17,0,GLITTFORS,2,327052,4,5,2,NA,NA,1,2016-12-13T14:39:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,0
57.71077,11.66722,46,348,511,3,TANANGER,SE,17,0,GLITTFORS,2,327052,4,5,2,NA,NA,1,2016-12-13T14:41:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,0
57.71465,11.66538,42,345,511,1,TANANGER,SE,17,0,GLITTFORS,2,327052,4,5,2,NA,NA,1,2016-12-13T14:43:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,0
57.71465,11.66538,42,345,511,1,TANANGER,SE,17,0,GLITTFORS,2,327052,4,5,2,NA,NA,1,2016-12-13T14:45:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,0
57.71855,11.66443,45,352,511,2,TANANGER,SE,17,0,GLITTFORS,2,327052,4,5,2,NA,NA,1,2016-12-13T14:47:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,0
57.7199,11.66412,41,353,511,3,TANANGER,SE,17,0,GLITTFORS,2,327052,4,5,2,NA,NA,1,2016-12-13T14:49:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,0
57.72219,11.6635,24,353,511,2,TANANGER,SE,17,0,GLITTFORS,2,327052,4,5,2,NA,NA,1,2016-12-13T14:51:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,0
57.72219,11.6635,24,353,511,4,TANANGER,SE,17,0,GLITTFORS,2,327052,4,5,2,NA,NA,1,2016-12-13T14:53:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,0
57.72459,11.66295,17,2,511,1,TANANGER,SE,17,0,GLITTFORS,2,327052,4,5,2,NA,NA,1,2016-12-13T14:55:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,0
57.72459,11.66295,17,2,511,1,TANANGER,SE,17,0,GLITTFORS,2,327052,4,5,2,NA,NA,1,2016-12-13T14:57:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,0
57.72732,11.66317,54,2,511,2,TANANGER,SE,17,0,GLITTFORS,2,327052,4,5,2,NA,NA,1,2016-12-13T14:59:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,0
57.72912,11.66365,64,7,511,3,TANANGER,SE,17,0,GLITTFORS,2,327052,4,5,2,NA,NA,1,2016-12-13T15:01:07.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Fishing,gothenborg,0
