LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.70479,20.4857,0,0,511,3,KALININGRAD,RU,104,0,VALERIY DZHAPARIDZE,2,345582,16,32,8,1810,140,0,2016-12-14T10:09:02.000Z,kalingrad,2016-12-14T00:00:00.000Z,50,Fishing,Kalingrad,1
54.70479,20.4857,0,0,511,5,KALININGRAD,RU,104,0,VALERIY DZHAPARIDZE,2,345582,16,32,8,1810,140,0,2016-12-14T10:11:03.000Z,kalingrad,2016-12-14T00:00:00.000Z,50,Fishing,Kalingrad,1
54.70479,20.4857,0,0,511,5,KALININGRAD,RU,104,0,VALERIY DZHAPARIDZE,2,345582,16,32,8,1810,140,0,2016-12-14T10:13:02.000Z,kalingrad,2016-12-14T00:00:00.000Z,50,Fishing,Kalingrad,1
54.70478,20.48574,0,0,511,5,KALININGRAD,RU,104,0,VALERIY DZHAPARIDZE,2,345582,16,32,8,1810,140,0,2016-12-14T10:15:02.000Z,kalingrad,2016-12-14T00:00:00.000Z,50,Fishing,Kalingrad,1
54.7049,20.4858,0,0,511,3,KALININGRAD,RU,104,0,VALERIY DZHAPARIDZE,2,345582,16,32,8,1810,140,0,2016-12-14T10:17:02.000Z,kalingrad,2016-12-14T00:00:00.000Z,50,Fishing,Kalingrad,1
54.7049,20.4858,0,0,511,5,KALININGRAD,RU,104,0,VALERIY DZHAPARIDZE,2,345582,16,32,8,1810,140,0,2016-12-14T10:19:03.000Z,kalingrad,2016-12-14T00:00:00.000Z,50,Fishing,Kalingrad,1
54.70483,20.48577,0,0,511,3,KALININGRAD,RU,104,0,VALERIY DZHAPARIDZE,2,345582,16,32,8,1810,140,0,2016-12-14T10:21:03.000Z,kalingrad,2016-12-14T00:00:00.000Z,50,Fishing,Kalingrad,1
54.70483,20.48577,0,0,511,5,KALININGRAD,RU,104,0,VALERIY DZHAPARIDZE,2,345582,16,32,8,1810,140,0,2016-12-14T10:23:02.000Z,kalingrad,2016-12-14T00:00:00.000Z,50,Fishing,Kalingrad,1
54.70476,20.48575,0,0,511,3,KALININGRAD,RU,104,0,VALERIY DZHAPARIDZE,2,345582,16,32,8,1810,140,0,2016-12-14T10:25:02.000Z,kalingrad,2016-12-14T00:00:00.000Z,50,Fishing,Kalingrad,1
54.70476,20.48575,0,0,511,5,KALININGRAD,RU,104,0,VALERIY DZHAPARIDZE,2,345582,16,32,8,1810,140,0,2016-12-14T10:27:02.000Z,kalingrad,2016-12-14T00:00:00.000Z,50,Fishing,Kalingrad,1
54.70479,20.48574,0,0,511,3,KALININGRAD,RU,104,0,VALERIY DZHAPARIDZE,2,345582,16,32,8,1810,140,0,2016-12-14T10:29:03.000Z,kalingrad,2016-12-14T00:00:00.000Z,50,Fishing,Kalingrad,1
54.70479,20.48574,0,0,511,5,KALININGRAD,RU,104,0,VALERIY DZHAPARIDZE,2,345582,16,32,8,1810,140,0,2016-12-14T10:31:02.000Z,kalingrad,2016-12-14T00:00:00.000Z,50,Fishing,Kalingrad,1
54.70475,20.48574,0,0,511,3,KALININGRAD,RU,104,0,VALERIY DZHAPARIDZE,2,345582,16,32,8,1810,140,0,2016-12-14T10:33:03.000Z,kalingrad,2016-12-14T00:00:00.000Z,50,Fishing,Kalingrad,1
