LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.37167,18.66283,0,339,511,3,GDANSK,RU,120,0,KURSHSKAYA KOSA,2,351087,19,38,9,3372,37,1,2016-12-18T10:41:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Fishing,Gdańsk,1
54.37167,18.66283,0,343,511,2,GDANSK,RU,120,0,KURSHSKAYA KOSA,2,351087,19,38,9,3372,37,1,2016-12-18T10:43:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Fishing,Gdańsk,1
54.37167,18.66283,0,343,511,4,GDANSK,RU,120,0,KURSHSKAYA KOSA,2,351087,19,38,9,3372,37,1,2016-12-18T10:45:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Fishing,Gdańsk,1
54.37167,18.66283,0,337,511,3,GDANSK,RU,120,0,KURSHSKAYA KOSA,2,351087,19,38,9,3372,37,1,2016-12-18T10:47:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Fishing,Gdańsk,1
54.37167,18.66283,0,337,511,5,GDANSK,RU,120,0,KURSHSKAYA KOSA,2,351087,19,38,9,3372,37,1,2016-12-18T10:49:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Fishing,Gdańsk,1
54.37167,18.66283,0,337,511,6,GDANSK,RU,120,0,KURSHSKAYA KOSA,2,351087,19,38,9,3372,37,1,2016-12-18T10:51:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Fishing,Gdańsk,1
54.37167,18.66283,0,337,511,9,GDANSK,RU,120,0,KURSHSKAYA KOSA,2,351087,19,38,9,3372,37,1,2016-12-18T10:53:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Fishing,Gdańsk,1
54.37175,18.66289,0,0,511,2,GDANSK,RU,120,0,KURSHSKAYA KOSA,2,351087,19,0,0,3372,37,1,2016-12-18T10:55:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Fishing,Gdańsk,1
54.37175,18.66289,0,0,511,4,GDANSK,RU,120,0,KURSHSKAYA KOSA,2,351087,19,0,0,3372,37,1,2016-12-18T10:57:01.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Fishing,Gdańsk,1
54.37178,18.66293,0,0,511,2,GDANSK,RU,120,0,KURSHSKAYA KOSA,2,351087,19,0,0,3372,37,1,2016-12-18T10:59:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Fishing,Gdańsk,1
54.37178,18.66293,0,0,511,4,GDANSK,RU,120,0,KURSHSKAYA KOSA,2,351087,19,0,0,3372,37,1,2016-12-18T11:01:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Fishing,Gdańsk,1
54.37173,18.66295,0,0,511,3,GDANSK,RU,120,0,KURSHSKAYA KOSA,2,351087,19,0,0,3372,37,1,2016-12-18T11:03:01.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Fishing,Gdańsk,1
54.37173,18.66295,0,0,511,5,GDANSK,RU,120,0,KURSHSKAYA KOSA,2,351087,19,0,0,3372,37,1,2016-12-18T11:05:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Fishing,Gdańsk,1
54.37171,18.66293,0,0,511,2,GDANSK,RU,120,0,KURSHSKAYA KOSA,2,351087,19,38,9,3372,37,1,2016-12-18T11:07:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Fishing,Gdańsk,1
54.37171,18.66293,0,0,511,5,GDANSK,RU,120,0,KURSHSKAYA KOSA,2,351087,19,38,9,3372,37,1,2016-12-18T11:09:01.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Fishing,Gdańsk,1
54.37168,18.66294,0,0,511,3,GDANSK,RU,120,0,KURSHSKAYA KOSA,2,351087,19,38,9,3372,37,1,2016-12-18T11:11:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Fishing,Gdańsk,1
54.37168,18.66294,0,0,511,5,GDANSK,RU,120,0,KURSHSKAYA KOSA,2,351087,19,38,9,3372,37,1,2016-12-18T11:13:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Fishing,Gdańsk,1
54.37171,18.66292,0,0,511,3,GDANSK,RU,120,0,KURSHSKAYA KOSA,2,351087,19,38,9,3372,37,1,2016-12-18T11:15:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Fishing,Gdańsk,1
54.37171,18.66292,0,0,511,5,GDANSK,RU,120,0,KURSHSKAYA KOSA,2,351087,19,38,9,3372,37,1,2016-12-18T11:17:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Fishing,Gdańsk,1
54.37171,18.66295,0,0,511,3,GDANSK,RU,120,0,KURSHSKAYA KOSA,2,351087,19,38,9,3372,37,1,2016-12-18T11:19:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Fishing,Gdańsk,1
54.37171,18.66295,0,0,511,5,GDANSK,RU,120,0,KURSHSKAYA KOSA,2,351087,19,38,9,3372,37,1,2016-12-18T11:21:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Fishing,Gdańsk,1
54.37171,18.66293,0,0,511,3,GDANSK,RU,120,0,KURSHSKAYA KOSA,2,351087,19,38,9,3372,37,1,2016-12-18T11:23:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Fishing,Gdańsk,1
54.37172,18.66291,0,0,511,2,GDANSK,RU,120,0,KURSHSKAYA KOSA,2,351087,19,38,9,3372,37,1,2016-12-18T11:25:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Fishing,Gdańsk,1
54.37172,18.66291,0,0,511,4,GDANSK,RU,120,0,KURSHSKAYA KOSA,2,351087,19,38,9,3372,37,1,2016-12-18T11:27:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Fishing,Gdańsk,1
54.37169,18.66291,0,0,511,2,GDANSK,RU,120,0,KURSHSKAYA KOSA,2,351087,19,38,9,3372,37,1,2016-12-18T11:29:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Fishing,Gdańsk,1
54.37169,18.66291,0,0,511,4,GDANSK,RU,120,0,KURSHSKAYA KOSA,2,351087,19,38,9,3372,37,1,2016-12-18T11:31:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Fishing,Gdańsk,1
54.37169,18.66292,0,0,511,2,GDANSK,RU,120,0,KURSHSKAYA KOSA,2,351087,19,38,9,3372,37,1,2016-12-18T11:33:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Fishing,Gdańsk,1
54.3717,18.66294,0,0,511,2,GDANSK,RU,120,0,KURSHSKAYA KOSA,2,351087,19,38,9,3372,37,1,2016-12-18T11:37:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Fishing,Gdańsk,1
