LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.37302,18.66258,0,14,511,3,GDANSK,RU,120,0,LIRA,2,351089,19,38,9,3372,37,0,2016-12-13T11:21:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,1
54.37297,18.6626,0,14,511,4,GDANSK,RU,120,0,LIRA,2,351089,19,38,9,3372,37,0,2016-12-13T11:31:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,1
54.37298,18.6626,0,14,511,3,GDANSK,RU,120,0,LIRA,2,351089,19,38,9,3372,37,0,2016-12-13T11:33:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,1
54.373,18.66235,0,14,511,2,GDANSK,RU,120,0,LIRA,2,351089,19,38,9,3372,37,0,2016-12-13T11:35:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,1
54.373,18.66235,0,14,511,4,GDANSK,RU,120,0,LIRA,2,351089,19,38,9,3372,37,0,2016-12-13T11:37:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,1
54.37298,18.66258,0,14,511,3,GDANSK,RU,120,0,LIRA,2,351089,19,38,9,3372,37,0,2016-12-13T11:39:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,1
54.37295,18.66237,0,14,511,2,GDANSK,RU,120,0,LIRA,2,351089,19,38,9,3372,37,0,2016-12-13T11:41:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,1
54.37295,18.66237,0,14,511,3,GDANSK,RU,120,0,LIRA,2,351089,19,38,9,3372,37,0,2016-12-13T11:43:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,1
54.37298,18.6624,0,14,511,2,GDANSK,RU,120,0,LIRA,2,351089,19,38,9,3372,37,0,2016-12-13T11:45:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,1
54.37285,18.66247,0,16,511,2,GDANSK,RU,120,0,LIRA,2,351089,19,38,9,3372,37,0,2016-12-13T11:47:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,1
54.37285,18.66247,0,16,511,4,GDANSK,RU,120,0,LIRA,2,351089,19,38,9,3372,37,0,2016-12-13T11:49:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,1
54.37287,18.66247,0,24,511,3,GDANSK,RU,120,0,LIRA,2,351089,19,38,9,3372,37,0,2016-12-13T11:51:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,1
54.37285,18.66247,0,14,511,2,GDANSK,RU,120,0,LIRA,2,351089,19,38,9,3372,37,0,2016-12-13T11:53:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,1
54.37285,18.66247,0,14,511,2,GDANSK,RU,120,0,LIRA,2,351089,19,38,9,3372,37,0,2016-12-13T11:55:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Fishing,Gdańsk,1
