LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.7991,18.44268,84,233,240,3,WLADYSLAWOWO,LV,25,0,KRISTINA,2,352123,7,7,3,36,37,1,2016-12-14T00:17:07.000Z,gdynia,2016-12-14T00:00:00.000Z,50,Fishing,Gdynia,0
54.79704,18.43693,56,246,252,2,WLADYSLAWOWO,LV,25,720,KRISTINA,2,352123,7,7,3,36,37,1,2016-12-14T00:19:08.000Z,gdynia,2016-12-14T00:00:00.000Z,50,Fishing,Gdynia,0
54.79609,18.43192,53,255,262,2,WLADYSLAWOWO,LV,25,0,KRISTINA,2,352123,7,7,3,36,37,1,2016-12-14T00:21:07.000Z,gdynia,2016-12-14T00:00:00.000Z,50,Fishing,Gdynia,0
54.79579,18.42725,49,274,276,2,WLADYSLAWOWO,LV,25,720,KRISTINA,2,352123,7,7,3,36,37,0,2016-12-14T00:23:08.000Z,gdynia,2016-12-14T00:00:00.000Z,50,Fishing,Gdynia,0
54.79671,18.4229,49,301,305,2,WLADYSLAWOWO,LV,25,0,KRISTINA,2,352123,7,7,3,36,37,0,2016-12-14T00:25:08.000Z,gdynia,2016-12-14T00:00:00.000Z,50,Fishing,Gdynia,0
54.79732,18.42122,34,297,291,3,WLADYSLAWOWO,LV,25,-720,KRISTINA,2,352123,7,7,3,36,37,0,2016-12-14T00:27:07.000Z,gdynia,2016-12-14T00:00:00.000Z,50,Fishing,Gdynia,0
54.79762,18.41907,21,297,301,3,WLADYSLAWOWO,LV,25,720,KRISTINA,2,352123,7,7,3,36,37,1,2016-12-14T00:29:07.000Z,gdynia,2016-12-14T00:00:00.000Z,50,Fishing,Gdynia,0
54.79782,18.41868,3,318,113,3,WLADYSLAWOWO,LV,25,720,KRISTINA,2,352123,7,7,3,36,37,1,2016-12-14T00:31:07.000Z,gdynia,2016-12-14T00:00:00.000Z,50,Fishing,Gdynia,1
54.79782,18.41868,3,318,113,5,WLADYSLAWOWO,LV,25,720,KRISTINA,2,352123,7,7,3,36,37,1,2016-12-14T00:33:07.000Z,gdynia,2016-12-14T00:00:00.000Z,50,Fishing,Gdynia,1
54.79789,18.41886,0,348,95,2,WLADYSLAWOWO,LV,25,0,KRISTINA,2,352123,7,7,3,36,37,1,2016-12-14T00:35:07.000Z,gdynia,2016-12-14T00:00:00.000Z,50,Fishing,Gdynia,1
