LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
55.66196,21.15253,1,298,162,2,,LT,25,0,DARIUS,2,353278,7,7,2,30,43,0,2016-12-15T06:37:07.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,1
55.66196,21.15253,1,298,162,4,,LT,25,0,DARIUS,2,353278,7,7,2,30,43,0,2016-12-15T06:39:06.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,1
55.66179,21.15283,18,160,156,2,,LT,25,720,DARIUS,2,353278,7,7,2,30,43,0,2016-12-15T07:09:07.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.66033,21.15332,28,202,203,2,,LT,25,720,DARIUS,2,353278,7,7,2,30,43,0,2016-12-15T07:11:07.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.6601,21.15052,32,317,320,2,,LT,25,720,DARIUS,2,353278,7,7,2,30,43,0,2016-12-15T07:13:06.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.66241,21.14799,61,335,333,2,,LT,25,0,DARIUS,2,353278,7,7,2,30,43,0,2016-12-15T07:15:07.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.67427,21.14045,91,345,342,2,,LT,25,0,DARIUS,2,353278,7,7,2,30,43,1,2016-12-15T07:21:06.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.67687,21.13901,95,342,339,3,,LT,25,0,DARIUS,2,353278,7,7,2,30,43,1,2016-12-15T07:23:07.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.69422,21.12611,96,333,333,2,,LT,25,0,DARIUS,2,353278,7,7,2,30,43,0,2016-12-15T07:29:06.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.69953,21.12159,99,334,336,2,,LT,25,0,DARIUS,2,353278,7,7,2,30,43,0,2016-12-15T07:31:07.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.70481,21.11739,98,333,333,2,,LT,25,0,DARIUS,2,353278,7,7,2,30,43,0,2016-12-15T07:33:07.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.70481,21.11739,98,333,333,2,,LT,25,0,DARIUS,2,353278,7,7,2,30,43,0,2016-12-15T07:35:06.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.71507,21.10804,95,332,333,2,,LT,25,0,DARIUS,2,353278,7,7,2,30,43,0,2016-12-15T07:37:06.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.71734,21.10623,71,338,341,3,,LT,25,0,DARIUS,2,353278,7,7,2,30,43,0,2016-12-15T07:39:07.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.71926,21.10225,6,149,156,2,,LT,25,0,DARIUS,2,353278,7,7,2,30,43,0,2016-12-15T07:45:07.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.72173,21.09799,83,305,305,2,,LT,25,0,DARIUS,2,353278,7,7,2,30,43,0,2016-12-15T07:49:06.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.72459,21.09006,99,301,302,2,,LT,25,0,DARIUS,2,353278,7,7,2,30,43,0,2016-12-15T07:51:07.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.72745,21.08091,103,290,292,2,,LT,25,-720,DARIUS,2,353278,7,7,2,30,43,1,2016-12-15T07:53:07.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.72745,21.08091,103,290,292,2,,LT,25,-720,DARIUS,2,353278,7,7,2,30,43,1,2016-12-15T07:55:06.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.7253,21.06659,105,214,207,2,,LT,25,-720,DARIUS,2,353278,7,7,2,30,43,1,2016-12-15T07:57:06.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.71972,21.06426,98,186,182,2,,LT,25,0,DARIUS,2,353278,7,7,2,30,43,1,2016-12-15T07:59:06.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.7141,21.06345,94,191,187,2,,LT,25,0,DARIUS,2,353278,7,7,2,30,43,1,2016-12-15T08:01:15.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.70833,21.06271,94,184,181,2,,LT,25,0,DARIUS,2,353278,7,7,2,30,43,1,2016-12-15T08:03:07.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.70238,21.06156,92,195,194,2,,LT,25,0,DARIUS,2,353278,7,7,2,30,43,1,2016-12-15T08:05:07.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.69922,21.06034,95,193,191,3,,LT,25,0,DARIUS,2,353278,7,7,2,30,43,1,2016-12-15T08:07:06.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.69359,21.05874,97,186,184,2,,LT,25,-720,DARIUS,2,353278,7,7,2,30,43,1,2016-12-15T08:09:07.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.688,21.05832,95,185,180,2,,LT,25,0,DARIUS,2,353278,7,7,2,30,43,1,2016-12-15T08:11:06.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.68229,21.05889,92,170,169,2,,LT,25,0,DARIUS,2,353278,7,7,2,30,43,1,2016-12-15T08:13:06.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.67972,21.05993,90,165,165,2,,LT,25,0,DARIUS,2,353278,7,7,2,30,43,1,2016-12-15T08:15:06.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.67099,21.06288,90,177,176,2,,LT,25,720,DARIUS,2,353278,7,7,2,30,43,1,2016-12-15T08:17:06.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.66832,21.06342,91,169,168,2,,LT,25,0,DARIUS,2,353278,7,7,2,30,43,1,2016-12-15T08:19:07.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.66832,21.06342,91,169,168,2,,LT,25,0,DARIUS,2,353278,7,7,2,30,43,1,2016-12-15T08:21:06.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.65666,21.06763,94,173,173,1,,LT,25,0,DARIUS,2,353278,7,7,2,30,43,1,2016-12-15T08:23:07.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.65085,21.0689,88,167,165,2,,LT,25,0,DARIUS,2,353278,7,7,2,30,43,1,2016-12-15T08:25:06.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.64797,21.06978,88,172,171,2,,LT,25,0,DARIUS,2,353278,7,7,2,30,43,1,2016-12-15T08:27:07.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.64267,21.07212,93,156,155,1,,LT,25,-720,DARIUS,2,353278,7,7,2,30,43,1,2016-12-15T08:29:06.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.63763,21.07667,91,155,156,2,,LT,25,0,DARIUS,2,353278,7,7,2,30,43,1,2016-12-15T08:31:06.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.63268,21.07926,54,154,154,2,,LT,25,-720,DARIUS,2,353278,7,7,2,30,43,1,2016-12-15T08:33:07.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.63118,21.07995,45,168,167,3,,LT,25,0,DARIUS,2,353278,7,7,2,30,43,1,2016-12-15T08:35:06.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.62801,21.08115,41,163,165,2,,LT,25,0,DARIUS,2,353278,7,7,2,30,43,1,2016-12-15T08:37:06.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.62662,21.0818,36,164,160,3,,LT,25,0,DARIUS,2,353278,7,7,2,30,43,1,2016-12-15T08:39:09.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.62368,21.08327,39,163,163,2,,LT,25,0,DARIUS,2,353278,7,7,2,30,43,1,2016-12-15T08:41:07.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.62227,21.08395,40,158,158,2,,LT,25,0,DARIUS,2,353278,7,7,2,30,43,1,2016-12-15T08:43:07.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.62004,21.08508,31,166,163,2,,LT,25,0,DARIUS,2,353278,7,7,2,30,43,1,2016-12-15T08:45:07.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.61805,21.08587,28,168,162,2,,LT,25,0,DARIUS,2,353278,7,7,2,30,43,1,2016-12-15T08:47:06.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.61805,21.08587,28,168,162,4,,LT,25,0,DARIUS,2,353278,7,7,2,30,43,1,2016-12-15T08:49:06.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.61611,21.08664,29,175,162,3,,LT,25,0,DARIUS,2,353278,7,7,2,30,43,1,2016-12-15T08:51:07.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.61448,21.08726,29,168,162,3,,LT,25,0,DARIUS,2,353278,7,7,2,30,43,1,2016-12-15T08:53:07.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.61281,21.08793,28,167,163,3,,LT,25,0,DARIUS,2,353278,7,7,2,30,43,1,2016-12-15T08:55:07.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.61113,21.08856,29,173,162,3,,LT,25,0,DARIUS,2,353278,7,7,2,30,43,1,2016-12-15T08:57:07.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.60932,21.08904,28,183,167,2,,LT,25,0,DARIUS,2,353278,7,7,2,30,43,1,2016-12-15T08:59:07.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.60778,21.08944,27,172,168,2,,LT,25,0,DARIUS,2,353278,7,7,2,30,43,1,2016-12-15T09:01:06.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.60778,21.08944,27,172,168,2,,LT,25,0,DARIUS,2,353278,7,7,2,30,43,1,2016-12-15T09:03:05.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.60482,21.09004,29,184,171,2,,LT,25,0,DARIUS,2,353278,7,7,2,30,43,1,2016-12-15T09:05:07.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.60482,21.09004,29,184,171,3,,LT,25,0,DARIUS,2,353278,7,7,2,30,43,1,2016-12-15T09:07:07.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.60147,21.09042,28,173,179,2,,LT,25,0,DARIUS,2,353278,7,7,2,30,43,1,2016-12-15T09:09:07.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.60147,21.09042,28,173,179,2,,LT,25,0,DARIUS,2,353278,7,7,2,30,43,1,2016-12-15T09:11:06.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.60203,20.92229,87,287,289,2,,LT,25,720,DARIUS,2,353278,7,7,2,30,43,1,2016-12-15T10:13:06.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.60349,20.9132,84,286,285,2,,LT,25,0,DARIUS,2,353278,7,7,2,30,43,1,2016-12-15T10:15:07.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.60424,20.90907,89,286,287,1,,LT,25,0,DARIUS,2,353278,7,7,2,30,43,1,2016-12-15T10:17:07.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.60553,20.90029,90,286,287,2,,LT,25,0,DARIUS,2,353278,7,7,2,30,43,1,2016-12-15T10:19:06.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.60553,20.90029,90,286,287,3,,LT,25,0,DARIUS,2,353278,7,7,2,30,43,1,2016-12-15T10:21:07.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.60809,20.88041,88,287,286,2,,LT,25,720,DARIUS,2,353278,7,7,2,30,43,1,2016-12-15T10:23:07.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.60902,20.87617,85,282,286,1,,LT,25,-720,DARIUS,2,353278,7,7,2,30,43,1,2016-12-15T10:25:06.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.61025,20.86725,85,283,285,2,,LT,25,0,DARIUS,2,353278,7,7,2,30,43,1,2016-12-15T10:27:06.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.61155,20.85833,86,290,289,2,,LT,25,720,DARIUS,2,353278,7,7,2,30,43,1,2016-12-15T10:29:06.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.61319,20.84966,89,295,293,2,,LT,25,720,DARIUS,2,353278,7,7,2,30,43,1,2016-12-15T10:31:07.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.61319,20.84966,89,295,293,2,,LT,25,720,DARIUS,2,353278,7,7,2,30,43,1,2016-12-15T10:33:06.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.6149,20.83203,83,290,292,1,,LT,25,720,DARIUS,2,353278,7,7,2,30,43,1,2016-12-15T10:35:06.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.61583,20.82788,83,285,287,3,,LT,25,-720,DARIUS,2,353278,7,7,2,30,43,1,2016-12-15T10:37:07.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.61771,20.81844,86,281,283,2,,LT,25,0,DARIUS,2,353278,7,7,2,30,43,1,2016-12-15T10:39:06.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.61921,20.80948,83,285,287,2,,LT,25,0,DARIUS,2,353278,7,7,2,30,43,1,2016-12-15T10:41:06.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.62143,20.80016,86,292,291,2,,LT,25,0,DARIUS,2,353278,7,7,2,30,43,1,2016-12-15T10:43:07.000Z,klaipeda,2016-12-15T00:00:00.000Z,50,Fishing,Klaipeda,0
55.87436,20.80899,76,58,53,2,,LT,25,0,DARIUS,2,353278,7,7,2,30,43,1,2016-12-16T06:25:08.000Z,klaipeda,2016-12-16T00:00:00.000Z,51,Fishing,Klaipeda,0
