LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
55.65975,21.15242,42,250,511,2,GDYNIA,LT,25,0,694,2,353287,7,7,5,30,43,0,2016-12-14T20:35:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Fishing,Klaipeda,0
55.66162,21.14882,63,334,511,2,GDYNIA,LT,25,0,694,2,353287,7,7,5,30,43,1,2016-12-14T20:37:07.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Fishing,Klaipeda,0
55.67464,21.14118,77,319,511,2,GDYNIA,LT,25,0,694,2,353287,7,7,5,30,43,1,2016-12-14T21:01:07.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Fishing,Klaipeda,0
55.67893,21.13756,82,340,511,2,GDYNIA,LT,25,0,694,2,353287,7,7,5,30,43,1,2016-12-14T21:03:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Fishing,Klaipeda,0
55.68347,21.13425,82,337,511,2,GDYNIA,LT,25,0,694,2,353287,7,7,5,30,43,1,2016-12-14T21:05:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Fishing,Klaipeda,0
55.68805,21.13093,83,337,511,2,GDYNIA,LT,25,0,694,2,353287,7,7,5,30,43,0,2016-12-14T21:07:07.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Fishing,Klaipeda,0
55.69239,21.12721,82,332,511,2,GDYNIA,LT,25,0,694,2,353287,7,7,5,30,43,0,2016-12-14T21:09:05.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Fishing,Klaipeda,0
55.71218,21.11059,74,336,511,2,GDYNIA,LT,25,0,694,2,353287,7,7,5,30,43,0,2016-12-14T21:19:07.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Fishing,Klaipeda,0
55.71571,21.10726,61,331,511,2,GDYNIA,LT,25,0,694,2,353287,7,7,5,30,43,0,2016-12-14T21:21:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Fishing,Klaipeda,0
55.72139,21.09864,65,304,511,2,GDYNIA,LT,25,0,694,2,353287,7,7,5,30,43,0,2016-12-14T21:25:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Fishing,Klaipeda,0
55.72765,21.07958,82,280,511,2,GDYNIA,LT,25,0,694,2,353287,7,7,5,30,43,0,2016-12-14T21:31:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Fishing,Klaipeda,0
55.72806,21.07553,86,276,511,2,GDYNIA,LT,25,0,694,2,353287,7,7,5,30,43,1,2016-12-14T21:33:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Fishing,Klaipeda,0
