LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.59428,18.83052,73,51,511,2,CLASS B,PL,13,NA,JAS-79,2,3862045,4,10,2,NA,NA,1,2016-12-15T05:31:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Fishing,Gdańsk,0
54.59717,18.83632,95,48,511,2,CLASS B,PL,13,NA,JAS-79,2,3862045,4,10,2,NA,NA,1,2016-12-15T05:33:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Fishing,Gdańsk,0
54.60023,18.84176,67,43,511,2,CLASS B,PL,13,NA,JAS-79,2,3862045,4,10,2,NA,NA,1,2016-12-15T05:35:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Fishing,Gdańsk,0
54.60361,18.84889,72,58,511,2,CLASS B,PL,13,NA,JAS-79,2,3862045,4,10,2,NA,NA,1,2016-12-15T05:37:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Fishing,Gdańsk,0
54.60604,18.855,83,76,511,2,CLASS B,PL,13,NA,JAS-79,2,3862045,4,10,2,NA,NA,1,2016-12-15T05:39:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Fishing,Gdańsk,0
54.60711,18.86056,93,81,511,2,CLASS B,PL,13,NA,JAS-79,2,3862045,4,10,2,NA,NA,1,2016-12-15T05:41:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Fishing,Gdańsk,0
54.60881,18.86962,80,74,511,2,CLASS B,PL,13,NA,JAS-79,2,3862045,4,10,2,NA,NA,1,2016-12-15T05:43:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Fishing,Gdańsk,0
54.60983,18.87694,85,87,511,2,CLASS B,PL,13,NA,JAS-79,2,3862045,4,10,2,NA,NA,1,2016-12-15T05:45:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Fishing,Gdańsk,0
54.61026,18.88073,81,71,511,3,CLASS B,PL,13,NA,JAS-79,2,3862045,4,10,2,NA,NA,1,2016-12-15T05:47:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Fishing,Gdańsk,0
54.61084,18.88609,84,61,511,3,CLASS B,PL,13,NA,JAS-79,2,3862045,4,10,2,NA,NA,1,2016-12-15T05:49:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Fishing,Gdańsk,0
54.61092,18.89943,85,132,511,2,CLASS B,PL,13,NA,JAS-79,2,3862045,4,10,2,NA,NA,1,2016-12-15T05:51:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Fishing,Gdańsk,0
54.60969,18.90667,91,111,511,2,CLASS B,PL,13,NA,JAS-79,2,3862045,4,10,2,NA,NA,1,2016-12-15T05:53:04.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Fishing,Gdańsk,0
54.6112,18.91132,77,64,511,2,CLASS B,PL,13,NA,JAS-79,2,3862045,4,10,2,NA,NA,1,2016-12-15T05:55:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Fishing,Gdańsk,0
54.6115,18.91906,84,47,511,2,CLASS B,PL,13,NA,JAS-79,2,3862045,4,10,2,NA,NA,1,2016-12-15T05:57:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Fishing,Gdańsk,0
54.61301,18.92765,79,94,511,2,CLASS B,PL,13,NA,JAS-79,2,3862045,4,10,2,NA,NA,1,2016-12-15T05:59:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Fishing,Gdańsk,0
54.61428,18.93486,87,77,511,2,CLASS B,PL,13,NA,JAS-79,2,3862045,4,10,2,NA,NA,1,2016-12-15T06:01:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Fishing,Gdańsk,0
54.61561,18.93963,81,42,511,2,CLASS B,PL,13,NA,JAS-79,2,3862045,4,10,2,NA,NA,1,2016-12-15T06:03:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Fishing,Gdańsk,0
54.6151,18.94706,72,81,511,2,CLASS B,PL,13,NA,JAS-79,2,3862045,4,10,2,NA,NA,1,2016-12-15T06:05:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Fishing,Gdańsk,0
54.61472,18.95646,82,132,511,2,CLASS B,PL,13,NA,JAS-79,2,3862045,4,10,2,NA,NA,1,2016-12-15T06:07:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Fishing,Gdańsk,0
54.61408,18.9599,53,101,511,3,CLASS B,PL,13,NA,JAS-79,2,3862045,4,10,2,NA,NA,1,2016-12-15T06:09:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Fishing,Gdańsk,0
54.61344,18.95989,4,124,511,3,CLASS B,PL,13,NA,JAS-79,2,3862045,4,10,2,NA,NA,1,2016-12-15T06:11:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Fishing,Gdańsk,1
54.61344,18.95989,4,124,511,5,CLASS B,PL,13,NA,JAS-79,2,3862045,4,10,2,NA,NA,1,2016-12-15T06:13:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Fishing,Gdańsk,1
54.61293,18.95987,39,182,511,3,CLASS B,PL,13,NA,JAS-79,2,3862045,4,10,2,NA,NA,1,2016-12-15T06:15:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Fishing,Gdańsk,0
54.61261,18.95996,38,196,511,3,CLASS B,PL,13,NA,JAS-79,2,3862045,4,10,2,NA,NA,1,2016-12-15T06:17:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Fishing,Gdańsk,0
54.61228,18.95988,4,275,511,3,CLASS B,PL,13,NA,JAS-79,2,3862045,4,10,2,NA,NA,1,2016-12-15T06:19:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Fishing,Gdańsk,1
54.61293,18.96126,50,70,511,2,CLASS B,PL,13,NA,JAS-79,2,3862045,4,10,2,NA,NA,1,2016-12-15T06:21:03.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Fishing,Gdańsk,0
54.61323,18.9664,36,88,511,2,CLASS B,PL,13,NA,JAS-79,2,3862045,4,10,2,NA,NA,1,2016-12-15T06:23:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Fishing,Gdańsk,0
54.61324,18.96874,4,73,511,2,CLASS B,PL,13,NA,JAS-79,2,3862045,4,10,2,NA,NA,1,2016-12-15T06:25:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Fishing,Gdańsk,1
54.61286,18.97083,27,87,511,2,CLASS B,PL,13,NA,JAS-79,2,3862045,4,10,2,NA,NA,1,2016-12-15T06:27:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Fishing,Gdańsk,0
