LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.92983,11.60134,63,317,511,3,DYRON NORTH,SE,10,0,GG976 SVANFORS,2,4032661,4,5,0,NA,NA,1,2016-12-14T16:13:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,0
57.92971,11.60202,41,124,511,2,DYRON NORTH,SE,10,0,GG976 SVANFORS,2,4032661,4,5,0,NA,NA,1,2016-12-14T17:25:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,0
57.92972,11.6025,47,302,511,2,DYRON NORTH,SE,10,0,GG976 SVANFORS,2,4032661,4,5,0,NA,NA,1,2016-12-14T17:27:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,0
57.92946,11.60151,0,0,511,2,DYRON NORTH,SE,10,0,GG976 SVANFORS,2,4032661,4,5,0,NA,NA,1,2016-12-14T18:25:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.92946,11.60151,0,0,511,4,DYRON NORTH,SE,10,0,GG976 SVANFORS,2,4032661,4,5,0,NA,NA,1,2016-12-14T18:27:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.92946,11.60151,0,0,511,6,DYRON NORTH,SE,10,0,GG976 SVANFORS,2,4032661,4,5,0,NA,NA,1,2016-12-14T18:29:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.92946,11.60151,0,0,511,7,DYRON NORTH,SE,10,0,GG976 SVANFORS,2,4032661,4,5,0,NA,NA,1,2016-12-14T18:31:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.92946,11.60151,0,0,511,10,DYRON NORTH,SE,10,0,GG976 SVANFORS,2,4032661,4,5,0,NA,NA,1,2016-12-14T18:33:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.92946,11.60151,0,0,511,10,DYRON NORTH,SE,10,0,GG976 SVANFORS,2,4032661,4,5,0,NA,NA,1,2016-12-14T18:35:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.92946,11.60151,0,0,511,14,DYRON NORTH,SE,10,0,GG976 SVANFORS,2,4032661,4,5,0,NA,NA,1,2016-12-14T18:37:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.92946,11.60151,0,0,511,16,DYRON NORTH,SE,10,0,GG976 SVANFORS,2,4032661,4,5,0,NA,NA,1,2016-12-14T18:39:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.92946,11.60151,0,0,511,18,DYRON NORTH,SE,10,0,GG976 SVANFORS,2,4032661,4,5,0,NA,NA,1,2016-12-14T18:41:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.92946,11.60151,0,0,511,20,DYRON NORTH,SE,10,0,GG976 SVANFORS,2,4032661,4,5,0,NA,NA,1,2016-12-14T18:43:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.92946,11.60151,0,0,511,22,DYRON NORTH,SE,10,0,GG976 SVANFORS,2,4032661,4,5,0,NA,NA,1,2016-12-14T18:45:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.92946,11.60151,0,0,511,24,DYRON NORTH,SE,10,0,GG976 SVANFORS,2,4032661,4,5,0,NA,NA,1,2016-12-14T18:47:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
57.92946,11.60151,0,0,511,26,DYRON NORTH,SE,10,0,GG976 SVANFORS,2,4032661,4,5,0,NA,NA,1,2016-12-14T18:49:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Fishing,gothenborg,1
