LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.6615,11.84177,1,347,156,3,GOTHENBURG ARCHIPELA,SE,27,0,VALO,4,323966,8,8,4,19,23,0,2016-12-13T13:07:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,High Special,gothenborg,1
57.6615,11.84177,1,347,156,5,GOTHENBURG ARCHIPELA,SE,27,0,VALO,4,323966,8,8,4,19,23,0,2016-12-13T13:09:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,High Special,gothenborg,1
57.6615,11.84178,0,359,156,4,GOTHENBURG ARCHIPELA,SE,27,0,VALO,4,323966,8,8,4,19,23,0,2016-12-13T13:15:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,High Special,gothenborg,1
57.6615,11.84175,1,312,156,2,GOTHENBURG ARCHIPEL,SE,27,0,VALO,4,323966,8,8,4,19,23,0,2016-12-13T13:17:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,High Special,gothenborg,1
57.6615,11.84175,1,312,156,4,GOTHENBURG ARCHIPEL,SE,27,0,VALO,4,323966,8,8,4,19,23,0,2016-12-13T13:19:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,High Special,gothenborg,1
57.6615,11.84175,0,334,156,2,GOTHENBURG ARCHIPEL,SE,27,0,VALO,4,323966,8,8,4,19,23,0,2016-12-13T13:21:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,High Special,gothenborg,1
57.66192,11.83534,226,224,223,2,GOTHENBURG ARCHIPELA,SE,27,0,VALO,4,323966,8,8,4,19,23,1,2016-12-13T13:29:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,High Special,gothenborg,0
57.66192,11.83534,226,224,223,2,GOTHENBURG ARCHIPELA,SE,27,0,VALO,4,323966,8,8,4,19,23,1,2016-12-13T13:29:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,High Special,gothenborg,0
57.65084,11.82143,231,200,200,2,GOTHENBURG ARCHIPELA,SE,27,0,VALO,4,323966,8,8,4,19,23,1,2016-12-13T13:31:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,High Special,gothenborg,0
57.65084,11.82143,231,200,200,2,GOTHENBURG ARCHIPELA,SE,27,0,VALO,4,323966,8,8,4,19,23,1,2016-12-13T13:31:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,High Special,gothenborg,0
57.63731,11.81793,233,181,181,2,GOTHENBURG ARCHIPELA,SE,27,0,VALO,4,323966,8,8,4,19,23,1,2016-12-13T13:33:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,High Special,gothenborg,0
57.63731,11.81793,233,181,181,2,GOTHENBURG ARCHIPELA,SE,27,0,VALO,4,323966,8,8,4,19,23,1,2016-12-13T13:33:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,High Special,gothenborg,0
57.62491,11.81257,230,181,180,2,GOTHENBURG ARCHIPELA,SE,27,720,VALO,4,323966,8,8,4,19,23,1,2016-12-13T13:35:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,High Special,gothenborg,0
