LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.79716,18.694,172,128,129,2,GDY/KARLSKR/GDY,GB,165,0,STENA BALTICA,6,201103,26,16,13,6200,116,1,2016-12-13T18:41:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Passenger,Gdańsk,0
54.7915,18.70717,171,127,129,2,GDY/KARLSKR/GDY,GB,165,0,STENA BALTICA,6,201103,26,16,13,6200,116,1,2016-12-13T18:43:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Passenger,Gdańsk,0
54.78867,18.71383,172,128,129,2,GDY/KARLSKR/GDY,GB,165,-1,STENA BALTICA,6,201103,26,16,13,6200,116,1,2016-12-13T18:45:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Passenger,Gdańsk,0
54.78,18.7335,172,128,129,2,GDY/KARLSKR/GDY,GB,165,0,STENA BALTICA,6,201103,26,16,13,6200,116,1,2016-12-13T18:47:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Passenger,Gdańsk,0
54.777,18.74017,173,129,129,3,GDY/KARLSKR/GDY,GB,165,0,STENA BALTICA,6,201103,26,16,13,6200,116,1,2016-12-13T18:49:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Passenger,Gdańsk,0
54.76833,18.76017,179,127,128,2,GDY/KARLSKR/GDY,GB,165,-4,STENA BALTICA,6,201103,26,16,13,6200,116,1,2016-12-13T18:51:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Passenger,Gdańsk,0
54.76217,18.774,181,128,129,2,GDY/KARLSKR/GDY,GB,165,0,STENA BALTICA,6,201103,26,16,13,6200,116,1,2016-12-13T18:53:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Passenger,Gdańsk,0
54.75617,18.78783,180,129,129,2,GDY/KARLSKR/GDY,GB,165,-3,STENA BALTICA,6,201103,26,16,13,6200,116,1,2016-12-13T18:55:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Passenger,Gdańsk,0
54.74983,18.8015,180,129,129,2,GDY/KARLSKR/GDY,GB,165,0,STENA BALTICA,6,201103,26,16,13,6200,116,1,2016-12-13T18:57:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Passenger,Gdańsk,0
54.7435,18.816,180,128,128,2,GDY/KARLSKR/GDY,GB,165,3,STENA BALTICA,6,201103,26,16,13,6200,116,1,2016-12-13T18:59:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Passenger,Gdańsk,0
54.7405,18.823,180,128,129,2,GDY/KARLSKR/GDY,GB,165,0,STENA BALTICA,6,201103,26,16,13,6200,116,1,2016-12-13T19:01:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Passenger,Gdańsk,0
54.73117,18.8435,181,129,128,2,GDY/KARLSKR/GDY,GB,165,3,STENA BALTICA,6,201103,26,16,13,6200,116,1,2016-12-13T19:03:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Passenger,Gdańsk,0
