LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.6935,11.91333,0,323,133,4,,SE,21,0,HAMNEN,6,320546,6,5,2,NA,NA,0,2016-12-13T11:31:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.6935,11.91333,0,323,133,4,,SE,21,0,HAMNEN,6,320546,6,5,2,NA,NA,0,2016-12-13T11:31:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.6935,11.91333,0,323,133,5,,SE,21,0,HAMNEN,6,320546,6,5,2,NA,NA,0,2016-12-13T11:33:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.69349,11.91337,0,323,133,2,,SE,21,0,HAMNEN,6,320546,6,5,2,NA,NA,0,2016-12-13T11:33:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.69349,11.91337,0,323,133,4,,SE,21,0,HAMNEN,6,320546,6,5,2,NA,NA,1,2016-12-13T11:35:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.69349,11.91337,0,323,133,4,,SE,21,0,HAMNEN,6,320546,6,5,2,NA,NA,0,2016-12-13T11:35:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.69351,11.91335,0,323,133,2,,SE,21,0,HAMNEN,6,320546,6,5,2,NA,NA,1,2016-12-13T11:37:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.69351,11.91335,0,323,133,2,,SE,21,0,HAMNEN,6,320546,6,5,2,NA,NA,0,2016-12-13T11:37:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.69351,11.91335,0,323,133,4,,SE,21,0,HAMNEN,6,320546,6,5,2,NA,NA,1,2016-12-13T11:39:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.69351,11.91335,0,323,133,4,,SE,21,0,HAMNEN,6,320546,6,5,2,NA,NA,0,2016-12-13T11:39:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.69349,11.91337,0,323,134,2,,SE,21,0,HAMNEN,6,320546,6,5,2,NA,NA,1,2016-12-13T11:41:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.69349,11.91337,0,323,134,2,,SE,21,0,HAMNEN,6,320546,6,5,2,NA,NA,0,2016-12-13T11:41:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.69349,11.91337,0,323,134,4,,SE,21,0,HAMNEN,6,320546,6,5,2,NA,NA,1,2016-12-13T11:43:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.69349,11.91337,0,323,134,4,,SE,21,0,HAMNEN,6,320546,6,5,2,NA,NA,0,2016-12-13T11:43:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.69349,11.91336,0,323,133,2,,SE,21,0,HAMNEN,6,320546,6,5,2,NA,NA,1,2016-12-13T11:45:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.69349,11.91336,0,323,133,2,,SE,21,0,HAMNEN,6,320546,6,5,2,NA,NA,0,2016-12-13T11:45:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.69349,11.91336,0,323,133,4,,SE,21,0,HAMNEN,6,320546,6,5,2,NA,NA,0,2016-12-13T11:47:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.69349,11.91336,0,323,133,4,,SE,21,0,HAMNEN,6,320546,6,5,2,NA,NA,0,2016-12-13T11:47:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.69348,11.91336,0,323,133,3,,SE,21,0,HAMNEN,6,320546,6,5,2,NA,NA,1,2016-12-13T11:49:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.69348,11.91336,0,323,133,3,,SE,21,0,HAMNEN,6,320546,6,5,2,NA,NA,0,2016-12-13T11:49:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.69351,11.91334,0,323,133,1,,SE,21,0,HAMNEN,6,320546,6,5,2,NA,NA,1,2016-12-13T11:51:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.69351,11.91334,0,323,133,2,,SE,21,0,HAMNEN,6,320546,6,5,2,NA,NA,0,2016-12-13T11:51:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.69351,11.91334,0,323,133,4,,SE,21,0,HAMNEN,6,320546,6,5,2,NA,NA,1,2016-12-13T11:53:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.69351,11.91334,0,323,133,4,,SE,21,0,HAMNEN,6,320546,6,5,2,NA,NA,0,2016-12-13T11:53:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.69351,11.91335,0,323,133,3,,SE,21,0,HAMNEN,6,320546,6,5,2,NA,NA,1,2016-12-13T11:55:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.69351,11.91335,0,323,133,3,,SE,21,0,HAMNEN,6,320546,6,5,2,NA,NA,0,2016-12-13T11:55:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.69351,11.91335,0,323,133,5,,SE,21,0,HAMNEN,6,320546,6,5,2,NA,NA,1,2016-12-13T11:57:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.69351,11.91335,0,323,133,5,,SE,21,0,HAMNEN,6,320546,6,5,2,NA,NA,0,2016-12-13T11:57:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.69348,11.91338,0,323,133,2,,SE,21,0,HAMNEN,6,320546,6,5,2,NA,NA,0,2016-12-13T11:59:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.69348,11.91338,0,323,133,2,,SE,21,0,HAMNEN,6,320546,6,5,2,NA,NA,0,2016-12-13T11:59:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.69348,11.91338,0,323,133,3,,SE,21,0,HAMNEN,6,320546,6,5,2,NA,NA,0,2016-12-13T12:01:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.69348,11.91338,0,323,133,4,,SE,21,0,HAMNEN,6,320546,6,5,2,NA,NA,0,2016-12-13T12:01:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
