LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.60092,11.79068,76,53,61,2,,SE,34,720,VESTA,6,320717,7,9,4,50,23,1,2016-12-13T11:39:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.60021,11.79267,42,324,327,2,,SE,34,-720,VESTA,6,320717,7,9,4,50,23,1,2016-12-13T11:43:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.60274,11.7913,91,352,353,3,,SE,34,720,VESTA,6,320717,7,9,4,50,23,1,2016-12-13T11:45:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.60533,11.79473,80,24,23,2,,SE,34,-720,VESTA,6,320717,7,9,4,50,23,1,2016-12-13T11:47:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.60961,11.80158,101,44,45,2,,SE,34,0,VESTA,6,320717,7,9,4,50,23,1,2016-12-13T11:49:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.60961,11.80158,101,44,45,2,,SE,34,0,VESTA,6,320717,7,9,4,50,23,1,2016-12-13T11:49:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.61495,11.80569,113,10,10,1,,SE,34,0,VESTA,6,320717,7,9,4,50,23,1,2016-12-13T11:51:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.61495,11.80569,113,10,10,2,,SE,34,0,VESTA,6,320717,7,9,4,50,23,1,2016-12-13T11:51:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.61607,11.79764,89,250,251,2,,SE,34,720,VESTA,6,320717,7,9,4,50,23,1,2016-12-13T11:53:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.61607,11.79764,89,250,251,4,,SE,34,720,VESTA,6,320717,7,9,4,50,23,1,2016-12-13T11:55:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.61771,11.79461,103,4,5,2,,SE,34,0,VESTA,6,320717,7,9,4,50,23,1,2016-12-13T11:57:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.61797,11.80058,125,103,103,2,,SE,34,0,VESTA,6,320717,7,9,4,50,23,1,2016-12-13T11:59:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.61797,11.80058,125,103,103,2,,SE,34,0,VESTA,6,320717,7,9,4,50,23,1,2016-12-13T11:59:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.62197,11.80894,130,9,9,1,,SE,34,0,VESTA,6,320717,7,9,4,50,23,1,2016-12-13T12:01:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.62197,11.80894,130,9,9,2,,SE,34,0,VESTA,6,320717,7,9,4,50,23,1,2016-12-13T12:01:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.62197,11.80894,130,9,9,2,,SE,34,0,VESTA,6,320717,7,9,4,50,23,1,2016-12-13T12:03:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.62197,11.80894,130,9,9,2,,SE,34,0,VESTA,6,320717,7,9,4,50,23,1,2016-12-13T12:03:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.63086,11.81535,131,19,18,1,,SE,34,-720,VESTA,6,320717,7,9,4,50,23,1,2016-12-13T12:05:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.63086,11.81535,131,19,18,1,,SE,34,-720,VESTA,6,320717,7,9,4,50,23,1,2016-12-13T12:05:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.63459,11.81611,134,2,3,2,,SE,34,0,VESTA,6,320717,7,9,4,50,23,1,2016-12-13T12:07:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.63459,11.81611,134,2,3,2,,SE,34,0,VESTA,6,320717,7,9,4,50,23,1,2016-12-13T12:07:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.63459,11.81611,134,2,3,2,,SE,34,0,VESTA,6,320717,7,9,4,50,23,1,2016-12-13T12:09:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.64201,11.8178,132,8,7,2,,SE,34,0,VESTA,6,320717,7,9,4,50,23,1,2016-12-13T12:09:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.64629,11.81908,131,10,10,1,,SE,34,0,VESTA,6,320717,7,9,4,50,23,1,2016-12-13T12:11:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.65022,11.82097,133,18,19,2,,SE,34,720,VESTA,6,320717,7,9,4,50,23,1,2016-12-13T12:11:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.65381,11.82383,130,28,29,1,,SE,34,720,VESTA,6,320717,7,9,4,50,23,1,2016-12-13T12:13:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.65681,11.82755,127,38,38,2,,SE,34,0,VESTA,6,320717,7,9,4,50,23,1,2016-12-13T12:13:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.66219,11.83603,120,44,46,2,,SE,34,0,VESTA,6,320717,7,9,4,50,23,1,2016-12-13T12:15:07.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.66219,11.83603,120,44,46,2,,SE,34,0,VESTA,6,320717,7,9,4,50,23,1,2016-12-13T12:15:10.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.66189,11.84262,34,133,134,2,,SE,34,720,VESTA,6,320717,7,9,4,50,23,1,2016-12-13T12:17:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.66189,11.84262,34,133,134,2,,SE,34,720,VESTA,6,320717,7,9,4,50,23,1,2016-12-13T12:17:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.66189,11.84262,34,133,134,2,,SE,34,720,VESTA,6,320717,7,9,4,50,23,1,2016-12-13T12:19:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.6616,11.84264,0,0,238,2,,SE,34,0,VESTA,6,320717,7,9,4,50,23,1,2016-12-13T12:19:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.6616,11.84264,0,0,238,4,,SE,34,0,VESTA,6,320717,7,9,4,50,23,1,2016-12-13T12:21:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.6616,11.84264,0,0,238,4,,SE,34,0,VESTA,6,320717,7,9,4,50,23,1,2016-12-13T12:21:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.6616,11.84264,0,0,238,4,,SE,34,0,VESTA,6,320717,7,9,4,50,23,1,2016-12-13T12:23:07.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.66159,11.84266,0,0,236,2,,SE,34,0,VESTA,6,320717,7,9,4,50,23,1,2016-12-13T12:23:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.66159,11.84266,0,0,236,4,,SE,34,0,VESTA,6,320717,7,9,4,50,23,1,2016-12-13T12:25:07.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
