LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.69279,11.91163,0,319,142,2,FERRYSERVICE GOTPORT,SE,31,0,ALVSNABBEN 5,6,320839,7,9,6,35,23,1,2016-12-13T11:31:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.69279,11.91163,0,319,142,2,FERRYSERVICE GOTPORT,SE,31,0,ALVSNABBEN 5,6,320839,7,9,6,35,23,0,2016-12-13T11:31:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.69279,11.91163,0,319,142,3,FERRYSERVICE GOTPORT,SE,31,0,ALVSNABBEN 5,6,320839,7,9,6,35,23,1,2016-12-13T11:33:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.69341,11.9107,43,24,9,2,FERRYSERVICE GOTPORT,SE,31,-720,ALVSNABBEN 5,6,320839,7,9,6,35,23,0,2016-12-13T11:33:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.69928,11.91422,74,20,22,2,FERRYSERVICE GOTPORT,SE,31,0,ALVSNABBEN 5,6,320839,7,9,6,35,23,1,2016-12-13T11:35:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.69928,11.91422,74,20,22,2,FERRYSERVICE GOTPORT,SE,31,0,ALVSNABBEN 5,6,320839,7,9,6,35,23,1,2016-12-13T11:35:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70029,11.915,37,195,15,2,FERRYSERVICE GOTPORT,SE,31,-720,ALVSNABBEN 5,6,320839,7,9,6,35,23,1,2016-12-13T11:37:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70029,11.915,37,195,15,2,FERRYSERVICE GOTPORT,SE,31,-720,ALVSNABBEN 5,6,320839,7,9,6,35,23,1,2016-12-13T11:37:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.69962,11.91964,102,54,53,2,FERRYSERVICE GOTPORT,SE,31,-720,ALVSNABBEN 5,6,320839,7,9,6,35,23,1,2016-12-13T11:39:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.69962,11.91964,102,54,53,2,FERRYSERVICE GOTPORT,SE,31,-720,ALVSNABBEN 5,6,320839,7,9,6,35,23,1,2016-12-13T11:39:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
