LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.70633,11.69504,76,241,236,3,HONO-VARHOLMEN-HONO,SE,90,0,GOTA,6,321092,15,43,7,820,116,1,2016-12-13T11:31:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70633,11.69504,76,241,236,4,HONO-VARHOLMEN-HONO,SE,90,0,GOTA,6,321092,15,43,7,820,116,1,2016-12-13T11:33:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70223,11.67776,80,254,251,2,HONO-VARHOLMEN-HONO,SE,90,0,GOTA,6,321092,15,43,7,820,116,1,2016-12-13T11:35:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.70013,11.67075,42,228,228,2,HONO-VARHOLMEN-HONO,SE,90,0,GOTA,6,321092,15,43,7,820,116,1,2016-12-13T11:37:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.69884,11.66837,37,224,241,2,HONO-VARHOLMEN-HONO,SE,90,720,GOTA,6,321092,15,43,7,820,116,0,2016-12-13T11:39:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,0
57.69869,11.66755,0,264,256,2,HONO-VARHOLMEN-HONO,SE,90,0,GOTA,6,321092,15,43,7,820,116,1,2016-12-13T11:41:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.69869,11.66755,0,264,256,4,HONO-VARHOLMEN-HONO,SE,90,0,GOTA,6,321092,15,43,7,820,116,1,2016-12-13T11:43:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.69867,11.66759,0,264,256,2,HONO-VARHOLMEN-HONO,SE,90,0,GOTA,6,321092,15,43,7,820,116,1,2016-12-13T11:45:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.69867,11.66759,0,264,256,4,HONO-VARHOLMEN-HONO,SE,90,0,GOTA,6,321092,15,43,7,820,116,1,2016-12-13T11:47:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.69867,11.66763,0,264,256,2,HONO-VARHOLMEN-HONO,SE,90,0,GOTA,6,321092,15,43,7,820,116,1,2016-12-13T11:49:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
