LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.70457,11.93939,1,181,243,5,GOTEBORG S SKARGARD,SE,28,0,SKARVEN,6,321597,7,9,4,0,23,0,2016-12-13T11:31:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.70457,11.93939,1,181,243,6,GOTEBORG S SKARGARD,SE,28,0,SKARVEN,6,321597,7,9,4,0,23,0,2016-12-13T11:33:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.70457,11.93939,0,258,244,2,GOTEBORG S SKARGARD,SE,28,0,SKARVEN,6,321597,7,9,4,0,23,0,2016-12-13T11:35:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.70457,11.93939,0,258,244,4,GOTEBORG S SKARGARD,SE,28,0,SKARVEN,6,321597,7,9,4,0,23,0,2016-12-13T11:37:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.70457,11.93939,0,245,246,3,GOTEBORG S SKARGARD,SE,28,0,SKARVEN,6,321597,7,9,4,0,23,0,2016-12-13T11:39:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.70457,11.93939,0,261,242,2,GOTEBORG S SKARGARD,SE,28,0,SKARVEN,6,321597,7,9,4,0,23,0,2016-12-13T11:41:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.70457,11.93938,1,173,242,2,GOTEBORG S SKARGARD,SE,28,0,SKARVEN,6,321597,7,9,4,0,23,0,2016-12-13T11:45:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.70457,11.93938,2,328,244,3,GOTEBORG S SKARGARD,SE,28,0,SKARVEN,6,321597,7,9,4,0,23,0,2016-12-13T11:51:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.70457,11.93938,0,120,243,2,GOTEBORG S SKARGARD,SE,28,0,SKARVEN,6,321597,7,9,4,0,23,0,2016-12-13T11:53:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.70457,11.93938,0,120,243,4,GOTEBORG S SKARGARD,SE,28,0,SKARVEN,6,321597,7,9,4,0,23,0,2016-12-13T11:55:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
