LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.69572,11.91401,0,168,54,4,KIEL-GOTHENBURG-KIEL,SE,241,0,STENA GERMANICA,6,327507,29,26,15,10670,116,1,2016-12-13T11:31:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.69572,11.91401,0,168,54,4,KIEL-GOTHENBURG-KIEL,SE,241,0,STENA GERMANICA,6,327507,29,26,15,10670,116,1,2016-12-13T11:31:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.69572,11.91401,0,168,54,5,KIEL-GOTHENBURG-KIEL,SE,241,0,STENA GERMANICA,6,327507,29,26,15,10670,116,1,2016-12-13T11:33:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.69572,11.91401,0,314,54,3,KIEL-GOTHENBURG-KIEL,SE,241,0,STENA GERMANICA,6,327507,29,26,15,10670,116,1,2016-12-13T11:33:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.69573,11.91401,0,10,54,2,KIEL-GOTHENBURG-KIEL,SE,241,0,STENA GERMANICA,6,327507,29,26,15,10670,116,1,2016-12-13T11:35:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.69573,11.91401,0,10,54,2,KIEL-GOTHENBURG-KIEL,SE,241,0,STENA GERMANICA,6,327507,29,26,15,10670,116,1,2016-12-13T11:35:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.69573,11.91401,0,10,54,4,KIEL-GOTHENBURG-KIEL,SE,241,0,STENA GERMANICA,6,327507,29,26,15,10670,116,1,2016-12-13T11:37:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.69573,11.91401,0,10,54,4,KIEL-GOTHENBURG-KIEL,SE,241,0,STENA GERMANICA,6,327507,29,26,15,10670,116,1,2016-12-13T11:37:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.69573,11.91401,0,231,54,3,KIEL-GOTHENBURG-KIEL,SE,241,0,STENA GERMANICA,6,327507,29,26,15,10670,116,1,2016-12-13T11:39:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.69573,11.91401,0,231,54,3,KIEL-GOTHENBURG-KIEL,SE,241,0,STENA GERMANICA,6,327507,29,26,15,10670,116,1,2016-12-13T11:39:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.69572,11.91402,0,88,54,2,KIEL-GOTHENBURG-KIEL,SE,241,0,STENA GERMANICA,6,327507,29,26,15,10670,116,1,2016-12-13T11:41:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.69572,11.91402,0,88,54,2,KIEL-GOTHENBURG-KIEL,SE,241,0,STENA GERMANICA,6,327507,29,26,15,10670,116,1,2016-12-13T11:41:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.69572,11.91402,0,88,54,4,KIEL-GOTHENBURG-KIEL,SE,241,0,STENA GERMANICA,6,327507,29,26,15,10670,116,1,2016-12-13T11:43:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.69572,11.91402,0,88,54,4,KIEL-GOTHENBURG-KIEL,SE,241,0,STENA GERMANICA,6,327507,29,26,15,10670,116,1,2016-12-13T11:43:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.69572,11.91402,0,21,54,3,KIEL-GOTHENBURG-KIEL,SE,241,0,STENA GERMANICA,6,327507,29,26,15,10670,116,1,2016-12-13T11:45:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
57.69572,11.91402,0,21,54,3,KIEL-GOTHENBURG-KIEL,SE,241,0,STENA GERMANICA,6,327507,29,26,15,10670,116,1,2016-12-13T11:45:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Passenger,gothenborg,1
