LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
59.95501,30.27156,3,153,511,5,S.PETERSBURG,RU,99,0,MOSKVA-3,6,348160,13,0,0,NA,NA,1,2016-12-20T10:37:03.000Z,st_petersburg,2016-12-20T00:00:00.000Z,51,Passenger,St. Petersburg,1
59.95499,30.27133,2,233,511,5,S.PETERSBURG,RU,99,0,MOSKVA-3,6,348160,13,0,0,NA,NA,1,2016-12-20T10:41:03.000Z,st_petersburg,2016-12-20T00:00:00.000Z,51,Passenger,St. Petersburg,1
59.95499,30.27133,2,233,511,5,S.PETERSBURG,RU,99,0,MOSKVA-3,6,348160,13,0,0,NA,NA,1,2016-12-20T10:41:04.000Z,st_petersburg,2016-12-20T00:00:00.000Z,51,Passenger,St. Petersburg,1
59.95503,30.27146,0,212,511,3,S.PETERSBURG,RU,99,0,MOSKVA-3,6,348160,13,0,0,NA,NA,1,2016-12-20T10:43:03.000Z,st_petersburg,2016-12-20T00:00:00.000Z,51,Passenger,St. Petersburg,1
59.95503,30.27146,0,212,511,3,S.PETERSBURG,RU,99,0,MOSKVA-3,6,348160,13,0,0,NA,NA,1,2016-12-20T10:43:04.000Z,st_petersburg,2016-12-20T00:00:00.000Z,51,Passenger,St. Petersburg,1
59.95503,30.27146,0,212,511,5,S.PETERSBURG,RU,99,0,MOSKVA-3,6,348160,13,0,0,NA,NA,1,2016-12-20T10:45:03.000Z,st_petersburg,2016-12-20T00:00:00.000Z,51,Passenger,St. Petersburg,1
59.95503,30.27146,0,212,511,5,S.PETERSBURG,RU,99,0,MOSKVA-3,6,348160,13,0,0,NA,NA,1,2016-12-20T10:45:04.000Z,st_petersburg,2016-12-20T00:00:00.000Z,51,Passenger,St. Petersburg,1
59.95503,30.27147,0,175,511,9,S.PETERSBURG,RU,99,0,MOSKVA-3,6,348160,13,0,0,NA,NA,1,2016-12-20T10:57:03.000Z,st_petersburg,2016-12-20T00:00:00.000Z,51,Passenger,St. Petersburg,1
59.95503,30.27147,0,175,511,9,S.PETERSBURG,RU,99,0,MOSKVA-3,6,348160,13,0,0,NA,NA,1,2016-12-20T10:57:04.000Z,st_petersburg,2016-12-20T00:00:00.000Z,51,Passenger,St. Petersburg,1
59.95506,30.27141,1,230,511,3,S.PETERSBURG,RU,99,0,MOSKVA-3,6,348160,13,0,0,NA,NA,1,2016-12-20T10:59:03.000Z,st_petersburg,2016-12-20T00:00:00.000Z,51,Passenger,St. Petersburg,1
59.95506,30.27141,1,230,511,3,S.PETERSBURG,RU,99,0,MOSKVA-3,6,348160,13,0,0,NA,NA,1,2016-12-20T10:59:04.000Z,st_petersburg,2016-12-20T00:00:00.000Z,51,Passenger,St. Petersburg,1
59.95506,30.27141,1,230,511,5,S.PETERSBURG,RU,99,0,MOSKVA-3,6,348160,13,0,0,NA,NA,1,2016-12-20T11:01:03.000Z,st_petersburg,2016-12-20T00:00:00.000Z,51,Passenger,St. Petersburg,1
59.95503,30.27147,1,233,511,3,S.PETERSBURG,RU,99,0,MOSKVA-3,6,348160,13,0,0,NA,NA,1,2016-12-20T11:11:03.000Z,st_petersburg,2016-12-20T00:00:00.000Z,51,Passenger,St. Petersburg,1
59.95503,30.27147,1,233,511,2,S.PETERSBURG,RU,99,0,MOSKVA-3,6,348160,13,0,0,NA,NA,1,2016-12-20T11:11:04.000Z,st_petersburg,2016-12-20T00:00:00.000Z,51,Passenger,St. Petersburg,1
