LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
55.6593,21.14373,0,115,341,4,KLAIPED/KHM/KLAIPED,LT,186,0,OPTIMA SEAWAYS,6,353411,25,30,13,7500,116,1,2016-12-14T10:09:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Passenger,Klaipeda,1
55.65929,21.14371,0,115,341,2,KLAIPED/KHM/KLAIPED,LT,186,0,OPTIMA SEAWAYS,6,353411,25,30,13,7500,116,1,2016-12-14T10:11:07.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Passenger,Klaipeda,1
55.65929,21.14371,0,115,341,4,KLAIPED/KHM/KLAIPED,LT,186,0,OPTIMA SEAWAYS,6,353411,25,30,13,7500,116,1,2016-12-14T10:13:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Passenger,Klaipeda,1
55.65929,21.14371,0,115,341,6,KLAIPED/KHM/KLAIPED,LT,186,0,OPTIMA SEAWAYS,6,353411,25,30,13,7500,116,1,2016-12-14T10:15:05.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Passenger,Klaipeda,1
55.65929,21.14371,0,115,341,3,KLAIPED/KHM/KLAIPED,LT,186,0,OPTIMA SEAWAYS,6,353411,25,30,13,7500,116,1,2016-12-14T10:17:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Passenger,Klaipeda,1
55.65929,21.14371,0,115,341,5,KLAIPED/KHM/KLAIPED,LT,186,0,OPTIMA SEAWAYS,6,353411,25,30,13,7500,116,1,2016-12-14T10:19:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Passenger,Klaipeda,1
55.65931,21.14369,0,115,341,3,KLAIPED/KHM/KLAIPED,LT,186,0,OPTIMA SEAWAYS,6,353411,25,30,13,7500,116,1,2016-12-14T10:21:07.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Passenger,Klaipeda,1
55.65931,21.14369,0,115,341,5,KLAIPED/KHM/KLAIPED,LT,186,0,OPTIMA SEAWAYS,6,353411,25,30,13,7500,116,1,2016-12-14T10:23:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Passenger,Klaipeda,1
55.65929,21.1437,0,115,341,2,KLAIPED/KHM/KLAIPED,LT,186,0,OPTIMA SEAWAYS,6,353411,25,30,13,7500,116,1,2016-12-14T10:25:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Passenger,Klaipeda,1
55.65929,21.1437,0,115,341,4,KLAIPED/KHM/KLAIPED,LT,186,0,OPTIMA SEAWAYS,6,353411,25,30,13,7500,116,1,2016-12-14T10:27:06.000Z,klaipeda,2016-12-14T00:00:00.000Z,50,Passenger,Klaipeda,1
