LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.7941,18.68554,178,126,124,2,GDY-KAR-GDY,BS,175,0,STENA SPIRIT,6,373778,30,21,12,4500,116,1,2016-12-15T04:17:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Passenger,Gdańsk,0
54.78801,18.69921,179,127,124,2,GDY-KAR-GDY,BS,175,0,STENA SPIRIT,6,373778,30,21,12,4500,116,1,2016-12-15T04:19:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Passenger,Gdańsk,0
54.78166,18.71349,179,126,124,2,GDY-KAR-GDY,BS,175,0,STENA SPIRIT,6,373778,30,21,12,4500,116,1,2016-12-15T04:21:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Passenger,Gdańsk,0
54.7756,18.727,179,128,123,2,GDY-KAR-GDY,BS,175,0,STENA SPIRIT,6,373778,30,21,12,4500,116,1,2016-12-15T04:23:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Passenger,Gdańsk,0
54.76948,18.74076,180,128,124,2,GDY-KAR-GDY,BS,175,0,STENA SPIRIT,6,373778,30,21,12,4500,116,1,2016-12-15T04:25:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Passenger,Gdańsk,0
54.76337,18.75451,181,126,124,2,GDY-KAR-GDY,BS,175,0,STENA SPIRIT,6,373778,30,21,12,4500,116,1,2016-12-15T04:27:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Passenger,Gdańsk,0
54.75711,18.76857,181,128,124,2,GDY-KAR-GDY,BS,175,0,STENA SPIRIT,6,373778,30,21,12,4500,116,1,2016-12-15T04:29:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Passenger,Gdańsk,0
54.75091,18.78236,180,127,127,2,GDY-KAR-GDY,BS,175,0,STENA SPIRIT,6,373778,30,21,12,4500,116,1,2016-12-15T04:31:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Passenger,Gdańsk,0
54.74459,18.79581,179,129,126,2,GDY-KAR-GDY,BS,175,0,STENA SPIRIT,6,373778,30,21,12,4500,116,1,2016-12-15T04:33:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Passenger,Gdańsk,0
54.73833,18.80925,177,128,126,2,GDY-KAR-GDY,BS,175,0,STENA SPIRIT,6,373778,30,21,12,4500,116,1,2016-12-15T04:35:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Passenger,Gdańsk,0
54.73207,18.82274,179,127,126,2,GDY-KAR-GDY,BS,175,0,STENA SPIRIT,6,373778,30,21,12,4500,116,1,2016-12-15T04:37:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Passenger,Gdańsk,0
54.72564,18.83648,178,129,126,2,GDY-KAR-GDY,BS,175,720,STENA SPIRIT,6,373778,30,21,12,4500,116,1,2016-12-15T04:39:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Passenger,Gdańsk,0
54.7193,18.85014,177,129,126,1,GDY-KAR-GDY,BS,175,0,STENA SPIRIT,6,373778,30,21,12,4500,116,1,2016-12-15T04:41:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Passenger,Gdańsk,0
54.7131,18.86332,178,128,126,2,GDY-KAR-GDY,BS,175,0,STENA SPIRIT,6,373778,30,21,12,4500,116,1,2016-12-15T04:43:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Passenger,Gdańsk,0
54.70698,18.8762,176,127,126,2,GDY-KAR-GDY,BS,175,0,STENA SPIRIT,6,373778,30,21,12,4500,116,1,2016-12-15T04:45:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Passenger,Gdańsk,0
54.70066,18.88939,178,132,130,2,GDY-KAR-GDY,BS,175,0,STENA SPIRIT,6,373778,30,21,12,4500,116,1,2016-12-15T04:47:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Passenger,Gdańsk,0
54.69378,18.90222,178,133,128,2,GDY-KAR-GDY,BS,175,720,STENA SPIRIT,6,373778,30,21,12,4500,116,1,2016-12-15T04:49:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Passenger,Gdańsk,0
54.6869,18.91442,178,139,137,2,GDY-KAR-GDY,BS,175,0,STENA SPIRIT,6,373778,30,21,12,4500,116,1,2016-12-15T04:51:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Passenger,Gdańsk,0
54.67898,18.92476,179,150,148,2,GDY-KAR-GDY,BS,175,720,STENA SPIRIT,6,373778,30,21,12,4500,116,1,2016-12-15T04:53:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Passenger,Gdańsk,0
54.6695,18.92851,176,188,187,2,GDY-KAR-GDY,BS,175,720,STENA SPIRIT,6,373778,30,21,12,4500,116,1,2016-12-15T04:55:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Passenger,Gdańsk,0
54.6605,18.92206,178,205,204,2,GDY-KAR-GDY,BS,175,0,STENA SPIRIT,6,373778,30,21,12,4500,116,1,2016-12-15T04:57:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Passenger,Gdańsk,0
54.65618,18.91879,179,201,200,3,GDY-KAR-GDY,BS,175,0,STENA SPIRIT,6,373778,30,21,12,4500,116,1,2016-12-15T04:59:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Passenger,Gdańsk,0
54.64653,18.91177,181,203,201,3,GDY-KAR-GDY,BS,175,0,STENA SPIRIT,6,373778,30,21,12,4500,116,1,2016-12-15T05:01:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Passenger,Gdańsk,0
54.63731,18.90487,183,203,201,3,GDY-KAR-GDY,BS,175,0,STENA SPIRIT,6,373778,30,21,12,4500,116,1,2016-12-15T05:03:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Passenger,Gdańsk,0
54.62793,18.89804,183,202,201,3,GDY-KAR-GDY,BS,175,0,STENA SPIRIT,6,373778,30,21,12,4500,116,1,2016-12-15T05:05:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Passenger,Gdańsk,0
54.6184,18.89103,185,203,201,2,GDY-KAR-GDY,BS,175,0,STENA SPIRIT,6,373778,30,21,12,4500,116,1,2016-12-15T05:07:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Passenger,Gdańsk,0
54.6089,18.88412,186,202,200,2,GDY-KAR-GDY,BS,175,0,STENA SPIRIT,6,373778,30,21,12,4500,116,1,2016-12-15T05:09:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Passenger,Gdańsk,0
54.5994,18.87733,185,202,201,2,GDY-KAR-GDY,BS,175,0,STENA SPIRIT,6,373778,30,21,12,4500,116,1,2016-12-15T05:11:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Passenger,Gdańsk,0
54.5906,18.86955,171,221,223,2,GDY-KAR-GDY,BS,175,0,STENA SPIRIT,6,373778,30,21,12,4500,116,1,2016-12-15T05:13:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Passenger,Gdańsk,0
54.58355,18.85917,167,219,218,2,GDY-KAR-GDY,BS,175,0,STENA SPIRIT,6,373778,30,21,12,4500,116,1,2016-12-15T05:15:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Passenger,Gdańsk,0
54.57645,18.84883,165,219,218,2,GDY-KAR-GDY,BS,175,0,STENA SPIRIT,6,373778,30,21,12,4500,116,1,2016-12-15T05:17:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Passenger,Gdańsk,0
54.56936,18.83865,167,221,219,2,GDY-KAR-GDY,BS,175,0,STENA SPIRIT,6,373778,30,21,12,4500,116,1,2016-12-15T05:19:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Passenger,Gdańsk,0
54.5624,18.82837,165,219,218,2,GDY-KAR-GDY,BS,175,0,STENA SPIRIT,6,373778,30,21,12,4500,116,1,2016-12-15T05:21:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Passenger,Gdańsk,0
54.55537,18.8182,166,220,218,2,GDY-KAR-GDY,BS,175,0,STENA SPIRIT,6,373778,30,21,12,4500,116,1,2016-12-15T05:23:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Passenger,Gdańsk,0
54.5484,18.80783,166,221,218,2,GDY-KAR-GDY,BS,175,0,STENA SPIRIT,6,373778,30,21,12,4500,116,1,2016-12-15T05:25:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Passenger,Gdańsk,0
54.54279,18.79605,162,246,245,2,GDY-KAR-GDY,BS,175,720,STENA SPIRIT,6,373778,30,21,12,4500,116,1,2016-12-15T05:27:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Passenger,Gdańsk,0
54.54006,18.78157,162,254,253,2,GDY-KAR-GDY,BS,175,720,STENA SPIRIT,6,373778,30,21,12,4500,116,1,2016-12-15T05:29:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Passenger,Gdańsk,0
54.53942,18.76521,162,268,267,2,GDY-KAR-GDY,BS,175,0,STENA SPIRIT,6,373778,30,21,12,4500,116,1,2016-12-15T05:31:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Passenger,Gdańsk,0
54.53888,18.74977,163,266,266,2,GDY-KAR-GDY,BS,175,0,STENA SPIRIT,6,373778,30,21,12,4500,116,1,2016-12-15T05:33:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Passenger,Gdańsk,0
54.53833,18.7344,162,266,266,2,GDY-KAR-GDY,BS,175,0,STENA SPIRIT,6,373778,30,21,12,4500,116,1,2016-12-15T05:35:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Passenger,Gdańsk,0
54.53772,18.71891,163,266,266,2,GDY-KAR-GDY,BS,175,0,STENA SPIRIT,6,373778,30,21,12,4500,116,1,2016-12-15T05:37:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Passenger,Gdańsk,0
54.5371,18.7032,164,265,265,2,GDY-KAR-GDY,BS,175,0,STENA SPIRIT,6,373778,30,21,12,4500,116,1,2016-12-15T05:39:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Passenger,Gdańsk,0
54.53647,18.68764,163,265,265,2,GDY-KAR-GDY,BS,175,0,STENA SPIRIT,6,373778,30,21,12,4500,116,1,2016-12-15T05:41:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Passenger,Gdańsk,0
54.53599,18.6715,161,267,267,2,GDY-KAR-GDY,BS,175,0,STENA SPIRIT,6,373778,30,21,12,4500,116,1,2016-12-15T05:43:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Passenger,Gdańsk,0
54.53557,18.65617,160,268,269,2,GDY-KAR-GDY,BS,175,0,STENA SPIRIT,6,373778,30,21,12,4500,116,1,2016-12-15T05:45:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Passenger,Gdańsk,0
54.5353,18.64103,155,267,268,2,GDY-KAR-GDY,BS,175,0,STENA SPIRIT,6,373778,30,21,12,4500,116,1,2016-12-15T05:47:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Passenger,Gdańsk,0
54.53514,18.63387,146,267,268,3,GDY-KAR-GDY,BS,175,0,STENA SPIRIT,6,373778,30,21,12,4500,116,1,2016-12-15T05:49:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Passenger,Gdańsk,0
54.53477,18.61363,138,270,272,2,GDY-KAR-GDY,BS,175,0,STENA SPIRIT,6,373778,30,21,12,4500,116,1,2016-12-15T05:51:01.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Passenger,Gdańsk,0
54.53492,18.6004,138,271,272,2,GDY-KAR-GDY,BS,175,0,STENA SPIRIT,6,373778,30,21,12,4500,116,1,2016-12-15T05:53:04.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Passenger,Gdańsk,0
54.53511,18.60083,143,92,91,2,GDY-KAR-GDY,BS,175,0,STENA SPIRIT,6,373778,30,21,12,4500,116,1,2016-12-15T08:19:02.000Z,gdansk,2016-12-15T00:00:00.000Z,50,Passenger,Gdańsk,0
