LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.36517,18.66385,0,180,188,2,TALLINN,EE,114,0,TOLL,6,4633113,20,57,10,NA,NA,1,2016-12-13T11:21:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Passenger,Gdańsk,1
54.36517,18.66385,0,333,186,3,TALLINN,EE,114,0,TOLL,6,4633113,20,53,13,NA,NA,1,2016-12-13T11:31:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Passenger,Gdańsk,1
54.36517,18.66385,0,257,186,2,TALLINN,EE,114,0,TOLL,6,4633113,20,57,10,NA,NA,1,2016-12-13T11:33:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Passenger,Gdańsk,1
54.36517,18.66385,0,257,186,4,TALLINN,EE,114,0,TOLL,6,4633113,20,57,10,NA,NA,1,2016-12-13T11:35:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Passenger,Gdańsk,1
54.36517,18.66385,0,270,186,3,TALLINN,EE,114,0,TOLL,6,4633113,20,57,10,NA,NA,1,2016-12-13T11:37:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Passenger,Gdańsk,1
54.36517,18.66387,0,225,186,2,TALLINN,EE,114,0,TOLL,6,4633113,20,57,10,NA,NA,1,2016-12-13T11:39:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Passenger,Gdańsk,1
54.36517,18.66387,0,225,186,4,TALLINN,EE,114,0,TOLL,6,4633113,20,57,10,NA,NA,1,2016-12-13T11:41:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Passenger,Gdańsk,1
54.36517,18.66387,0,263,186,2,TALLINN,EE,114,0,TOLL,6,4633113,20,57,10,NA,NA,1,2016-12-13T11:43:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Passenger,Gdańsk,1
54.36517,18.66387,0,263,186,4,TALLINN,EE,114,0,TOLL,6,4633113,20,57,10,NA,NA,1,2016-12-13T11:45:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Passenger,Gdańsk,1
54.36517,18.66387,0,346,186,4,TALLINN,EE,114,0,TOLL,6,4633113,20,57,10,NA,NA,1,2016-12-13T11:47:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Passenger,Gdańsk,1
54.36517,18.66385,0,15,185,3,TALLINN,EE,114,0,TOLL,6,4633113,20,57,10,NA,NA,1,2016-12-13T11:49:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Passenger,Gdańsk,1
54.36515,18.66385,0,66,187,2,TALLINN,EE,114,0,TOLL,6,4633113,20,57,10,NA,NA,1,2016-12-13T11:51:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Passenger,Gdańsk,1
54.36515,18.66385,0,66,187,4,TALLINN,EE,114,0,TOLL,6,4633113,20,57,10,NA,NA,1,2016-12-13T11:53:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Passenger,Gdańsk,1
54.36515,18.66385,0,66,187,4,TALLINN,EE,114,0,TOLL,6,4633113,20,57,10,NA,NA,1,2016-12-13T11:55:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Passenger,Gdańsk,1
54.36517,18.66385,0,112,186,2,TALLINN,EE,114,0,TOLL,6,4633113,20,57,10,NA,NA,1,2016-12-13T11:57:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Passenger,Gdańsk,1
54.36517,18.66385,0,112,186,3,TALLINN,EE,114,0,TOLL,6,4633113,20,57,10,NA,NA,1,2016-12-13T11:59:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Passenger,Gdańsk,1
54.36515,18.66387,0,173,186,2,TALLINN,EE,114,0,TOLL,6,4633113,20,57,10,NA,NA,1,2016-12-13T12:01:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Passenger,Gdańsk,1
54.36515,18.66387,0,77,185,2,TALLINN,EE,114,0,TOLL,6,4633113,20,57,10,NA,NA,1,2016-12-13T12:03:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Passenger,Gdańsk,1
54.36515,18.66387,0,77,185,4,TALLINN,EE,114,0,TOLL,6,4633113,20,57,10,NA,NA,1,2016-12-13T12:05:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Passenger,Gdańsk,1
54.36515,18.66387,0,77,185,6,TALLINN,EE,114,0,TOLL,6,4633113,20,57,10,NA,NA,1,2016-12-13T12:07:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Passenger,Gdańsk,1
54.36515,18.66387,0,77,185,7,TALLINN,EE,114,0,TOLL,6,4633113,20,57,10,NA,NA,1,2016-12-13T12:09:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Passenger,Gdańsk,1
54.36515,18.66387,0,77,185,10,TALLINN,EE,114,0,TOLL,6,4633113,20,57,10,NA,NA,1,2016-12-13T12:11:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Passenger,Gdańsk,1
54.36515,18.66387,0,77,185,12,TALLINN,EE,114,0,TOLL,6,4633113,20,57,10,NA,NA,1,2016-12-13T12:13:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Passenger,Gdańsk,1
54.36522,18.66389,0,229,511,3,TALLINN,EE,114,0,TOLL,6,4633113,20,53,13,NA,NA,1,2016-12-13T12:15:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Passenger,Gdańsk,1
54.36517,18.66378,1,334,511,2,TALLINN,EE,114,0,TOLL,6,4633113,20,53,13,NA,NA,1,2016-12-13T12:17:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Passenger,Gdańsk,1
54.36517,18.66378,1,334,511,4,TALLINN,EE,114,0,TOLL,6,4633113,20,53,13,NA,NA,1,2016-12-13T12:19:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Passenger,Gdańsk,1
54.36517,18.66378,0,314,511,3,TALLINN,EE,112,0,TOLL,6,4633113,18,56,9,NA,NA,1,2016-12-13T12:21:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Passenger,Gdańsk,1
54.36517,18.66378,0,314,511,5,TALLINN,EE,114,0,TOLL,6,4633113,20,53,13,NA,NA,1,2016-12-13T12:23:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Passenger,Gdańsk,1
54.36517,18.66378,0,314,511,7,TALLINN,EE,114,0,TOLL,6,4633113,20,53,13,NA,NA,1,2016-12-13T12:25:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Passenger,Gdańsk,1
54.36515,18.66378,0,2,511,3,TALLINN,EE,112,0,TOLL,6,4633113,18,56,9,NA,NA,1,2016-12-13T12:27:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Passenger,Gdańsk,1
54.36515,18.66378,0,111,511,2,TALLINN,EE,112,0,TOLL,6,4633113,18,56,9,NA,NA,1,2016-12-13T12:29:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Passenger,Gdańsk,1
54.36515,18.66378,0,111,511,4,TALLINN,EE,112,0,TOLL,6,4633113,18,56,9,NA,NA,1,2016-12-13T12:31:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Passenger,Gdańsk,1
54.36515,18.66378,0,308,511,3,TALLINN,EE,112,0,TOLL,6,4633113,18,56,9,NA,NA,1,2016-12-13T12:33:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Passenger,Gdańsk,1
54.36515,18.66378,0,161,511,2,TALLINN,EE,112,0,TOLL,6,4633113,18,56,9,NA,NA,1,2016-12-13T12:35:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Passenger,Gdańsk,1
54.36515,18.66378,0,161,511,4,TALLINN,EE,112,0,TOLL,6,4633113,18,56,9,NA,NA,1,2016-12-13T12:37:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Passenger,Gdańsk,1
54.36515,18.66378,1,244,511,3,TALLINN,EE,112,0,TOLL,6,4633113,18,56,9,NA,NA,1,2016-12-13T12:39:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Passenger,Gdańsk,1
54.36515,18.66377,0,54,511,2,TALLINN,EE,112,0,TOLL,6,4633113,18,56,9,NA,NA,1,2016-12-13T12:41:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Passenger,Gdańsk,1
54.36515,18.66377,0,54,511,4,TALLINN,EE,112,0,TOLL,6,4633113,18,56,9,NA,NA,1,2016-12-13T12:43:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Passenger,Gdańsk,1
54.36517,18.66378,0,162,511,3,TALLINN,EE,112,0,TOLL,6,4633113,18,56,9,NA,NA,1,2016-12-13T12:45:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Passenger,Gdańsk,1
54.36517,18.66378,0,162,511,5,TALLINN,EE,112,0,TOLL,6,4633113,18,56,9,NA,NA,1,2016-12-13T12:47:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Passenger,Gdańsk,1
54.36517,18.66378,0,162,511,5,TALLINN,EE,112,0,TOLL,6,4633113,18,56,9,NA,NA,1,2016-12-13T12:49:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Passenger,Gdańsk,1
54.36515,18.66378,0,345,511,3,TALLINN,EE,112,0,TOLL,6,4633113,18,56,9,NA,NA,1,2016-12-13T12:51:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Passenger,Gdańsk,1
54.36515,18.66378,0,345,511,5,TALLINN,EE,112,0,TOLL,6,4633113,18,56,9,NA,NA,1,2016-12-13T12:53:01.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Passenger,Gdańsk,1
54.36515,18.66378,0,345,511,7,TALLINN,EE,112,0,TOLL,6,4633113,18,56,9,NA,NA,1,2016-12-13T12:55:02.000Z,gdansk,2016-12-13T00:00:00.000Z,50,Passenger,Gdańsk,1
