LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.69191,20.24599,0,0,511,2,CLASS B,RU,10,NA,JOKER,9,3110501,3,8,2,NA,NA,1,2016-12-15T08:27:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Pleasure,Kalingrad,1
54.69191,20.24599,0,0,511,4,CLASS B,RU,10,NA,JOKER,9,3110501,3,8,2,NA,NA,1,2016-12-15T08:29:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Pleasure,Kalingrad,1
54.69191,20.24599,0,0,511,6,CLASS B,RU,10,NA,JOKER,9,3110501,3,8,2,NA,NA,1,2016-12-15T08:31:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Pleasure,Kalingrad,1
54.69191,20.24596,0,0,511,2,CLASS B,RU,10,NA,JOKER,9,3110501,3,8,2,NA,NA,1,2016-12-15T08:33:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Pleasure,Kalingrad,1
54.69191,20.24596,0,0,511,4,CLASS B,RU,10,NA,JOKER,9,3110501,3,8,2,NA,NA,1,2016-12-15T08:35:02.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Pleasure,Kalingrad,1
54.69191,20.24596,0,0,511,6,CLASS B,RU,10,NA,JOKER,9,3110501,3,8,2,NA,NA,1,2016-12-15T08:37:02.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Pleasure,Kalingrad,1
54.69191,20.24596,0,0,511,8,CLASS B,RU,10,NA,JOKER,9,3110501,3,8,2,NA,NA,1,2016-12-15T08:39:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Pleasure,Kalingrad,1
54.69191,20.24596,0,0,511,10,CLASS B,RU,10,NA,JOKER,9,3110501,3,8,2,NA,NA,1,2016-12-15T08:41:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Pleasure,Kalingrad,1
54.69191,20.24596,0,0,511,12,CLASS B,RU,10,NA,JOKER,9,3110501,3,8,2,NA,NA,1,2016-12-15T08:43:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Pleasure,Kalingrad,1
54.6919,20.24596,0,0,511,2,CLASS B,RU,10,NA,JOKER,9,3110501,3,8,2,NA,NA,1,2016-12-15T08:45:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Pleasure,Kalingrad,1
54.6919,20.24596,0,0,511,4,CLASS B,RU,10,NA,JOKER,9,3110501,3,8,2,NA,NA,1,2016-12-15T08:47:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Pleasure,Kalingrad,1
54.6919,20.24596,0,0,511,6,CLASS B,RU,10,NA,JOKER,9,3110501,3,8,2,NA,NA,1,2016-12-15T08:49:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Pleasure,Kalingrad,1
54.6919,20.24597,0,0,511,2,CLASS B,RU,10,NA,JOKER,9,3110501,3,8,2,NA,NA,1,2016-12-15T08:51:03.000Z,kalingrad,2016-12-15T00:00:00.000Z,50,Pleasure,Kalingrad,1
