LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.79799,18.68594,62,243,511,2,CLASS B,PL,10,NA,CHA-10,9,316153,4,3,2,NA,NA,1,2016-12-19T04:19:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Pleasure,Gdańsk,0
54.79688,18.68049,59,254,511,2,CLASS B,PL,10,NA,CHA-10,9,316153,4,3,2,NA,NA,1,2016-12-19T04:21:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Pleasure,Gdańsk,0
54.79633,18.6778,61,264,511,3,CLASS B,PL,10,NA,CHA-10,9,316153,4,3,2,NA,NA,1,2016-12-19T04:23:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Pleasure,Gdańsk,0
54.79571,18.67044,58,260,511,3,CLASS B,PL,10,NA,CHA-10,9,316153,4,3,2,NA,NA,1,2016-12-19T04:25:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Pleasure,Gdańsk,0
54.79521,18.663,67,264,511,2,CLASS B,PL,10,NA,CHA-10,9,316153,4,3,2,NA,NA,1,2016-12-19T04:27:01.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Pleasure,Gdańsk,0
54.79502,18.66003,60,272,511,3,CLASS B,PL,10,NA,CHA-10,9,316153,4,3,2,NA,NA,1,2016-12-19T04:29:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Pleasure,Gdańsk,0
54.79502,18.66003,60,272,511,3,CLASS B,PL,10,NA,CHA-10,9,316153,4,3,2,NA,NA,1,2016-12-19T04:31:01.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Pleasure,Gdańsk,0
54.79405,18.64511,71,261,511,2,CLASS B,PL,10,NA,CHA-10,9,316153,4,3,2,NA,NA,1,2016-12-19T04:33:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Pleasure,Gdańsk,0
54.79352,18.63773,67,265,511,1,CLASS B,PL,10,NA,CHA-10,9,316153,4,3,2,NA,NA,1,2016-12-19T04:35:01.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Pleasure,Gdańsk,0
54.79308,18.63182,66,267,511,2,CLASS B,PL,10,NA,CHA-10,9,316153,4,3,2,NA,NA,1,2016-12-19T04:37:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Pleasure,Gdańsk,0
