LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.35774,18.77925,0,17,511,2,CLASS B,PL,13,NA,FILIPPO,9,316312,4,12,0,NA,NA,1,2016-12-19T08:29:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Pleasure,Gdańsk,1
54.35782,18.77942,6,188,511,2,CLASS B,PL,13,NA,FILIPPO,9,316312,4,12,0,NA,NA,1,2016-12-19T08:31:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Pleasure,Gdańsk,0
54.35782,18.77942,6,188,511,3,CLASS B,PL,13,NA,FILIPPO,9,316312,4,12,0,NA,NA,1,2016-12-19T08:33:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Pleasure,Gdańsk,0
54.35801,18.77933,4,88,511,4,CLASS B,PL,13,NA,FILIPPO,9,316312,4,12,0,NA,NA,1,2016-12-19T08:35:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Pleasure,Gdańsk,1
54.35801,18.77933,4,88,511,6,CLASS B,PL,13,NA,FILIPPO,9,316312,4,12,0,NA,NA,1,2016-12-19T08:37:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Pleasure,Gdańsk,1
54.35787,18.7792,1,314,511,2,CLASS B,PL,13,NA,FILIPPO,9,316312,4,12,0,NA,NA,1,2016-12-19T08:39:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Pleasure,Gdańsk,1
54.35787,18.7792,1,314,511,2,CLASS B,PL,13,NA,FILIPPO,9,316312,4,12,0,NA,NA,1,2016-12-19T08:41:01.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Pleasure,Gdańsk,1
54.35781,18.77933,0,180,511,2,CLASS B,PL,13,NA,FILIPPO,9,316312,4,12,0,NA,NA,1,2016-12-19T08:43:01.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Pleasure,Gdańsk,1
54.35781,18.77933,0,180,511,4,CLASS B,PL,13,NA,FILIPPO,9,316312,4,12,0,NA,NA,1,2016-12-19T08:45:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Pleasure,Gdańsk,1
54.3579,18.77937,0,0,511,4,CLASS B,PL,13,NA,FILIPPO,9,316312,4,12,0,NA,NA,1,2016-12-19T08:47:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Pleasure,Gdańsk,1
54.35793,18.77935,0,214,511,1,CLASS B,PL,13,NA,FILIPPO,9,316312,4,12,0,NA,NA,1,2016-12-19T08:49:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Pleasure,Gdańsk,1
54.35787,18.77936,0,189,511,2,CLASS B,PL,13,NA,FILIPPO,9,316312,4,12,0,NA,NA,1,2016-12-19T08:51:02.000Z,gdansk,2016-12-19T00:00:00.000Z,51,Pleasure,Gdańsk,1
