LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.69583,18.67625,0,0,511,3,CLASS B,PL,30,NA,"KM ,TAN BORCHARDT",9,316404,7,27,1,NA,NA,1,2016-12-18T18:45:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Pleasure,Gdańsk,1
54.69584,18.6762,0,0,511,2,CLASS B,PL,30,NA,"KM ,TAN BORCHARDT",9,316404,7,27,1,NA,NA,1,2016-12-18T18:47:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Pleasure,Gdańsk,1
54.69584,18.6762,0,0,511,4,CLASS B,PL,30,NA,"KM ,TAN BORCHARDT",9,316404,7,27,1,NA,NA,1,2016-12-18T18:49:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Pleasure,Gdańsk,1
54.69581,18.6762,0,0,511,3,CLASS B,PL,30,NA,"KM ,TAN BORCHARDT",9,316404,7,27,1,NA,NA,1,2016-12-18T18:51:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Pleasure,Gdańsk,1
54.69584,18.6762,0,0,511,2,CLASS B,PL,30,NA,"KM ,TAN BORCHARDT",9,316404,7,27,1,NA,NA,1,2016-12-18T18:53:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Pleasure,Gdańsk,1
54.69584,18.6762,0,0,511,4,CLASS B,PL,30,NA,"KM ,TAN BORCHARDT",9,316404,7,27,1,NA,NA,1,2016-12-18T18:55:02.000Z,gdansk,2016-12-18T00:00:00.000Z,51,Pleasure,Gdańsk,1
54.69583,18.67625,0,0,511,3,CLASS B,PL,30,NA,"KM ,TAN BORCHARDT",9,316404,7,27,1,NA,NA,1,2016-12-18T18:45:07.000Z,gdynia,2016-12-18T00:00:00.000Z,51,Pleasure,Gdynia,1
54.69583,18.67625,0,0,511,3,CLASS B,PL,30,NA,"KM ,TAN BORCHARDT",9,316404,7,27,1,NA,NA,1,2016-12-18T18:47:06.000Z,gdynia,2016-12-18T00:00:00.000Z,51,Pleasure,Gdynia,1
54.69584,18.6762,0,0,511,4,CLASS B,PL,30,NA,"KM ,TAN BORCHARDT",9,316404,7,27,1,NA,NA,1,2016-12-18T18:49:07.000Z,gdynia,2016-12-18T00:00:00.000Z,51,Pleasure,Gdynia,1
54.69581,18.6762,0,0,511,3,CLASS B,PL,30,NA,"KM ,TAN BORCHARDT",9,316404,7,27,1,NA,NA,1,2016-12-18T18:51:07.000Z,gdynia,2016-12-18T00:00:00.000Z,51,Pleasure,Gdynia,1
54.69584,18.6762,0,0,511,2,CLASS B,PL,30,NA,"KM ,TAN BORCHARDT",9,316404,7,27,1,NA,NA,1,2016-12-18T18:53:07.000Z,gdynia,2016-12-18T00:00:00.000Z,51,Pleasure,Gdynia,1
54.69584,18.6762,0,0,511,4,CLASS B,PL,30,NA,"KM ,TAN BORCHARDT",9,316404,7,27,1,NA,NA,1,2016-12-18T18:55:07.000Z,gdynia,2016-12-18T00:00:00.000Z,51,Pleasure,Gdynia,1
