LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
54.51921,18.55858,0,271,511,3,GDYNIA PL,PL,94,0,DAR MLODZIEZY,9,316664,14,61,7,667,51,1,2016-12-13T11:31:08.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Pleasure,Gdynia,1
54.5192,18.55858,0,292,511,2,GDYNIA PL,PL,94,0,DAR MLODZIEZY,9,316664,14,61,7,667,51,1,2016-12-13T11:33:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Pleasure,Gdynia,1
54.5192,18.55858,0,292,511,4,GDYNIA PL,PL,94,0,DAR MLODZIEZY,9,316664,14,61,7,667,51,1,2016-12-13T11:35:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Pleasure,Gdynia,1
54.5192,18.55858,0,300,511,3,GDYNIA PL,PL,94,0,DAR MLODZIEZY,9,316664,14,61,7,667,51,1,2016-12-13T11:37:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Pleasure,Gdynia,1
54.51921,18.55858,0,69,511,2,GDYNIA PL,PL,94,0,DAR MLODZIEZY,9,316664,14,61,7,667,51,1,2016-12-13T11:39:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Pleasure,Gdynia,1
54.51921,18.55858,0,69,511,4,GDYNIA PL,PL,94,0,DAR MLODZIEZY,9,316664,14,61,7,667,51,1,2016-12-13T11:41:08.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Pleasure,Gdynia,1
54.51921,18.55858,0,357,511,3,GDYNIA PL,PL,94,0,DAR MLODZIEZY,9,316664,14,61,7,667,51,1,2016-12-13T11:43:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Pleasure,Gdynia,1
54.51921,18.55859,0,142,511,2,GDYNIA PL,PL,94,0,DAR MLODZIEZY,9,316664,14,61,7,667,51,1,2016-12-13T11:45:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Pleasure,Gdynia,1
54.51921,18.55859,0,142,511,4,GDYNIA PL,PL,94,0,DAR MLODZIEZY,9,316664,14,61,7,667,51,1,2016-12-13T11:47:08.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Pleasure,Gdynia,1
54.51921,18.55857,0,92,511,3,GDYNIA PL,PL,94,0,DAR MLODZIEZY,9,316664,14,61,7,667,51,1,2016-12-13T11:49:08.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Pleasure,Gdynia,1
54.51921,18.55856,1,263,511,2,GDYNIA PL,PL,94,0,DAR MLODZIEZY,9,316664,14,61,7,667,51,1,2016-12-13T11:51:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Pleasure,Gdynia,1
54.51921,18.55856,1,263,511,4,GDYNIA PL,PL,94,0,DAR MLODZIEZY,9,316664,14,61,7,667,51,1,2016-12-13T11:53:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Pleasure,Gdynia,1
54.51921,18.55856,0,74,511,3,GDYNIA PL,PL,94,0,DAR MLODZIEZY,9,316664,14,61,7,667,51,1,2016-12-13T11:55:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Pleasure,Gdynia,1
54.51921,18.55857,0,337,511,2,GDYNIA PL,PL,94,0,DAR MLODZIEZY,9,316664,14,61,7,667,51,1,2016-12-13T11:57:08.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Pleasure,Gdynia,1
54.51921,18.55857,0,337,511,4,GDYNIA PL,PL,94,0,DAR MLODZIEZY,9,316664,14,61,7,667,51,1,2016-12-13T11:59:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Pleasure,Gdynia,1
54.51921,18.55856,0,323,511,3,GDYNIA PL,PL,94,0,DAR MLODZIEZY,9,316664,14,61,7,667,51,1,2016-12-13T12:01:08.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Pleasure,Gdynia,1
54.51921,18.55857,1,344,511,2,GDYNIA PL,PL,94,0,DAR MLODZIEZY,9,316664,14,61,7,667,51,1,2016-12-13T12:03:07.000Z,gdynia,2016-12-13T00:00:00.000Z,50,Pleasure,Gdynia,1
