LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.70641,11.95841,0,291,511,2,GBG VINGA GBG,SE,29,0,WALONA,9,320210,8,4,4,0,55,0,2016-12-13T11:31:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.70641,11.95841,0,291,511,2,GBG VINGA GBG,SE,29,0,WALONA,9,320210,8,4,4,0,55,0,2016-12-13T11:31:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.70641,11.95841,0,291,511,3,GBG VINGA GBG,SE,29,0,WALONA,9,320210,8,4,4,0,55,0,2016-12-13T11:33:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.70641,11.95841,0,291,511,4,GBG VINGA GBG,SE,29,0,WALONA,9,320210,8,4,4,0,55,0,2016-12-13T11:33:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.7064,11.95836,0,291,511,2,GBG VINGA GBG,SE,29,0,WALONA,9,320210,8,4,4,0,55,0,2016-12-13T11:35:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.7064,11.95836,0,291,511,2,GBG VINGA GBG,SE,29,0,WALONA,9,320210,8,4,4,0,55,0,2016-12-13T11:35:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.7064,11.95836,0,291,511,4,GBG VINGA GBG,SE,29,0,WALONA,9,320210,8,4,4,0,55,0,2016-12-13T11:37:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.7064,11.95836,0,291,511,4,GBG VINGA GBG,SE,29,0,WALONA,9,320210,8,4,4,0,55,0,2016-12-13T11:37:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.70646,11.95838,0,291,511,2,GBG VINGA GBG,SE,29,0,WALONA,9,320210,8,4,4,0,55,0,2016-12-13T11:39:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.70646,11.95838,0,291,511,2,GBG VINGA GBG,SE,29,0,WALONA,9,320210,8,4,4,0,55,0,2016-12-13T11:39:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.70646,11.95838,0,291,511,4,GBG VINGA GBG,SE,29,0,WALONA,9,320210,8,4,4,0,55,0,2016-12-13T11:41:06.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.70646,11.95838,0,291,511,4,GBG VINGA GBG,SE,29,0,WALONA,9,320210,8,4,4,0,55,0,2016-12-13T11:41:09.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.70645,11.95838,1,291,511,2,GBG VINGA GBG,SE,29,0,WALONA,9,320210,8,4,4,0,55,0,2016-12-13T11:43:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.70645,11.95838,1,291,511,2,GBG VINGA GBG,SE,29,0,WALONA,9,320210,8,4,4,0,55,0,2016-12-13T11:43:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.70645,11.95838,1,291,511,4,GBG VINGA GBG,SE,29,0,WALONA,9,320210,8,4,4,0,55,0,2016-12-13T11:45:05.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
57.70645,11.95838,1,291,511,4,GBG VINGA GBG,SE,29,0,WALONA,9,320210,8,4,4,0,55,0,2016-12-13T11:45:08.000Z,gothenborg,2016-12-13T00:00:00.000Z,50,Pleasure,gothenborg,1
