LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.60063,11.79214,40,131,511,3,CLASS B,SE,10,NA,FLORO/HAMBURGSUND,9,324125,4,6,2,NA,NA,1,2016-12-18T12:01:06.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Pleasure,gothenborg,0
57.60063,11.79214,40,131,511,3,CLASS B,SE,10,NA,FLORO/HAMBURGSUND,9,324125,4,6,2,NA,NA,1,2016-12-18T12:03:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Pleasure,gothenborg,0
57.60022,11.79387,0,0,511,3,CLASS B,SE,10,NA,FLORO/HAMBURGSUND,9,324125,4,6,2,NA,NA,0,2016-12-18T12:05:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Pleasure,gothenborg,1
57.60022,11.79387,0,0,511,5,CLASS B,SE,10,NA,FLORO/HAMBURGSUND,9,324125,4,6,2,NA,NA,0,2016-12-18T12:07:06.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Pleasure,gothenborg,1
57.60022,11.79387,0,0,511,5,CLASS B,SE,10,NA,FLORO/HAMBURGSUND,9,324125,4,6,2,NA,NA,0,2016-12-18T12:09:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Pleasure,gothenborg,1
57.60021,11.79387,0,0,511,2,CLASS B,SE,10,NA,FLORO/HAMBURGSUND,9,324125,4,6,2,NA,NA,0,2016-12-18T12:11:06.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Pleasure,gothenborg,1
57.60021,11.79387,0,0,511,4,CLASS B,SE,10,NA,FLORO/HAMBURGSUND,9,324125,4,6,2,NA,NA,0,2016-12-18T12:13:06.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Pleasure,gothenborg,1
57.60025,11.79385,0,282,511,3,CLASS B,SE,10,NA,FLORO/HAMBURGSUND,9,324125,4,6,2,NA,NA,0,2016-12-18T12:15:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Pleasure,gothenborg,1
57.6002,11.79385,0,0,511,2,CLASS B,SE,10,NA,FLORO/HAMBURGSUND,9,324125,4,6,2,NA,NA,0,2016-12-18T12:17:06.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Pleasure,gothenborg,1
57.6002,11.79385,0,0,511,4,CLASS B,SE,10,NA,FLORO/HAMBURGSUND,9,324125,4,6,2,NA,NA,0,2016-12-18T12:19:06.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Pleasure,gothenborg,1
57.6002,11.79385,0,0,511,6,CLASS B,SE,10,NA,FLORO/HAMBURGSUND,9,324125,4,6,2,NA,NA,0,2016-12-18T12:21:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Pleasure,gothenborg,1
57.60023,11.79387,0,0,511,2,CLASS B,SE,10,NA,FLORO/HAMBURGSUND,9,324125,4,6,2,NA,NA,0,2016-12-18T12:23:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Pleasure,gothenborg,1
57.60023,11.79387,0,0,511,4,CLASS B,SE,10,NA,FLORO/HAMBURGSUND,9,324125,4,6,2,NA,NA,0,2016-12-18T12:25:06.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Pleasure,gothenborg,1
57.60023,11.79387,0,0,511,4,CLASS B,SE,10,NA,FLORO/HAMBURGSUND,9,324125,4,6,2,NA,NA,0,2016-12-18T12:27:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Pleasure,gothenborg,1
57.60023,11.7939,0,0,511,2,CLASS B,SE,10,NA,FLORO/HAMBURGSUND,9,324125,4,6,2,NA,NA,0,2016-12-18T12:29:06.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Pleasure,gothenborg,1
57.60023,11.7939,0,0,511,4,CLASS B,SE,10,NA,FLORO/HAMBURGSUND,9,324125,4,6,2,NA,NA,0,2016-12-18T12:31:06.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Pleasure,gothenborg,1
57.60023,11.7939,0,0,511,4,CLASS B,SE,10,NA,FLORO/HAMBURGSUND,9,324125,4,6,2,NA,NA,0,2016-12-18T12:33:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Pleasure,gothenborg,1
57.60023,11.7939,0,0,511,7,CLASS B,SE,10,NA,FLORO/HAMBURGSUND,9,324125,4,6,2,NA,NA,0,2016-12-18T12:35:06.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Pleasure,gothenborg,1
57.60022,11.79386,0,283,511,4,CLASS B,SE,10,NA,FLORO/HAMBURGSUND,9,324125,4,6,2,NA,NA,0,2016-12-18T12:37:05.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Pleasure,gothenborg,1
57.60041,11.79253,42,347,511,2,CLASS B,SE,10,NA,FLORO/HAMBURGSUND,9,324125,4,6,2,NA,NA,1,2016-12-18T12:39:06.000Z,gothenborg,2016-12-18T00:00:00.000Z,51,Pleasure,gothenborg,0
