LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,LEGEND,DATETIME,PORT20,date,week_nb,ship_type,port24,is_parked
57.61967,11.82496,61,345,511,94,CLASS B,SE,8,NA,LOUISE,9,324603,3,3,2,NA,NA,1,2016-12-14T10:09:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,0
57.61967,11.82496,61,345,511,94,CLASS B,SE,8,NA,LOUISE,9,324603,3,3,2,NA,NA,1,2016-12-14T10:09:08.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,0
57.61967,11.82496,61,345,511,96,CLASS B,SE,8,NA,LOUISE,9,324603,3,3,2,NA,NA,1,2016-12-14T10:11:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,0
57.61967,11.82496,61,345,511,96,CLASS B,SE,8,NA,LOUISE,9,324603,3,3,2,NA,NA,1,2016-12-14T10:11:09.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,0
57.61967,11.82496,61,345,511,98,CLASS B,SE,8,NA,LOUISE,9,324603,3,3,2,NA,NA,1,2016-12-14T10:13:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,0
57.61967,11.82496,61,345,511,98,CLASS B,SE,8,NA,LOUISE,9,324603,3,3,2,NA,NA,1,2016-12-14T10:13:08.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,0
57.61967,11.82496,61,345,511,99,CLASS B,SE,8,NA,LOUISE,9,324603,3,3,2,NA,NA,1,2016-12-14T10:15:04.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,0
57.61967,11.82496,61,345,511,100,CLASS B,SE,8,NA,LOUISE,9,324603,3,3,2,NA,NA,1,2016-12-14T10:15:07.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,0
57.61967,11.82496,61,345,511,102,CLASS B,SE,8,NA,LOUISE,9,324603,3,3,2,NA,NA,1,2016-12-14T10:17:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,0
57.61967,11.82496,61,345,511,102,CLASS B,SE,8,NA,LOUISE,9,324603,3,3,2,NA,NA,1,2016-12-14T10:17:08.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,0
57.61967,11.82496,61,345,511,102,CLASS B,SE,8,NA,LOUISE,9,324603,3,3,2,NA,NA,1,2016-12-14T10:19:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,0
57.61967,11.82496,61,345,511,104,CLASS B,SE,8,NA,LOUISE,9,324603,3,3,2,NA,NA,1,2016-12-14T10:19:08.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,0
57.61967,11.82496,61,345,511,106,CLASS B,SE,8,NA,LOUISE,9,324603,3,3,2,NA,NA,1,2016-12-14T10:21:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,0
57.61967,11.82496,61,345,511,106,CLASS B,SE,8,NA,LOUISE,9,324603,3,3,2,NA,NA,1,2016-12-14T10:21:09.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,0
57.61967,11.82496,61,345,511,108,CLASS B,SE,8,NA,LOUISE,9,324603,3,3,2,NA,NA,1,2016-12-14T10:23:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,0
57.61967,11.82496,61,345,511,108,CLASS B,SE,8,NA,LOUISE,9,324603,3,3,2,NA,NA,1,2016-12-14T10:23:07.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,0
57.61967,11.82496,61,345,511,110,CLASS B,SE,8,NA,LOUISE,9,324603,3,3,2,NA,NA,1,2016-12-14T10:25:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,0
57.61967,11.82496,61,345,511,110,CLASS B,SE,8,NA,LOUISE,9,324603,3,3,2,NA,NA,1,2016-12-14T10:25:07.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,0
57.61967,11.82496,61,345,511,112,CLASS B,SE,8,NA,LOUISE,9,324603,3,3,2,NA,NA,1,2016-12-14T10:27:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,0
57.61967,11.82496,61,345,511,112,CLASS B,SE,8,NA,LOUISE,9,324603,3,3,2,NA,NA,1,2016-12-14T10:27:08.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,0
57.61967,11.82496,61,345,511,114,CLASS B,SE,8,NA,LOUISE,9,324603,3,3,2,NA,NA,1,2016-12-14T10:29:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,0
57.61967,11.82496,61,345,511,114,CLASS B,SE,8,NA,LOUISE,9,324603,3,3,2,NA,NA,1,2016-12-14T10:29:08.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,0
57.61967,11.82496,61,345,511,115,CLASS B,SE,8,NA,LOUISE,9,324603,3,3,2,NA,NA,1,2016-12-14T10:31:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,0
57.61967,11.82496,61,345,511,116,CLASS B,SE,8,NA,LOUISE,9,324603,3,3,2,NA,NA,1,2016-12-14T10:31:07.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,0
57.61967,11.82496,61,345,511,118,CLASS B,SE,8,NA,LOUISE,9,324603,3,3,2,NA,NA,1,2016-12-14T10:33:06.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,0
57.61967,11.82496,61,345,511,118,CLASS B,SE,8,NA,LOUISE,9,324603,3,3,2,NA,NA,1,2016-12-14T10:33:08.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,0
57.61967,11.82496,61,345,511,120,CLASS B,SE,8,NA,LOUISE,9,324603,3,3,2,NA,NA,1,2016-12-14T10:35:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,0
57.61967,11.82496,61,345,511,120,CLASS B,SE,8,NA,LOUISE,9,324603,3,3,2,NA,NA,1,2016-12-14T10:35:08.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,0
57.61967,11.82496,61,345,511,122,CLASS B,SE,8,NA,LOUISE,9,324603,3,3,2,NA,NA,1,2016-12-14T10:37:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,0
57.61967,11.82496,61,345,511,122,CLASS B,SE,8,NA,LOUISE,9,324603,3,3,2,NA,NA,1,2016-12-14T10:37:08.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,0
57.61967,11.82496,61,345,511,124,CLASS B,SE,8,NA,LOUISE,9,324603,3,3,2,NA,NA,1,2016-12-14T10:39:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,0
57.61967,11.82496,61,345,511,124,CLASS B,SE,8,NA,LOUISE,9,324603,3,3,2,NA,NA,1,2016-12-14T10:39:08.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,0
57.61967,11.82496,61,345,511,126,CLASS B,SE,8,NA,LOUISE,9,324603,3,3,2,NA,NA,1,2016-12-14T10:41:05.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,0
57.61967,11.82496,61,345,511,126,CLASS B,SE,8,NA,LOUISE,9,324603,3,3,2,NA,NA,1,2016-12-14T10:41:08.000Z,gothenborg,2016-12-14T00:00:00.000Z,50,Pleasure,gothenborg,0
